SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
O=C(COCC(=O)OC1=CC=CC=C1)OC1=CC=CC=C1	UALIB-2342	1.3	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	WGNUGGXDKLEYJI-UHFFFAOYSA-N
CC(C)(C)C(=O)OCC(=O)OC1=CC=CC=C1	UALIB-2343	1.4	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	SXZRXKWKSLHRAQ-UHFFFAOYSA-N
CCOC(=O)COC(=O)C(C)(C)C.CCOC(=O)COC(=O)CC1=CC=CC=C1	UALIB-2344	1.12 and 1.13	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	FJTLUZRRWYGHCZ-UHFFFAOYSA-N
CCOC(=O)C[N+](CC)(CC)CC	UALIB-2345	1.14	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	XMZQSPDXLBGLAX-UHFFFAOYSA-N
COCOC1=CC=C(C=O)C(O[Si](C)(C)C(C)(C)C)=C1	UALIB-2346	2.7	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	FNYHZOBYVLYEKP-UHFFFAOYSA-N
COCCOCOC=C	UALIB-2347	2.7b	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	LLZNLEKQNPWEKB-UHFFFAOYSA-N
COCCOCO[C@@H](C=C)[C@@H](O)C1=CC=C(OCOC)C=C1O[Si](C)(C)C(C)(C)C	UALIB-2348	2.8	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	KHLOTPXNQKNDRA-FPOVZHCZSA-N
COC1=CC(OC)=C(\C=C\C=O)C(OC)=C1	UALIB-2349	2.34	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	ZHRKDNDVZCPRBF-SNAWJCMRSA-N
COC1=CC(OC)=C(\C=C\COC(C)=O)C(OC)=C1	UALIB-2350	2.35	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	FZQATMGRRGTDHF-AATRIKPKSA-N
CCOC(=O)\C(=C/CCO[Si](C)(C)C(C)(C)C)\C=C\C1=CC=CC=C1	UALIB-2351	3.32c	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	AFBQVSJGBIGVCC-IOPYDYCJSA-N
CCOC(=O)\C(=C/CC)\C=C\[Si](C)(C)C	UALIB-2352	3.32f	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	BDCRDRTVWSTHOJ-PGGWCAKNSA-N
CCOC(=O)\C(=C/CCO[Si](C)(C)C(C)(C)C)\C=C\[Si](C)(C)C	UALIB-2353	3.32h	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	CTJZPIFMKNBCEA-KJZZRQCISA-N
CCOC(=O)\C(=C/CCC1=CC=CC=C1)\C=C\[Si](C)(C)C	UALIB-2354	3.32i	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	UPRSIOYABDHMMZ-NWDJVLATSA-N
CCOC(=O)\C(\C=C\C)=C/C(C)C	UALIB-2355	3.32d	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	HLKSENPRTJUVMF-MBRJEVFCSA-N
CCOC(=O)\C(\C=C\[Si](C)(C)C)=C/C(C)C	UALIB-2356	3.32g	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	XLZQGEZIDXYMIF-ZLNDROGTSA-N
