SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018	Notes
C12\C=C/[C@](CC2)([C@]2(C(=O)C1CCC2)[H])[H]	UALIB-2813	48	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	DKMILQAAMSKETC-VKAADOFISA-N	InChI=1S/C12H16O/c13-12-10-2-1-3-11(12)9-6-4-8(10)5-7-9/h4,6,8-11H,1-3,5,7H2/t8-,9?,10+,11?/m1/s1	
[C@]12([C@]3(CCC[C@@]([C@]([C@](\C(=C/2)Cl)(Cl)[H])(C11CC1)[H])([C@@]3([H])O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])[H]	UALIB-2814	60	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MVURZMIRLZYYNQ-BLQYKRGGSA-N	InChI=1S/C23H38Cl2OSi/c1-13(2)27(14(3)4,15(5)6)26-22-16-8-7-9-17(22)20-21(25)19(24)12-18(16)23(20)10-11-23/h12-18,20-22H,7-11H2,1-6H3/t16-,17+,18-,20-,21+,22+/m1/s1	
C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@]([C@@]2([H])O[Si](C(C)C)(C(C)C)C(C)C)(CC1)[H])[H])[H])[H]	UALIB-2815	61	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	VYGJEJAJKYKDII-PCSPUAFNSA-N	InChI=1S/C24H41ClOSi/c1-14(2)27(15(3)4,16(5)6)26-23-18-9-8-10-19(23)22-17(7)21(25)13-20(18)24(22)11-12-24/h13-20,22-23H,8-12H2,1-7H3/t17-,18+,19-,20+,22-,23-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@]([C@@]2([H])O)(CC1)[H])[H])[H])[H]	UALIB-2816	62	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	OGAKKUPZCHHDLW-PNQJMIKCSA-N	InChI=1S/C15H21ClO/c1-8-12(16)7-11-9-3-2-4-10(14(9)17)13(8)15(11)5-6-15/h7-11,13-14,17H,2-6H2,1H3/t8-,9+,10-,11+,13-,14-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@@]3(C4(CC4)[C@@](C\C(=C/3C)Cl)([C@@]([C@@]2([H])O)(CC1)[H])[H])[H])[H]	UALIB-2817	63	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	BRCDZXPCNHERIZ-FUVSOYRFSA-N	InChI=1S/C15H21ClO/c1-8-12(16)7-11-9-3-2-4-10(14(9)17)13(8)15(11)5-6-15/h9-11,13-14,17H,2-7H2,1H3/t9-,10+,11-,13+,14+/m0/s1	
C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@](C2=O)(CC1)[H])[H])[H])[H]	UALIB-2818	65	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MKAUTDKOFRDZLA-OOTJXSFTSA-N	InChI=1S/C15H19ClO/c1-8-12(16)7-11-9-3-2-4-10(14(9)17)13(8)15(11)5-6-15/h7-11,13H,2-6H2,1H3/t8-,9+,10-,11+,13-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@@]3(C4(CC4)[C@@](C\C(=C/3C)Cl)([C@@](C2=O)(CC1)[H])[H])[H])[H]	UALIB-2819	66	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	UBGPPPVDYIGVNS-SRRSOLGSSA-N	InChI=1S/C15H19ClO/c1-8-12(16)7-11-9-3-2-4-10(14(9)17)13(8)15(11)5-6-15/h9-11,13H,2-7H2,1H3/t9-,10+,11-,13+/m0/s1	
C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@](NC2=O)(CC1)[H])[H])[H])[H].C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@](C(=O)N2)(CC1)[H])[H])[H])[H]	UALIB-2820	77 and 78	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	HLHTUWIJYIDZLD-BQBBIDTISA-N	InChI=1S/2C15H20ClNO/c1-8-11(16)7-10-12-4-2-3-9(14(18)17-12)13(8)15(10)5-6-15;1-8-11(16)7-10-9-3-2-4-12(17-14(9)18)13(8)15(10)5-6-15/h2*7-10,12-13H,2-6H2,1H3,(H,17,18)/t8-,9-,10+,12+,13-;8-,9+,10+,12-,13-/m11/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@](\N=C/2OC)(CC1)[H])[H])[H])[H].C1[C@@]2([C@@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@](\C(OC)=N/2)(CC1)[H])[H])[H])[H]	UALIB-2821	79 and 80	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	SLLGTIBSBDCQNP-GTDFERAPSA-N	InChI=1S/2C16H22ClNO/c1-9-12(17)8-11-13-5-3-4-10(15(18-13)19-2)14(9)16(11)6-7-16;1-9-12(17)8-11-10-4-3-5-13(18-15(10)19-2)14(9)16(11)6-7-16/h2*8-11,13-14H,3-7H2,1-2H3/t9-,10-,11+,13+,14-;9-,10+,11+,13-,14-/m11/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@@]3([C@](CC)([C@@](CC[C@]3(C)[H])([C@@](C2=O)(CC1)[H])[H])[H])[H])[H]	UALIB-2822	83	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	IUIRHFLEWNZOLT-HUXGKSLCSA-N	InChI=1S/C15H24O/c1-3-10-11-8-7-9(2)14(10)13-6-4-5-12(11)15(13)16/h9-14H,3-8H2,1-2H3/t9-,10-,11-,12+,13-,14+/m1/s1	
