DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-378	CC(C)(C)[C@H]1CC[C@@H](C(=O)O)CC1	cis-4-tert-Butylcyclohexanecarboxylic Acid	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H20O2/c1-11(2,3)9-6-4-8(5-7-9)10(12)13/h8-9H,4-7H2,1-3H3,(H,12,13)/t8-,9+	QVQKEGYITJBHRQ-DTORHVGOSA-N	QVQKEGYITJBHRQ-DTORHVGOSA-N	CC(C)(C)[C@@H]1CC[C@@H](CC1)C(O)=O |o1:4,7|	TRUE
UALIB-379	CC(C)(C)[C@H]1CC[C@H](C(=O)O)CC1	trans-4-tert-Butylcyclohexanecarboxylic Acid	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H20O2/c1-11(2,3)9-6-4-8(5-7-9)10(12)13/h8-9H,4-7H2,1-3H3,(H,12,13)/t8-,9-	QVQKEGYITJBHRQ-KYZUINATSA-N	QVQKEGYITJBHRQ-KYZUINATSA-N	CC(C)(C)[C@H]1CC[C@@H](CC1)C(O)=O |o1:4,7|	TRUE
UALIB-380	CC(C)(C)[C@H]1CC[C@@H](CO)CC1	cis-4-tert-Butylcyclohexylmethanol	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H22O/c1-11(2,3)10-6-4-9(8-12)5-7-10/h9-10,12H,4-8H2,1-3H3/t9-,10+	GGWBQKOXLMPNMS-AOOOYVTPSA-N	GGWBQKOXLMPNMS-AOOOYVTPSA-N	CC(C)(C)[C@@H]1CC[C@H](CO)CC1 |o1:4,7|	TRUE
UALIB-381	CC(C)(C)[C@H]1CC[C@@H](COC(=O)NC2=CC=CC3=CC=CC=C23)CC1	cis-4-tert-Butylcyclohexylmethyl-N-1-naphthylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C22H29NO2/c1-22(2,3)18-13-11-16(12-14-18)15-25-21(24)23-20-10-6-8-17-7-4-5-9-19(17)20/h4-10,16,18H,11-15H2,1-3H3,(H,23,24)/t16-,18+	JSHLOLKPUDSUMJ-MAEOIBBWSA-N	JSHLOLKPUDSUMJ-MAEOIBBWSA-N	CC(C)(C)[C@@H]1CC[C@H](COC(=O)NC2=C3C=CC=CC3=CC=C2)CC1 |o1:4,7,c:13,15,17,20,22|	TRUE
UALIB-382	CC(C)(C)[C@H]1CC[C@@H](COC(=O)NC2=CC=CC=C2)CC1	cis-4-tert-Butylcyclohexylmethyl-N-phenylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C18H27NO2/c1-18(2,3)15-11-9-14(10-12-15)13-21-17(20)19-16-7-5-4-6-8-16/h4-8,14-15H,9-13H2,1-3H3,(H,19,20)/t14-,15+	BUKMQWIEAVXWNQ-GASCZTMLSA-N	BUKMQWIEAVXWNQ-GASCZTMLSA-N	CC(C)(C)[C@@H]1CC[C@H](COC(=O)NC2=CC=CC=C2)CC1 |o1:4,7,c:15,17,t:13|	TRUE
UALIB-383	CC(C)(C)[C@H]1CC[C@H](CO)CC1	trans-4-tert-Butylcyclohexylmethanol	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H22O/c1-11(2,3)10-6-4-9(8-12)5-7-10/h9-10,12H,4-8H2,1-3H3/t9-,10-	GGWBQKOXLMPNMS-MGCOHNPYSA-N	GGWBQKOXLMPNMS-MGCOHNPYSA-N	CC(C)(C)[C@H]1CC[C@H](CO)CC1 |o1:4,7|	TRUE
UALIB-384	CC(C)(C)[C@H]1CC[C@H](COC(=O)C2=CC=CC=C2C(=O)O)CC1	trans-4-tert-Butylcyclohexylmethyl hydrogen phthalate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C19H26O4/c1-19(2,3)14-10-8-13(9-11-14)12-23-18(22)16-7-5-4-6-15(16)17(20)21/h4-7,13-14H,8-12H2,1-3H3,(H,20,21)/t13-,14-	OGNXZQCOIWVBHO-HDJSIYSDSA-N	OGNXZQCOIWVBHO-HDJSIYSDSA-N	CC(C)(C)[C@H]1CC[C@H](COC(=O)C2=CC=CC=C2C(O)=O)CC1 |o1:4,7,c:14,16,t:12|	TRUE
UALIB-385	CC(C)(C)[C@H]1CC[C@H](COC(=O)NC2=CC=CC3=CC=CC=C23)CC1	trans-4-tert-Butylcyclohexylmethyl-N-1-naphthylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C22H29NO2/c1-22(2,3)18-13-11-16(12-14-18)15-25-21(24)23-20-10-6-8-17-7-4-5-9-19(17)20/h4-10,16,18H,11-15H2,1-3H3,(H,23,24)/t16-,18-	JSHLOLKPUDSUMJ-SAABIXHNSA-N	JSHLOLKPUDSUMJ-SAABIXHNSA-N	CC(C)(C)[C@H]1CC[C@H](COC(=O)NC2=C3C=CC=CC3=CC=C2)CC1 |o1:4,7,c:13,15,17,20,22|	TRUE
UALIB-386	CC(C)(C)[C@H]1CC[C@@H](CBr)CC1	cis-4-tert-Butylcyclohexylmethyl Bromide	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H21Br/c1-11(2,3)10-6-4-9(8-12)5-7-10/h9-10H,4-8H2,1-3H3/t9-,10+	OXGDKDFWZLJUSQ-AOOOYVTPSA-N	OXGDKDFWZLJUSQ-AOOOYVTPSA-N	CC(C)(C)[C@@H]1CC[C@H](CBr)CC1 |o1:4,7|	TRUE
UALIB-387	CC(C)(C)[C@H]1CC[C@H](CBr)CC1	trans-4-tert-Butylcyclohexylmethyl Bromide	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	InChI=1S/C11H21Br/c1-11(2,3)10-6-4-9(8-12)5-7-10/h9-10H,4-8H2,1-3H3/t9-,10-	OXGDKDFWZLJUSQ-MGCOHNPYSA-N	OXGDKDFWZLJUSQ-MGCOHNPYSA-N	CC(C)(C)[C@H]1CC[C@H](CBr)CC1 |o1:4,7|	TRUE
