DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-575	CC(C)(C)[PH+](CCCS(=O)(=O)[O-])C(C)(C)C	3-(di-tert-butylphosphonium)propylsulfonate (DTBPPS)	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C11H25O3PS/c1-10(2,3)15(11(4,5)6)8-7-9-16(12,13)14/h7-9H2,1-6H3,(H,12,13,14)	JPNPRWMRUCIEMN-UHFFFAOYSA-N	JPNPRWMRUCIEMN-UHFFFAOYSA-N	CC(C)(C)[PH+](CCCS([O-])(=O)=O)C(C)(C)C	TRUE
UALIB-576	O=S(=O)([O-])CCC[PH+](C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	3-(di-adamantyl-propylphosphine) propylsulfonate (DAPPS)	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C23H37O3PS/c24-28(25,26)3-1-2-27(22-10-16-4-17(11-22)6-18(5-16)12-22)23-13-19-7-20(14-23)9-21(8-19)15-23/h16-21H,1-15H2,(H,24,25,26)	MCWMUVZSXSZWQW-UHFFFAOYSA-N	MCWMUVZSXSZWQW-UHFFFAOYSA-N	[O-]S(=O)(=O)CCC[PH+](C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	TRUE
UALIB-577	[Se][P](C1CCCCC1)(C1CCCCC1)C1CCCCC1	Tricyclohexylphosphine (Cy3P)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C18H33PSe/c20-19(16-10-4-1-5-11-16,17-12-6-2-7-13-17)18-14-8-3-9-15-18/h16-18H,1-15H2	SCPJDMPQFQJFAU-UHFFFAOYSA-N	SCPJDMPQFQJFAU-UHFFFAOYSA-N	[Se][P](C1CCCCC1)(C1CCCCC1)C1CCCCC1	TRUE
UALIB-578	O=S(=O)(CCC[P]([Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2)O[Na]	diadamantylphosphoniumpropane sulfonated (DAPPS)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C23H37O3PSSe.Na/c24-28(25,26)3-1-2-27(29,22-10-16-4-17(11-22)6-18(5-16)12-22)23-13-19-7-20(14-23)9-21(8-19)15-23;/h16-21H,1-15H2,(H,24,25,26);/q;+1/p-1	AYDLBGXNWVMXHA-UHFFFAOYSA-M	AYDLBGXNWVMXHA-UHFFFAOYSA-M	[Na]OS(=O)(=O)CCC[P]([Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	TRUE
UALIB-579	CCCC[P]([Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	diadamantylbutylphosphine (DABP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C24H39PSe/c1-2-3-4-25(26,23-11-17-5-18(12-23)7-19(6-17)13-23)24-14-20-8-21(15-24)10-22(9-20)16-24/h17-22H,2-16H2,1H3	CXNWMQVHDFXGAB-UHFFFAOYSA-N	CXNWMQVHDFXGAB-UHFFFAOYSA-N	CCCC[P]([Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	TRUE
UALIB-580	CC(C)(C)[P]([Se])(C(C)(C)C)C(C)(C)C	tri-tert-butylphoshine (TTBP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C12H27PSe/c1-10(2,3)13(14,11(4,5)6)12(7,8)9/h1-9H3	YGWBZFDBSTZZHD-UHFFFAOYSA-N	YGWBZFDBSTZZHD-UHFFFAOYSA-N	CC(C)(C)[P]([Se])(C(C)(C)C)C(C)(C)C	TRUE
UALIB-581	CC(C)(C)[PH]([Se])(CCCS(=O)(=O)O[Na])C(C)(C)C	di-tert-butylphosphoniumpropane sulfonated (DTBPPS)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C11H26O3PSSe.Na/c1-10(2,3)15(17,11(4,5)6)8-7-9-16(12,13)14;/h15H,7-9H2,1-6H3,(H,12,13,14);/q;+1/p-1	GENZFLUYLPINOV-UHFFFAOYSA-M	GENZFLUYLPINOV-UHFFFAOYSA-M	[H]P([Se])(CCCS(=O)(=O)O[Na])(C(C)(C)C)C(C)(C)C	TRUE
UALIB-582	CC(C)(C)[P]([Se])(CCC[P]([Se])(C(C)(C)C)C(C)(C)C)C(C)(C)C	di-tert-butylphosphoniumpropane (DTBPP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C19H42P2Se2/c1-16(2,3)20(22,17(4,5)6)14-13-15-21(23,18(7,8)9)19(10,11)12/h13-15H2,1-12H3	CPEZSQNZBXLULY-UHFFFAOYSA-N	CPEZSQNZBXLULY-UHFFFAOYSA-N	CC(C)(C)[P]([Se])(CCC[P]([Se])(C(C)(C)C)C(C)(C)C)C(C)(C)C	TRUE
UALIB-583	CC(C)(C)C[P]([Se])(C(C)(C)C)C(C)(C)C	di-tert-butylneopentylphoshine (DTBNpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C13H29PSe/c1-11(2,3)10-14(15,12(4,5)6)13(7,8)9/h10H2,1-9H3	QFDZRGRZUOGGSY-UHFFFAOYSA-N	QFDZRGRZUOGGSY-UHFFFAOYSA-N	CC(C)(C)C[P]([Se])(C(C)(C)C)C(C)(C)C	TRUE
UALIB-584	CCCC[P]([Se])(C(C)(C)C)C(C)(C)C	di-tert-butylphosphoniumpropane (DTBBP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C12H27PSe/c1-8-9-10-13(14,11(2,3)4)12(5,6)7/h8-10H2,1-7H3	OSJSSGFVAMQSLE-UHFFFAOYSA-N	OSJSSGFVAMQSLE-UHFFFAOYSA-N	CCCC[P]([Se])(C(C)(C)C)C(C)(C)C	TRUE
UALIB-585	CC(C)(C)C[P]([Se])(CC(C)(C)C)CC(C)(C)C	Trineopentylphosphine (TnpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C15H33PSe/c1-13(2,3)10-16(17,11-14(4,5)6)12-15(7,8)9/h10-12H2,1-9H3	WUJQWOQYVZGQLZ-UHFFFAOYSA-N	WUJQWOQYVZGQLZ-UHFFFAOYSA-N	CC(C)(C)C[P]([Se])(CC(C)(C)C)CC(C)(C)C	TRUE
UALIB-586	CC(C)(C)C[P]([Se])(CC(C)(C)C)C(C)(C)C	tert-butyl-dineopentyl phosphine (TBDNpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C14H31PSe/c1-12(2,3)10-15(16,14(7,8)9)11-13(4,5)6/h10-11H2,1-9H3	ZSOLZQWSQBEWCW-UHFFFAOYSA-N	ZSOLZQWSQBEWCW-UHFFFAOYSA-N	CC(C)(C)C[P]([Se])(CC(C)(C)C)C(C)(C)C	TRUE
UALIB-587	[Se][P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	Triphenylphosphine (Ph3P)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C18H15PSe/c20-19(16-10-4-1-5-11-16,17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H	ZFVJLNKVUKIPPI-UHFFFAOYSA-N	ZFVJLNKVUKIPPI-UHFFFAOYSA-N	[Se][P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-588	CC(=O)C1=CC=C(C2=CC=CC=C2)C=C1	4'-Phenylacetophenone	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C14H12O/c1-11(15)12-7-9-14(10-8-12)13-5-3-2-4-6-13/h2-10H,1H3	QCZZSANNLWPGEA-UHFFFAOYSA-N	QCZZSANNLWPGEA-UHFFFAOYSA-N	CC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	TRUE
UALIB-589	COC1=CC=C(C2=CC=C(F)C=C2)C=C1	4'-Fluoro-4-methoxybiphenyl	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C13H11FO/c1-15-13-8-4-11(5-9-13)10-2-6-12(14)7-3-10/h2-9H,1H3	HPHJIGXCDCZLTP-UHFFFAOYSA-N	HPHJIGXCDCZLTP-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=CC=C(F)C=C1	TRUE
UALIB-590	COC1=CC=C(C2=CC=C(F)C=C2F)C=C1	2,4-Difluoro-4'-methoxybiphenyl	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C13H10F2O/c1-16-11-5-2-9(3-6-11)12-7-4-10(14)8-13(12)15/h2-8H,1H3	BWSOJWZJAGFIQD-UHFFFAOYSA-N	BWSOJWZJAGFIQD-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=CC=C(F)C=C1F	TRUE
UALIB-591	ClC1=C(C2=CC=CC=C2)C=CC=C1	2-Chlorobiphenyl	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H	LAXBNTIAOJWAOP-UHFFFAOYSA-N	LAXBNTIAOJWAOP-UHFFFAOYSA-N	ClC1=C(C=CC=C1)C1=CC=CC=C1	TRUE
UALIB-592	CC(C)(C(=O)C1=CC=CC=C1)C1=CC=C(C#N)C=C1	2-(4-Cyanophenyl)-2-methyl-1-phenyl-propan-1-one	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C17H15NO/c1-17(2,15-10-8-13(12-18)9-11-15)16(19)14-6-4-3-5-7-14/h3-11H,1-2H3	XBYKLIUDIVVDBM-UHFFFAOYSA-N	XBYKLIUDIVVDBM-UHFFFAOYSA-N	CC(C)(C(=O)C1=CC=CC=C1)C1=CC=C(C=C1)C#N	TRUE
UALIB-593	COC1=CC=C(C(C)(C)C(=O)C2=CC=CC=C2)C=C1	2-(4-Methoxyphenyl)-2-methyl-1-phenyl-propan-1-one	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	InChI=1S/C17H18O2/c1-17(2,14-9-11-15(19-3)12-10-14)16(18)13-7-5-4-6-8-13/h4-12H,1-3H3	DLDIFXOWZNCYRP-UHFFFAOYSA-N	DLDIFXOWZNCYRP-UHFFFAOYSA-N	COC1=CC=C(C=C1)C(C)(C)C(=O)C1=CC=CC=C1	TRUE
