DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-474	NC12NC(=O)NC1(N)NC(=O)N2	3a,6a-Diaminotetrahydroimidazo[4,5-d]imidazole-2,5(1H,3H)-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C4H8N6O2/c5-3-4(6,8-1(11)7-3)10-2(12)9-3/h5-6H2,(H2,7,8,11)(H2,9,10,12)	CZEUFUWHRDIGQJ-UHFFFAOYSA-N	CZEUFUWHRDIGQJ-UHFFFAOYSA-N	NC12NC(=O)NC1(N)NC(=O)N2	TRUE
UALIB-475	O=C1NC23NC(=O)NC2(N1)NC(=O)N3	2,4,6,8,9,11-Hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C5H6N6O3/c12-1-6-4-5(7-1,9-2(13)8-4)11-3(14)10-4/h(H2,6,7,12)(H2,8,9,13)(H2,10,11,14)	ALRLNLGOQVXRAC-UHFFFAOYSA-N	ALRLNLGOQVXRAC-UHFFFAOYSA-N	O=C1NC23NC(=O)NC2(N1)NC(=O)N3	TRUE
UALIB-476	CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	2,4,6,8,9,11-Hexamethyl 2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H18N6O3/c1-12-7(18)13(2)11-10(12,14(3)8(19)16(11)5)15(4)9(20)17(11)6/h1-6H3	NTARDXJXCFOROT-UHFFFAOYSA-N	NTARDXJXCFOROT-UHFFFAOYSA-N	CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	TRUE
UALIB-477	CN1C(=S)N(C)C23N(C)C(=S)N(C)C12N(C)C(=S)N3C	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trithione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H18N6S3/c1-12-7(18)13(2)11-10(12,14(3)8(19)16(11)5)15(4)9(20)17(11)6/h1-6H3	GZLPQMBNZJLDHR-UHFFFAOYSA-N	GZLPQMBNZJLDHR-UHFFFAOYSA-N	CN1C(=S)N(C)C23N(C)C(=S)N(C)C12N(C)C(=S)N3C	TRUE
UALIB-478	CS[C+]1N(C)C23N(C)[C+](SC)N(C)C2(N1C)N(C)[C+](SC)N3C.F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F	2,4,6,8,9,11-Hexamethyl-3,7,10-tris(methylsulfanyl)-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]-undec-3,7,10-tris(ylium) tri(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C14H27N6S3.3BF4/c1-15-10(21-7)16(2)14-13(15,17(3)11(22-8)19(14)5)18(4)12(23-9)20(14)6;3*2-1(3,4)5/h1-9H3;;;/q+3;3*-1	ZFDMPEIEMFRRSC-UHFFFAOYSA-N	ZFDMPEIEMFRRSC-UHFFFAOYSA-N	F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F.CS[C+]1N(C)C23N(C)[C+](SC)N(C)C2(N1C)N(C)[C+](SC)N3C	TRUE
UALIB-479	CN1CN(C)C23N(C)CN(C)C12N(C)CN3C	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H24N6/c1-12-7-13(2)11-10(12,14(3)8-16(11)5)15(4)9-17(11)6/h7-9H2,1-6H3	LUWLKUUKMKLTME-UHFFFAOYSA-N	LUWLKUUKMKLTME-UHFFFAOYSA-N	CN1CN(C)C23N(C)CN(C)C12N(C)CN3C	TRUE
UALIB-480	CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)[C+](Cl)N3C.[Cl-]	3-Chloro-2,4,6,8,9,11-hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5) ]-undec-3-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H18ClN6O2.ClH/c1-13-7(12)14(2)11-10(13,15(3)8(19)17(11)5)16(4)9(20)18(11)6;/h1-6H3;1H/q+1;/p-1	QYHGXAVRPHPEKE-UHFFFAOYSA-M	QYHGXAVRPHPEKE-UHFFFAOYSA-M	[Cl-].CN1[C+](Cl)N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	TRUE
UALIB-481	CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(=C1N(C)C24N(C)C(=O)N(C)C2(N(C)C(=O)N4C)N1C)N3C	10-(2,4,6,8,9,11-Hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undec-3-ylidene)-2,4,6,8,9,11-hexamethyl-2,4,6,8,9,11-hexaazatricycloc{3.3.3.0(1,5)]undecane-3,7-dioxo	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C22H36N12O4/c1-23-13(24(2)20-19(23,27(5)15(35)29(20)7)28(6)16(36)30(20)8)14-25(3)21-22(26(14)4,33(11)17(37)31(21)9)34(12)18(38)32(21)10/h1-12H3	VQDDIZFJTQQUIJ-UHFFFAOYSA-N	VQDDIZFJTQQUIJ-UHFFFAOYSA-N	CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(N3C)=C1N(C)C23N(C)C(=O)N(C)C2(N(C)C(=O)N3C)N1C	TRUE
UALIB-482	CN1CN(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H20N6O2/c1-12-7-13(2)11-10(12,14(3)8(18)16(11)5)15(4)9(19)17(11)6/h7H2,1-6H3	PLUDUMQNQZXWSF-UHFFFAOYSA-N	PLUDUMQNQZXWSF-UHFFFAOYSA-N	CN1CN(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	TRUE
UALIB-483	CN1[CH+]N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C.[Cl-]	2,4,6,8,9,11-Hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0 (1,5)]-undec-3-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C11H19N6O2.ClH/c1-12-7-13(2)11-10(12,14(3)8(18)16(11)5)15(4)9(19)17(11)6;/h7H,1-6H3;1H/q+1;/p-1	BKYLNIVEDQXWAV-UHFFFAOYSA-M	BKYLNIVEDQXWAV-UHFFFAOYSA-M	[Cl-].[H][C+]1N(C)C23N(C)C(=O)N(C)C2(N1C)N(C)C(=O)N3C	TRUE
