DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-558	CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O=C1[N-]S(=O)(=O)C2=C1C=CC=C2	Benzalkonium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C23H42N.C21H38N.C7H5NO3S/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;9-7-5-3-1-2-4-6(5)12(10,11)8-7/h15-17,19-20H,4-14,18,21-22H2,1-3H3;13-15,17-18H,4-12,16,19-20H2,1-3H3;1-4H,(H,8,9)/q2*+1;/p-1	MWUHQHMBGSKYNW-UHFFFAOYSA-M	MWUHQHMBGSKYNW-UHFFFAOYSA-M	O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	TRUE
UALIB-559	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=C1[N-]S(=O)(=O)C2=C1C=CC=C2	Didecyldimethylammonium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C22H48N.C7H5NO3S/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;9-7-5-3-1-2-4-6(5)12(10,11)8-7/h5-22H2,1-4H3;1-4H,(H,8,9)/q+1;/p-1	VFQMDEVHBKOBGK-UHFFFAOYSA-M	VFQMDEVHBKOBGK-UHFFFAOYSA-M	O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	TRUE
UALIB-560	CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.O=C1[N-]S(=O)(=O)C2=C1C=CC=C2	Hexadecylpyridinium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C21H38N.C7H5NO3S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;9-7-5-3-1-2-4-6(5)12(10,11)8-7/h15,17-18,20-21H,2-14,16,19H2,1H3;1-4H,(H,8,9)/q+1;/p-1	DQYAWGYRXQBLRC-UHFFFAOYSA-M	DQYAWGYRXQBLRC-UHFFFAOYSA-M	O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	TRUE
UALIB-561	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	Benzalkonium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C23H42N.C21H38N.C4H5NO4S/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;1-3-2-4(6)5-10(7,8)9-3/h15-17,19-20H,4-14,18,21-22H2,1-3H3;13-15,17-18H,4-12,16,19-20H2,1-3H3;2H,1H3,(H,5,6)/q2*+1;/p-1	HIYOKNWXQNEGKE-UHFFFAOYSA-M	HIYOKNWXQNEGKE-UHFFFAOYSA-M	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	TRUE
UALIB-562	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Didecyldimethylammonium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C22H48N.C4H5NO4S/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;1-3-2-4(6)5-10(7,8)9-3/h5-22H2,1-4H3;2H,1H3,(H,5,6)/q+1;/p-1	XGOHUVCAZTVMMP-UHFFFAOYSA-M	XGOHUVCAZTVMMP-UHFFFAOYSA-M	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	TRUE
UALIB-563	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	Hexadecylpyridinium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C21H38N.C4H5NO4S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;1-3-2-4(6)5-10(7,8)9-3/h15,17-18,20-21H,2-14,16,19H2,1H3;2H,1H3,(H,5,6)/q+1;/p-1	WCIYCFBSYSKHFI-UHFFFAOYSA-M	WCIYCFBSYSKHFI-UHFFFAOYSA-M	CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	TRUE
UALIB-564	CC(C)CC1=CC=C(C(C)C(=O)[O-])C=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	Benzalkonium Ibuprofenate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C23H42N.C21H38N.C13H18O2/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h15-17,19-20H,4-14,18,21-22H2,1-3H3;13-15,17-18H,4-12,16,19-20H2,1-3H3;4-7,9-10H,8H2,1-3H3,(H,14,15)/q2*+1;/p-1	FASUCKLZJDNNHP-UHFFFAOYSA-M	FASUCKLZJDNNHP-UHFFFAOYSA-M	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	TRUE
UALIB-565	CC(C)CC1=CC=C(C(C)C(=O)[O-])C=C1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Didecyldimethylammonium Ibuprofenate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C22H48N.C13H18O2/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h5-22H2,1-4H3;4-7,9-10H,8H2,1-3H3,(H,14,15)/q+1;/p-1	DXLTWFWUCYVSNS-UHFFFAOYSA-M	DXLTWFWUCYVSNS-UHFFFAOYSA-M	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	TRUE
UALIB-566	CC(=O)N=S(=O)([O-])C1=CC=C(N)C=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	Benzalkonium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C23H42N.C21H38N.C8H10N2O3S/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h15-17,19-20H,4-14,18,21-22H2,1-3H3;13-15,17-18H,4-12,16,19-20H2,1-3H3;2-5H,9H2,1H3,(H,10,11,12,13)/q2*+1;/p-1	VRXDOMSXMOCVFH-UHFFFAOYSA-M	VRXDOMSXMOCVFH-UHFFFAOYSA-M	CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	TRUE
UALIB-567	CC(=O)N=S(=O)([O-])C1=CC=C(N)C=C1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Didecyldimethylammonium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C22H48N.C8H10N2O3S/c1-5-7-9-11-13-15-17-19-21-23(3,4)22-20-18-16-14-12-10-8-6-2;1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h5-22H2,1-4H3;2-5H,9H2,1H3,(H,10,11,12,13)/q+1;/p-1	LRHPWRMTAIJYLP-UHFFFAOYSA-M	LRHPWRMTAIJYLP-UHFFFAOYSA-M	CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	TRUE
UALIB-568	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C	Lidocaine Docusate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C20H38O7S.C14H22N2O/c1-5-9-11-16(7-3)14-26-19(21)13-18(28(23,24)25)20(22)27-15-17(8-4)12-10-6-2;1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h16-18H,5-15H2,1-4H3,(H,23,24,25);7-9H,5-6,10H2,1-4H3,(H,15,17)	SMIKOFCSIQWDSW-UHFFFAOYSA-N	SMIKOFCSIQWDSW-UHFFFAOYSA-N	[H][N+](CC)(CC)CC(=O)NC1=C(C)C=CC=C1C.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O	TRUE
UALIB-569	CC(=O)N=S(=O)([O-])C1=CC=C(N)C=C1.CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C	Lidocainium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C14H22N2O.C8H10N2O3S/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4;1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h7-9H,5-6,10H2,1-4H3,(H,15,17);2-5H,9H2,1H3,(H,10,11,12,13)	GIUTVEJIDDXIJH-UHFFFAOYSA-N	GIUTVEJIDDXIJH-UHFFFAOYSA-N	CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.[H][N+](CC)(CC)CC(=O)NC1=C(C)C=CC=C1C	TRUE
UALIB-570	CC(C)CC1=CC=C(C(C)C(=O)[O-])C=C1.CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C	Lidocainium Ibuprofenate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C14H22N2O.C13H18O2/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4;1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h7-9H,5-6,10H2,1-4H3,(H,15,17);4-7,9-10H,8H2,1-3H3,(H,14,15)	PIKWRSBCHVUUOP-UHFFFAOYSA-N	PIKWRSBCHVUUOP-UHFFFAOYSA-N	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.[H][N+](CC)(CC)CC(=O)NC1=C(C)C=CC=C1C	TRUE
UALIB-571	CC(=O)N=S(=O)([O-])C1=CC=C(N)C=C1.CC[NH+](CC)CCOC(=O)C1=CC=C(N)C=C1	Procainium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C13H20N2O2.C8H10N2O3S/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11;1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h5-8H,3-4,9-10,14H2,1-2H3;2-5H,9H2,1H3,(H,10,11,12,13)	NECFYCZKYWXPRC-UHFFFAOYSA-N	NECFYCZKYWXPRC-UHFFFAOYSA-N	CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.[H][N+](CC)(CC)CCOC(=O)C1=CC=C(N)C=C1	TRUE
UALIB-572	CC[NH+](CC)CCOC(=O)C1=CC=C(N)C=C1.O=C([O-])C1=CC=CC=C1O	Procainium Salicylate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C13H20N2O2.C7H6O3/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11;8-6-4-2-1-3-5(6)7(9)10/h5-8H,3-4,9-10,14H2,1-2H3;1-4,8H,(H,9,10)	JEKFDOXPSSMEMP-UHFFFAOYSA-N	JEKFDOXPSSMEMP-UHFFFAOYSA-N	OC1=CC=CC=C1C([O-])=O.[H][N+](CC)(CC)CCOC(=O)C1=CC=C(N)C=C1	TRUE
UALIB-573	CC(C)CC1=CC=C(C(C)C(=O)[O-])C=C1.CC[NH+](CC)CCOC(=O)C1=CC=C(N)C=C1	Procainium Ibuprofen	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C13H20N2O2.C13H18O2/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11;1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h5-8H,3-4,9-10,14H2,1-2H3;4-7,9-10H,8H2,1-3H3,(H,14,15)	WCPOTPHDZKWQOW-UHFFFAOYSA-N	WCPOTPHDZKWQOW-UHFFFAOYSA-N	CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.[H][N+](CC)(CC)CCOC(=O)C1=CC=C(N)C=C1	TRUE
UALIB-574	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CC[NH+](CC)CCOC(=O)C1=CC=C(N)C=C1	Procainium Docusate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	InChI=1S/C20H38O7S.C13H20N2O2/c1-5-9-11-16(7-3)14-26-19(21)13-18(28(23,24)25)20(22)27-15-17(8-4)12-10-6-2;1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11/h16-18H,5-15H2,1-4H3,(H,23,24,25);5-8H,3-4,9-10,14H2,1-2H3	SCEZFFOMDCIIQF-UHFFFAOYSA-N	SCEZFFOMDCIIQF-UHFFFAOYSA-N	[H][N+](CC)(CC)CCOC(=O)C1=CC=C(N)C=C1.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O	TRUE
