DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1004	[O-]C(CN1C=C[N+](CC(O)(C(F)(F)F)C(F)(F)F)=C1)(C(F)(F)F)C(F)(F)F	zwitterion 11	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C11H8F12N2O2/c12-8(13,14)6(26,9(15,16)17)3-24-1-2-25(5-24)4-7(27,10(18,19)20)11(21,22)23/h1-2,5,26H,3-4H2	LVHZYAOHCLZISL-UHFFFAOYSA-N	LVHZYAOHCLZISL-UHFFFAOYSA-N	[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C=CN1CC([O-])(C(F)(F)F)C(F)(F)F	TRUE
UALIB-1005	[O-]C(CN1C=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(Cl)=C1Cl)(C(F)(F)F)C(F)(F)F	zwitterion 12	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C11H6Cl2F12N2O2/c12-4-5(13)27(2-7(29,10(20,21)22)11(23,24)25)3-26(4)1-6(28,8(14,15)16)9(17,18)19/h3,28H,1-2H2	RUWNMIRVOFKJSE-UHFFFAOYSA-N	RUWNMIRVOFKJSE-UHFFFAOYSA-N	[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(Cl)=C(Cl)N1CC([O-])(C(F)(F)F)C(F)(F)F	TRUE
UALIB-1006	[O-]C(CN1C=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(C2=CC=CC=C2)=C1C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F	zwitterion 13	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C23H16F12N2O2/c24-20(25,26)18(38,21(27,28)29)11-36-13-37(12-19(39,22(30,31)32)23(33,34)35)17(15-9-5-2-6-10-15)16(36)14-7-3-1-4-8-14/h1-10,13,38H,11-12H2	HXDHBRXYUFFZAJ-UHFFFAOYSA-N	HXDHBRXYUFFZAJ-UHFFFAOYSA-N	[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(=C(N1CC([O-])(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1007	[O-]C(CN1C=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)(C(F)(F)F)C(F)(F)F	zwitterion 14	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C15H10F12N2O2/c16-12(17,18)10(30,13(19,20)21)5-28-7-29(9-4-2-1-3-8(9)28)6-11(31,14(22,23)24)15(25,26)27/h1-4,7,30H,5-6H2	BTNZSNNFBONINW-UHFFFAOYSA-N	BTNZSNNFBONINW-UHFFFAOYSA-N	[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C2=C(C=CC=C2)N1CC([O-])(C(F)(F)F)C(F)(F)F	TRUE
UALIB-1008	[O-]C(CN1C=N[N+](CC(O)(C(F)(F)F)C(F)(F)F)=C1)(C(F)(F)F)C(F)(F)F	zwitterion 15	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C10H7F12N3O2/c11-7(12,13)5(26,8(14,15)16)1-24-3-23-25(4-24)2-6(27,9(17,18)19)10(20,21)22/h3-4,27H,1-2H2	FMAVLRBJPBWAPC-UHFFFAOYSA-N	FMAVLRBJPBWAPC-UHFFFAOYSA-N	[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)N=CN1CC([O-])(C(F)(F)F)C(F)(F)F	TRUE
UALIB-1009	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F	carbene 21	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C11H6F12N2O2.2K/c12-8(13,14)6(26,9(15,16)17)3-24-1-2-25(5-24)4-7(27,10(18,19)20)11(21,22)23;;/h1-2H,3-4H2;;/q-2;2*+1	IODJVCABMZELOG-UHFFFAOYSA-N	IODJVCABMZELOG-UHFFFAOYSA-N	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F |c:17,^3:6|	TRUE
UALIB-1010	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(Cl)=C1Cl)(C(F)(F)F)C(F)(F)F	carbene 22	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C11H4Cl2F12N2O2.2K/c12-4-5(13)27(2-7(29,10(20,21)22)11(23,24)25)3-26(4)1-6(28,8(14,15)16)9(17,18)19;;/h1-2H2;;/q-2;2*+1	XKMONGOSWBATJA-UHFFFAOYSA-N	XKMONGOSWBATJA-UHFFFAOYSA-N	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(Cl)=C1Cl)(C(F)(F)F)C(F)(F)F |c:18,^3:6|	TRUE
UALIB-1011	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(C2=CC=CC=C2)=C1C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F	carbene 23	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C23H14F12N2O2.2K/c24-20(25,26)18(38,21(27,28)29)11-36-13-37(12-19(39,22(30,31)32)23(33,34)35)17(15-9-5-2-6-10-15)16(36)14-7-3-1-4-8-14;;/h1-10H,11-12H2;;/q-2;2*+1	YRHJKDFOCRQOND-UHFFFAOYSA-N	YRHJKDFOCRQOND-UHFFFAOYSA-N	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(=C1C1=CC=CC=C1)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F |c:17,22,24,29,31,t:20,27,^3:6|	TRUE
UALIB-1012	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)(C(F)(F)F)C(F)(F)F	carbene 24	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C15H8F12N2O2.2K/c16-12(17,18)10(30,13(19,20)21)5-28-7-29(9-4-2-1-3-8(9)28)6-11(31,14(22,23)24)15(25,26)27;;/h1-4H,5-6H2;;/q-2;2*+1	CIQRLHAFNRGPAW-UHFFFAOYSA-N	CIQRLHAFNRGPAW-UHFFFAOYSA-N	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)(C(F)(F)F)C(F)(F)F |c:17,20,22,^3:6|	TRUE
UALIB-1013	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)N=C1)(C(F)(F)F)C(F)(F)F	carbene 25	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C10H5F12N3O2.2K/c11-7(12,13)5(26,8(14,15)16)1-24-3-23-25(4-24)2-6(27,9(17,18)19)10(20,21)22;;/h3H,1-2H2;;/q-2;2*+1	GCLOFQMDPWDBEW-UHFFFAOYSA-N	GCLOFQMDPWDBEW-UHFFFAOYSA-N	[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)N=C1)(C(F)(F)F)C(F)(F)F |c:17,^3:6|	TRUE
