DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-804	COC1=CC(CC(OC)OC)=C2C(=O)OC(C)(C)OC2=C1	5-(2,2-dimethoxyethyl)-7-methoxy-2,2-dimethyl-4H-bezo[d][1,3]dioxin-4-one	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C15H20O6/c1-15(2)20-11-8-10(17-3)6-9(7-12(18-4)19-5)13(11)14(16)21-15/h6,8,12H,7H2,1-5H3	XABDDLLWVMMGIH-UHFFFAOYSA-N	XABDDLLWVMMGIH-UHFFFAOYSA-N	COC(CC1=C2C(=O)OC(C)(C)OC2=CC(OC)=C1)OC	TRUE
UALIB-805	COC1=CC(CC(OC)OC)=C(CO)C(O)=C1	3-(2,2-dimethoxyethyl)-2-(hydroxymethyl)-5-methoxyphenol	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C12H18O5/c1-15-9-4-8(5-12(16-2)17-3)10(7-13)11(14)6-9/h4,6,12-14H,5,7H2,1-3H3	XVMNEGCEPGEEHD-UHFFFAOYSA-N	XVMNEGCEPGEEHD-UHFFFAOYSA-N	COC(CC1=C(CO)C(O)=CC(OC)=C1)OC	TRUE
UALIB-806	COC1=CC(CC(OC)OC)=C(CO)C(OC)=C1	(2-(2,2-dimethoxyethyl)-4,6-dimethoxyphenyl)methanol	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C13H20O5/c1-15-10-5-9(6-13(17-3)18-4)11(8-14)12(7-10)16-2/h5,7,13-14H,6,8H2,1-4H3	XZWLWZYGWWLOIT-UHFFFAOYSA-N	XZWLWZYGWWLOIT-UHFFFAOYSA-N	COC(CC1=C(CO)C(OC)=CC(OC)=C1)OC	TRUE
UALIB-807	COC1=CC(CC(OC)OC)=C(C=O)C(OC)=C1	2-(2,2-dimethoxyethyl)-4,6-dimethoxybenzaldehyde	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C13H18O5/c1-15-10-5-9(6-13(17-3)18-4)11(8-14)12(7-10)16-2/h5,7-8,13H,6H2,1-4H3	YAHATOSRHCJWSH-UHFFFAOYSA-N	YAHATOSRHCJWSH-UHFFFAOYSA-N	[H]C(=O)C1=C(CC(OC)OC)C=C(OC)C=C1OC	TRUE
UALIB-808	COC1=CC(CC(OC)OC)=C(C(O)C#CC[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=C1	(5R)-5-((tert-butyldimethylsilyl)oxy)-1-(2-(2,2-dimethoxyethyl)-4,6-dimethoxyphenyl)hex-2-yn-1-ol	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C24H40O6Si/c1-17(30-31(9,10)24(2,3)4)12-11-13-20(25)23-18(15-22(28-7)29-8)14-19(26-5)16-21(23)27-6/h14,16-17,20,22,25H,12,15H2,1-10H3/t17-,20?/m1/s1	NSVXQWIIUNTLSA-DIAVIDTQSA-N	NSVXQWIIUNTLSA-DIAVIDTQSA-N	COC(CC1=C(C(O)C#CC[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=CC(OC)=C1)OC	TRUE
UALIB-809	COC1=CC(CC(OC)OC)=C(C(O)/C=C/C[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=C1	(5R,E)-5-((tert-butyldimethylsilyl)oxy)-1-(2-(2,2-dimethoxyethyl)-4,6-dimethoxyphenyl)hex-2-en-1-ol	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C24H42O6Si/c1-17(30-31(9,10)24(2,3)4)12-11-13-20(25)23-18(15-22(28-7)29-8)14-19(26-5)16-21(23)27-6/h11,13-14,16-17,20,22,25H,12,15H2,1-10H3/b13-11+/t17-,20?/m1/s1	HIKGEFQRQORCMW-PETXZBKYSA-N	HIKGEFQRQORCMW-PETXZBKYSA-N	COC(CC1=C(C(O)\C=C\C[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=CC(OC)=C1)OC	TRUE
UALIB-810	COC1=CC(CC(OC)OC)=C(C(=O)/C=C/C[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=C1	(R,E)-5-((tert-butyldimethylsilyl)oxy)-1-(2-(2,2-dimethoxyethyl)-4,6-dimethoxyphenyl)hex-2-en-1-one	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C24H40O6Si/c1-17(30-31(9,10)24(2,3)4)12-11-13-20(25)23-18(15-22(28-7)29-8)14-19(26-5)16-21(23)27-6/h11,13-14,16-17,22H,12,15H2,1-10H3/b13-11+/t17-/m1/s1	ZTSINJNHMVHRSY-MLFXKNMZSA-N	ZTSINJNHMVHRSY-MLFXKNMZSA-N	COC(CC1=C(C(=O)\C=C\C[C@@H](C)O[Si](C)(C)C(C)(C)C)C(OC)=CC(OC)=C1)OC	TRUE
UALIB-811	C=CC[C@@H](C)OC(=O)CBr	(R)-pent-4-en-2-yl 2-bromoacetate	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C7H11BrO2/c1-3-4-6(2)10-7(9)5-8/h3,6H,1,4-5H2,2H3/t6-/m1/s1	CJFYOQXFISOMFE-ZCFIWIBFSA-N	CJFYOQXFISOMFE-ZCFIWIBFSA-N	C[C@H](CC=C)OC(=O)CBr	TRUE
UALIB-812	C[C@H](C/C=C/C(=O)OC(C)(C)C)OC(=O)CBr	(R,E)-tert-butyl 5-(2-bromoacetoxy)hex-2-enoate	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C12H19BrO4/c1-9(16-11(15)8-13)6-5-7-10(14)17-12(2,3)4/h5,7,9H,6,8H2,1-4H3/b7-5+/t9-/m1/s1	RXAPITCPFBGWSA-VPIOIWJLSA-N	RXAPITCPFBGWSA-VPIOIWJLSA-N	C[C@H](C\C=C\C(=O)OC(C)(C)C)OC(=O)CBr	TRUE
UALIB-813	COC1=CC(OC)=CC(CC(=O)O[C@H](C)C/C=C/C(=O)OC(C)(C)C)=C1	(R,E)-tert-butyl 5-(2-(3,5-dimethyloxyphenyl)acetoxy)hex-2-enoate	De Joarder, D. Total syntheses of (-)-curvularin and xestodecalactone a, formal total syntheses of (-)-citreofuran, (+)-12-oxo-curvularin, (+)-sporostatin, synthetic efforts toward (-)-caylobolide a. Ph.D. Thesis, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/1985	InChI=1S/C20H28O6/c1-14(8-7-9-18(21)26-20(2,3)4)25-19(22)12-15-10-16(23-5)13-17(11-15)24-6/h7,9-11,13-14H,8,12H2,1-6H3/b9-7+/t14-/m1/s1	VLRUSIODLNDLKQ-RCQQVGEISA-N	VLRUSIODLNDLKQ-RCQQVGEISA-N	COC1=CC(OC)=CC(CC(=O)O[C@H](C)C\C=C\C(=O)OC(C)(C)C)=C1	TRUE
