DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-923	CCOC(=O)/C(=C\CC1=CC=CC=C1)[Si](C)(C)C	E47f	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C15H22O2Si/c1-5-17-15(16)14(18(2,3)4)12-11-13-9-7-6-8-10-13/h6-10,12H,5,11H2,1-4H3/b14-12+	ZBEVAVVNEKQTRF-WYMLVPIESA-N	ZBEVAVVNEKQTRF-WYMLVPIESA-N	CCOC(=O)C(=C/CC1=CC=CC=C1)\[Si](C)(C)C	TRUE
UALIB-924	C/C=C(\C(=O)OCC)[Si](CC)(CC)CC	E47h	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C12H24O2Si/c1-6-11(12(13)14-7-2)15(8-3,9-4)10-5/h6H,7-10H2,1-5H3/b11-6+	VCWXBWQMQAIEGA-IZZDOVSWSA-N	VCWXBWQMQAIEGA-IZZDOVSWSA-N	CCOC(=O)C(=C/C)\[Si](CC)(CC)CC	TRUE
UALIB-925	CC/C=C(\C(=O)OCC)[Si](C)(C)C	E47i	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C10H20O2Si/c1-6-8-9(13(3,4)5)10(11)12-7-2/h8H,6-7H2,1-5H3/b9-8+	ZURPOQSZDMBVNI-CMDGGOBGSA-N	ZURPOQSZDMBVNI-CMDGGOBGSA-N	CCOC(=O)C(=C/CC)\[Si](C)(C)C	TRUE
UALIB-926	CC/C=C(\C(=O)OCC)[Si](CC)(CC)CC	E47j	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C13H26O2Si/c1-6-11-12(13(14)15-7-2)16(8-3,9-4)10-5/h11H,6-10H2,1-5H3/b12-11+	PIQXJNJDGJKCLE-VAWYXSNFSA-N	PIQXJNJDGJKCLE-VAWYXSNFSA-N	CCOC(=O)C(=C/CC)\[Si](CC)(CC)CC	TRUE
UALIB-927	CCOC(=O)/C(=C\C(C)C)[Si](C)(C)C	E47k	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C11H22O2Si/c1-7-13-11(12)10(8-9(2)3)14(4,5)6/h8-9H,7H2,1-6H3/b10-8+	JHBPXFOSHUSESD-CSKARUKUSA-N	JHBPXFOSHUSESD-CSKARUKUSA-N	CCOC(=O)C(=C/C(C)C)\[Si](C)(C)C	TRUE
UALIB-928	CCOC(=O)/C(=C\C[Si](C)(C)C)[Si](C)(C)C	E47l	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C12H26O2Si2/c1-8-14-12(13)11(16(5,6)7)9-10-15(2,3)4/h9H,8,10H2,1-7H3/b11-9+	YLJGWJLMVYKXHS-PKNBQFBNSA-N	YLJGWJLMVYKXHS-PKNBQFBNSA-N	CCOC(=O)C(=C/C[Si](C)(C)C)\[Si](C)(C)C	TRUE
UALIB-929	CCOC(=O)/C(=C\C[Si](C)(C)C)[Si](CC)(CC)CC	E47m	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C15H32O2Si2/c1-8-17-15(16)14(12-13-18(5,6)7)19(9-2,10-3)11-4/h12H,8-11,13H2,1-7H3/b14-12+	BLGDMEGQCMXOLS-WYMLVPIESA-N	BLGDMEGQCMXOLS-WYMLVPIESA-N	CCOC(=O)C(=C/C[Si](C)(C)C)\[Si](CC)(CC)CC	TRUE
UALIB-930	CCOC(=O)/C(=C(/C)C[Si](C)(C)C)[Si](C)(C)C	E47n	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C13H28O2Si2/c1-9-15-13(14)12(17(6,7)8)11(2)10-16(3,4)5/h9-10H2,1-8H3/b12-11+	PDWSRHIDCHJFFZ-VAWYXSNFSA-N	PDWSRHIDCHJFFZ-VAWYXSNFSA-N	CCOC(=O)C(=C(\C)C[Si](C)(C)C)\[Si](C)(C)C	TRUE
UALIB-931	C/C=C/C(C(=O)OCC)[Si](C)(C)C	E61.11	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C10H20O2Si/c1-6-8-9(13(3,4)5)10(11)12-7-2/h6,8-9H,7H2,1-5H3/b8-6+	JZKCAGZYQGSTIF-SOFGYWHQSA-N	JZKCAGZYQGSTIF-SOFGYWHQSA-N	CCOC(=O)C(\C=C\C)[Si](C)(C)C	TRUE
UALIB-932	CCOC(=O)C(/C=C/C1=CC=CC=C1)[Si](C)(C)C	E61.38	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C15H22O2Si/c1-5-17-15(16)14(18(2,3)4)12-11-13-9-7-6-8-10-13/h6-12,14H,5H2,1-4H3/b12-11+	ZNDZNQZREZZBTQ-VAWYXSNFSA-N	ZNDZNQZREZZBTQ-VAWYXSNFSA-N	CCOC(=O)C(\C=C\C1=CC=CC=C1)[Si](C)(C)C	TRUE
UALIB-933	C=CC(C(=O)OCC)[Si](C)(C)C	E61.39	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C9H18O2Si/c1-6-8(12(3,4)5)9(10)11-7-2/h6,8H,1,7H2,2-5H3	MYBUSWAWNMOQNW-UHFFFAOYSA-N	MYBUSWAWNMOQNW-UHFFFAOYSA-N	CCOC(=O)C(C=C)[Si](C)(C)C	TRUE
UALIB-934	C=CC(C(=O)OCC)[Si](CC)(CC)CC	E61.40	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C12H24O2Si/c1-6-11(12(13)14-7-2)15(8-3,9-4)10-5/h6,11H,1,7-10H2,2-5H3	LQPVOUIZOCOSED-UHFFFAOYSA-N	LQPVOUIZOCOSED-UHFFFAOYSA-N	CCOC(=O)C(C=C)[Si](CC)(CC)CC	TRUE
UALIB-935	C/C=C/C(C(=O)OCC)[Si](CC)(CC)CC	E61.41	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C13H26O2Si/c1-6-11-12(13(14)15-7-2)16(8-3,9-4)10-5/h6,11-12H,7-10H2,1-5H3/b11-6+	ZQUJRXZECWMLHR-IZZDOVSWSA-N	ZQUJRXZECWMLHR-IZZDOVSWSA-N	CCOC(=O)C(\C=C\C)[Si](CC)(CC)CC	TRUE
UALIB-936	CCOC(=O)C(C=C(C)C)[Si](C)(C)C	61.1	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C11H22O2Si/c1-7-13-11(12)10(8-9(2)3)14(4,5)6/h8,10H,7H2,1-6H3	CBIQAUQWRHWDGX-UHFFFAOYSA-N	CBIQAUQWRHWDGX-UHFFFAOYSA-N	CCOC(=O)C(C=C(C)C)[Si](C)(C)C	TRUE
UALIB-937	CCOC(=O)C(/C=C/[Si](C)(C)C)[Si](C)(C)C	E61.42	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C12H26O2Si2/c1-8-14-12(13)11(16(5,6)7)9-10-15(2,3)4/h9-11H,8H2,1-7H3/b10-9+	IUTMNSNNMBBHIP-MDZDMXLPSA-N	IUTMNSNNMBBHIP-MDZDMXLPSA-N	CCOC(=O)C(\C=C\[Si](C)(C)C)[Si](C)(C)C	TRUE
UALIB-938	CCOC(=O)C(/C=C/[Si](C)(C)C)[Si](CC)(CC)CC	E61.43	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C15H32O2Si2/c1-8-17-15(16)14(12-13-18(5,6)7)19(9-2,10-3)11-4/h12-14H,8-11H2,1-7H3/b13-12+	CLALRROULIFUHS-OUKQBFOZSA-N	CLALRROULIFUHS-OUKQBFOZSA-N	CCOC(=O)C(\C=C\[Si](C)(C)C)[Si](CC)(CC)CC	TRUE
UALIB-939	C=C/C(=C(/OCC)O[Si](C)(C)C)[Si](C)(C)C	60c	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C12H26O2Si2/c1-9-11(15(3,4)5)12(13-10-2)14-16(6,7)8/h9H,1,10H2,2-8H3/b12-11+	KHAKUBNIGLHXFA-VAWYXSNFSA-N	KHAKUBNIGLHXFA-VAWYXSNFSA-N	CCO\C(O[Si](C)(C)C)=C(\C=C)[Si](C)(C)C	TRUE
UALIB-940	C=C/C(=C(/OCC)O[Si](C)(C)C)[Si](CC)(CC)CC	60d	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C15H32O2Si2/c1-9-14(19(11-3,12-4)13-5)15(16-10-2)17-18(6,7)8/h9H,1,10-13H2,2-8H3/b15-14+	RHBYGBGNJXSGDV-CCEZHUSRSA-N	RHBYGBGNJXSGDV-CCEZHUSRSA-N	CCO\C(O[Si](C)(C)C)=C(\C=C)[Si](CC)(CC)CC	TRUE
UALIB-941	C/C=C/C(=C(/OCC)O[Si](C)(C)C)[Si](C)(C)C	60e	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	InChI=1S/C13H28O2Si2/c1-9-11-12(16(3,4)5)13(14-10-2)15-17(6,7)8/h9,11H,10H2,1-8H3/b11-9+,13-12+	DNBQZSHBQNJIRP-GNDASISDSA-N	DNBQZSHBQNJIRP-GNDASISDSA-N	CCO\C(O[Si](C)(C)C)=C(\C=C\C)/[Si](C)(C)C	TRUE
