DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-890	CC1(C)CC(=O)CC(=O)C1	5,5-Dimethyl-1,3-cyclohexanedione	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C8H12O2/c1-8(2)4-6(9)3-7(10)5-8/h3-5H2,1-2H3	BADXJIPKFRBFOT-UHFFFAOYSA-N	BADXJIPKFRBFOT-UHFFFAOYSA-N	CC1(C)CC(=O)CC(=O)C1	TRUE
UALIB-891	CC1(C)CC(=O)C(C)(C)C(=O)C1	2,2,5,5-Tetramethyl-1,3-cyclohexanedione	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C10H16O2/c1-9(2)5-7(11)10(3,4)8(12)6-9/h5-6H2,1-4H3	RMYOPLPHLGBSCY-UHFFFAOYSA-N	RMYOPLPHLGBSCY-UHFFFAOYSA-N	CC1(C)CC(=O)C(C)(C)C(=O)C1	TRUE
UALIB-892	CC1(C)C[C@H](O)C(C)(C)[C@H](O)C1	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C10H20O2/c1-9(2)5-7(11)10(3,4)8(12)6-9/h7-8,11-12H,5-6H2,1-4H3/t7-,8+	XONJWJKVJONLNF-OCAPTIKFSA-N	XONJWJKVJONLNF-OCAPTIKFSA-N	CC1(C)C[C@H](O)C(C)(C)[C@H](O)C1 |o1:4,9,r|	TRUE
UALIB-893	CC1(C)C[C@@H](O)C(C)(C)[C@H](O)C1	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C10H20O2/c1-9(2)5-7(11)10(3,4)8(12)6-9/h7-8,11-12H,5-6H2,1-4H3/t7-,8-/m1/s1	XONJWJKVJONLNF-HTQZYQBOSA-N	XONJWJKVJONLNF-HTQZYQBOSA-N	CC1(C)C[C@@H](O)C(C)(C)[C@H](O)C1 |o1:4,9,r|	TRUE
UALIB-894	CC1=CC=C(S(=O)(=O)O[C@@H]2CC(C)(C)C[C@@H](OS(=O)(=O)C3=CC=C(C)C=C3)C2(C)C)C=C1	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-p-toluenesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C24H32O6S2/c1-17-7-11-19(12-8-17)31(25,26)29-21-15-23(3,4)16-22(24(21,5)6)30-32(27,28)20-13-9-18(2)10-14-20/h7-14,21-22H,15-16H2,1-6H3/t21-,22-/m1/s1	HDIVNFGTFYEQSP-FGZHOGPDSA-N	HDIVNFGTFYEQSP-FGZHOGPDSA-N	CC1=CC=C(C=C1)S(=O)(=O)O[C@@H]1CC(C)(C)C[C@@H](OS(=O)(=O)C2=CC=C(C)C=C2)C1(C)C |o1:11,17,r,c:3,5,28,t:1,23,25|	TRUE
UALIB-895	CC1=CC=C(S(=O)(=O)O[C@H]2CC(C)(C)C[C@@H](OS(=O)(=O)C3=CC=C(C)C=C3)C2(C)C)C=C1	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-p-toluenesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C24H32O6S2/c1-17-7-11-19(12-8-17)31(25,26)29-21-15-23(3,4)16-22(24(21,5)6)30-32(27,28)20-13-9-18(2)10-14-20/h7-14,21-22H,15-16H2,1-6H3/t21-,22+	HDIVNFGTFYEQSP-SZPZYZBQSA-N	HDIVNFGTFYEQSP-SZPZYZBQSA-N	CC1=CC=C(C=C1)S(=O)(=O)O[C@@H]1CC(C)(C)C[C@H](OS(=O)(=O)C2=CC=C(C)C=C2)C1(C)C |o1:11,17,r,c:3,5,28,t:1,23,25|	TRUE
UALIB-896	CC1(C)C[C@@H](OS(C)(=O)=O)C(C)(C)[C@H](OS(C)(=O)=O)C1	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-methanesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C12H24O6S2/c1-11(2)7-9(17-19(5,13)14)12(3,4)10(8-11)18-20(6,15)16/h9-10H,7-8H2,1-6H3/t9-,10-/m1/s1	LCROYCVZXOXYLQ-NXEZZACHSA-N	LCROYCVZXOXYLQ-NXEZZACHSA-N	CC1(C)C[C@@H](OS(C)(=O)=O)C(C)(C)[C@@H](C1)OS(C)(=O)=O |o1:4,13,r|	TRUE
UALIB-897	CC1(C)C[C@H](OS(C)(=O)=O)C(C)(C)[C@H](OS(C)(=O)=O)C1	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-methanesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C12H24O6S2/c1-11(2)7-9(17-19(5,13)14)12(3,4)10(8-11)18-20(6,15)16/h9-10H,7-8H2,1-6H3/t9-,10+	LCROYCVZXOXYLQ-AOOOYVTPSA-N	LCROYCVZXOXYLQ-AOOOYVTPSA-N	CC1(C)C[C@@H](OS(C)(=O)=O)C(C)(C)[C@H](C1)OS(C)(=O)=O |o1:4,13,r|	TRUE
UALIB-898	CC(C)=CCC(C)(C)CC=O	3,3,6-Trimethyl-5-heptenal	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C10H18O/c1-9(2)5-6-10(3,4)7-8-11/h5,8H,6-7H2,1-4H3	QWBRMOIHXYKAFG-UHFFFAOYSA-N	QWBRMOIHXYKAFG-UHFFFAOYSA-N	CC(C)=CCC(C)(C)CC=O	TRUE
UALIB-899	COC1CC(C)(C)C=CC1(C)C	4-methoxy-3,3,6,6-tetramethylcyclohexene	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	InChI=1S/C11H20O/c1-10(2)6-7-11(3,4)9(8-10)12-5/h6-7,9H,8H2,1-5H3	OVFGZCMSTIEVPJ-UHFFFAOYSA-N	OVFGZCMSTIEVPJ-UHFFFAOYSA-N	COC1CC(C)(C)C=CC1(C)C	TRUE
