DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-378	ClCC1=CCCCC1	1-Chloromethylcyclohexene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C7H11Cl/c8-6-7-4-2-1-3-5-7/h4H,1-3,5-6H2	PZCCSJYFXQXAST-UHFFFAOYSA-N	PZCCSJYFXQXAST-UHFFFAOYSA-N	ClCC1=CCCCC1	TRUE
UALIB-379	C=C(C)CCC(C)=O	5-oxo-2-methylhexene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C7H12O/c1-6(2)4-5-7(3)8/h1,4-5H2,2-3H3	VBCIOOKAKHGVMI-UHFFFAOYSA-N	VBCIOOKAKHGVMI-UHFFFAOYSA-N	CC(=C)CCC(C)=O	TRUE
UALIB-380	CC(=O)CCC1(C)CO1	2-Methyl-2-(3-butanonyl)oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C7H12O2/c1-6(8)3-4-7(2)5-9-7/h3-5H2,1-2H3	GJTIGQZURAGZCN-UHFFFAOYSA-N	GJTIGQZURAGZCN-UHFFFAOYSA-N	CC(=O)CCC1(C)CO1	TRUE
UALIB-381	C=C(C)CCC1(C)CO1	2-Methyl-2-(2-methylbut-l-en-4-yl) oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C8H14O/c1-7(2)4-5-8(3)6-9-8/h1,4-6H2,2-3H3	ROTNGJJFLIIVDI-UHFFFAOYSA-N	ROTNGJJFLIIVDI-UHFFFAOYSA-N	CC(=C)CCC1(C)CO1	TRUE
UALIB-382	CC1(CCC2(C)OCOO2)CO1	3-methyl-3-[2-(2-methyloxiranyl)ethyl]-1,2,4-trioxalane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C8H14O4/c1-7(5-9-7)3-4-8(2)10-6-11-12-8/h3-6H2,1-2H3	RWWZCYVWUPIIPT-UHFFFAOYSA-N	RWWZCYVWUPIIPT-UHFFFAOYSA-N	CC1(CCC2(C)OCOO2)CO1	TRUE
UALIB-383	COC(C)(CCC1(C)CO1)OO	2-methyl-1-(3-hydroperoxy-3-alkoxybut-1-yl)oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C8H16O4/c1-7(6-11-7)4-5-8(2,10-3)12-9/h9H,4-6H2,1-3H3	AOKNEHYHBQJHJE-UHFFFAOYSA-N	AOKNEHYHBQJHJE-UHFFFAOYSA-N	COC(C)(CCC1(C)CO1)OO	TRUE
UALIB-384	OOC1CCCCO1	Tetrahydro-2H-pyran-2-ylhydroperoxide	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C5H10O3/c6-8-5-3-1-2-4-7-5/h5-6H,1-4H2	XYISQAQXKGUAET-UHFFFAOYSA-N	XYISQAQXKGUAET-UHFFFAOYSA-N	[H]OOC1CCCCO1	TRUE
UALIB-385	OOC1CCCO1	Tetrahydro-2-furanylhydroperoxide	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C4H8O3/c5-7-4-2-1-3-6-4/h4-5H,1-3H2	JSZPBTUOIOMFMS-UHFFFAOYSA-N	JSZPBTUOIOMFMS-UHFFFAOYSA-N	[H]OOC1CCCO1	TRUE
UALIB-386	CC(=O)CCC(C)C(=O)O	5-Oxo-2-methylhexanoic acid	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C7H12O3/c1-5(7(9)10)3-4-6(2)8/h5H,3-4H2,1-2H3,(H,9,10)	RJKCQJNOJDMYEM-UHFFFAOYSA-N	RJKCQJNOJDMYEM-UHFFFAOYSA-N	CC(CCC(C)=O)C(O)=O	TRUE
UALIB-387	COC(=O)C(C)CCC(C)(OC)OC	Methyl 5,5-dimethoxy-2-methylhexanoate	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C10H20O4/c1-8(9(11)12-3)6-7-10(2,13-4)14-5/h8H,6-7H2,1-5H3	KMJVGQLTNNGPRR-UHFFFAOYSA-N	KMJVGQLTNNGPRR-UHFFFAOYSA-N	COC(=O)C(C)CCC(C)(OC)OC	TRUE
UALIB-388	CO/C(O[Si](C)(C)C)=C(/C)CCC(C)(OC)OC.CO/C(O[Si](C)(C)C)=C(\C)CCC(C)(OC)OC	1,5,5-Trimethoxy-2-methyl-1-trimethylsiyloxyhex-l-ene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/2C13H28O4Si/c2*1-11(9-10-13(2,15-4)16-5)12(14-3)17-18(6,7)8/h2*9-10H2,1-8H3/b12-11+;12-11-	VVZWRMCLGWCGQO-ZGMWKFTRSA-N	VVZWRMCLGWCGQO-ZGMWKFTRSA-N	CO\C(O[Si](C)(C)C)=C(\C)CCC(C)(OC)OC.CO\C(O[Si](C)(C)C)=C(/C)CCC(C)(OC)OC	TRUE
UALIB-389	COC(=O)C(C)(CC(C)(OC)OC)OO[Si](C)(C)C	Methyl 5,5-dimethoxy-2-methyl-2-trimethylsilylperoxy hexanoate	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	InChI=1S/C12H26O6Si/c1-11(10(13)14-3,17-18-19(6,7)8)9-12(2,15-4)16-5/h9H2,1-8H3	UIDOMQPFBOYFEQ-UHFFFAOYSA-N	UIDOMQPFBOYFEQ-UHFFFAOYSA-N	COC(=O)C(C)(CC(C)(OC)OC)OO[Si](C)(C)C	TRUE
