DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2180	CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@@H](O)[C@@H]1O[Si](C)(C)C(C)(C)C	2, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C22H41N5O4Si2/c1-21(2,3)32(7,8)29-11-14-17(31-33(9,10)22(4,5)6)16(28)20(30-14)27-13-26-15-18(23)24-12-25-19(15)27/h12-14,16-17,20,28H,11H2,1-10H3,(H2,23,24,25)/t14-,16+,17-,20-/m1/s1	YLKVHYZMEPCMDO-XNWPKKHHSA-N	YLKVHYZMEPCMDO-XNWPKKHHSA-N	CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O[Si](C)(C)C(C)(C)C)N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2181	CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O	3, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C22H41N5O4Si2/c1-21(2,3)32(7,8)29-11-14-16(28)17(31-33(9,10)22(4,5)6)20(30-14)27-13-26-15-18(23)24-12-25-19(15)27/h12-14,16-17,20,28H,11H2,1-10H3,(H2,23,24,25)/t14-,16-,17+,20-/m1/s1	XERXHSJOIUTEBZ-DFYYWFRZSA-N	XERXHSJOIUTEBZ-DFYYWFRZSA-N	CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O)N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2182	CC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C21	4a, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C24H43N5O5Si2/c1-15(30)32-19-18(34-36(10,11)24(5,6)7)16(12-31-35(8,9)23(2,3)4)33-22(19)29-14-28-17-20(25)26-13-27-21(17)29/h13-14,16,18-19,22H,12H2,1-11H3,(H2,25,26,27)/t16-,18-,19+,22-/m1/s1	FWMPWRPYRSFWHH-NSAZKJPHSA-N	FWMPWRPYRSFWHH-NSAZKJPHSA-N	CC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2183	CCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C21	4b, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C25H45N5O5Si2/c1-12-17(31)34-20-19(35-37(10,11)25(5,6)7)16(13-32-36(8,9)24(2,3)4)33-23(20)30-15-29-18-21(26)27-14-28-22(18)30/h14-16,19-20,23H,12-13H2,1-11H3,(H2,26,27,28)/t16-,19-,20+,23-/m1/s1	HSQMXDIYGXXWBG-LOODEUFTSA-N	HSQMXDIYGXXWBG-LOODEUFTSA-N	CCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2184	CCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C21	4c, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C26H47N5O5Si2/c1-12-13-18(32)35-21-20(36-38(10,11)26(5,6)7)17(14-33-37(8,9)25(2,3)4)34-24(21)31-16-30-19-22(27)28-15-29-23(19)31/h15-17,20-21,24H,12-14H2,1-11H3,(H2,27,28,29)/t17-,20-,21+,24-/m1/s1	IFBXVKDHZLOGQT-JWIQCUOBSA-N	IFBXVKDHZLOGQT-JWIQCUOBSA-N	CCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2185	CCCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C21	4d, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C27H49N5O5Si2/c1-12-13-14-19(33)36-22-21(37-39(10,11)27(5,6)7)18(15-34-38(8,9)26(2,3)4)35-25(22)32-17-31-20-23(28)29-16-30-24(20)32/h16-18,21-22,25H,12-15H2,1-11H3,(H2,28,29,30)/t18-,21-,22+,25-/m1/s1	AILVPSMFGMKWRW-LLHPUKMZSA-N	AILVPSMFGMKWRW-LLHPUKMZSA-N	CCCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2186	CC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C21	5a, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C12H15N5O5/c1-5(19)21-9-8(20)6(2-18)22-12(9)17-4-16-7-10(13)14-3-15-11(7)17/h3-4,6,8-9,12,18,20H,2H2,1H3,(H2,13,14,15)/t6-,8-,9+,12-/m1/s1	WEPFJYPAGFIIKF-QRKAXHLRSA-N	WEPFJYPAGFIIKF-QRKAXHLRSA-N	CC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2187	CCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C21	5b, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C13H17N5O5/c1-2-7(20)23-10-9(21)6(3-19)22-13(10)18-5-17-8-11(14)15-4-16-12(8)18/h4-6,9-10,13,19,21H,2-3H2,1H3,(H2,14,15,16)/t6-,9-,10+,13-/m1/s1	ZJGJHHKPRTUHSO-FAYBLGNRSA-N	ZJGJHHKPRTUHSO-FAYBLGNRSA-N	CCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2188	CCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C21	5c, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C14H19N5O5/c1-2-3-8(21)24-11-10(22)7(4-20)23-14(11)19-6-18-9-12(15)16-5-17-13(9)19/h5-7,10-11,14,20,22H,2-4H2,1H3,(H2,15,16,17)/t7-,10-,11+,14-/m1/s1	ZFVXOVJSEIPINR-BKWHQTBESA-N	ZFVXOVJSEIPINR-BKWHQTBESA-N	CCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
UALIB-2189	CCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C21	5d, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	InChI=1S/C15H21N5O5/c1-2-3-4-9(22)25-12-11(23)8(5-21)24-15(12)20-7-19-10-13(16)17-6-18-14(10)20/h6-8,11-12,15,21,23H,2-5H2,1H3,(H2,16,17,18)/t8-,11-,12+,15-/m1/s1	GCTYFBHNQFEDDZ-UPSWMWPXSA-N	GCTYFBHNQFEDDZ-UPSWMWPXSA-N	CCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	TRUE
