DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2655	CC(=O)OC[C@H]1O[C@@H](N2C=NC3=C2N=CN(C(C)=O)C[C@H]3OC(C)=O)C(Cl)[C@@H]1OC(C)=O	part 1, 32	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C19H23ClN4O8/c1-9(25)23-5-13(30-11(3)27)16-18(22-7-23)24(8-21-16)19-15(20)17(31-12(4)28)14(32-19)6-29-10(2)26/h7-8,13-15,17,19H,5-6H2,1-4H3/t13-,14-,15?,17-,19-/m1/s1	VRYXIZHEHYABHD-APEATWRNSA-N	VRYXIZHEHYABHD-APEATWRNSA-N	CC(=O)OC[C@H]1O[C@H](C(Cl)[C@@H]1OC(C)=O)N1C=NC2=C1N=CN(C[C@H]2OC(C)=O)C(C)=O	TRUE
UALIB-2656	CC(=O)OC[C@H]1OC(OC(C)=O)C(OC(C)=O)[C@@H]1OC(C)=O	part 1, 35	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C13H18O9/c1-6(14)18-5-10-11(19-7(2)15)12(20-8(3)16)13(22-10)21-9(4)17/h10-13H,5H2,1-4H3/t10-,11-,12?,13?/m1/s1	IHNHAHWGVLXCCI-OKZRHMCRSA-N	IHNHAHWGVLXCCI-OKZRHMCRSA-N	CC(=O)OC[C@H]1OC(OC(C)=O)C(OC(C)=O)[C@@H]1OC(C)=O	TRUE
UALIB-2657	CC(=O)OCC1=CC(Cl)=C(C(C)=O)O1	part 1, 36	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C9H9ClO4/c1-5(11)9-8(10)3-7(14-9)4-13-6(2)12/h3H,4H2,1-2H3	WHDMCHMZRKQHCL-UHFFFAOYSA-N	WHDMCHMZRKQHCL-UHFFFAOYSA-N	CC(=O)OCC1=CC(Cl)=C(O1)C(C)=O	TRUE
UALIB-2658	CO[C@@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@H]1O.CO[C@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@H]1O	part 1, 40 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/2C18H38O6Si2/c2*1-11(2)25(12(3)4)21-10-15-17(16(19)18(20-9)22-15)23-26(24-25,13(5)6)14(7)8/h2*11-19H,10H2,1-9H3/t15-,16-,17-,18+;15-,16-,17-,18-/m11/s1	IZTIVMUKISWAHA-IEIMAZEQSA-N	IZTIVMUKISWAHA-IEIMAZEQSA-N	CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C.CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2659	CO[C@@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@H]1OC(C)=O	part 1, 43 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C20H40O7Si2/c1-12(2)28(13(3)4)23-11-17-18(19(24-16(9)21)20(22-10)25-17)26-29(27-28,14(5)6)15(7)8/h12-15,17-20H,11H2,1-10H3/t17-,18-,19-,20-/m1/s1	YAJVBBNLIGDLOB-UAFMIMERSA-N	YAJVBBNLIGDLOB-UAFMIMERSA-N	CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1OC(C)=O)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2660	CO[C@@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@@H]1Cl	part 1, 41 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C18H37ClO5Si2/c1-11(2)25(12(3)4)21-10-15-17(16(19)18(20-9)22-15)23-26(24-25,13(5)6)14(7)8/h11-18H,10H2,1-9H3/t15-,16+,17-,18-/m1/s1	ITWADOHIPMJFMT-XMTFNYHQSA-N	ITWADOHIPMJFMT-XMTFNYHQSA-N	CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1Cl)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2661	CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O.CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O	part 1, 42 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/2C11H15ClO7/c2*1-5(13)16-4-8-10(17-6(2)14)9(12)11(19-8)18-7(3)15/h2*8-11H,4H2,1-3H3/t8-,9+,10-,11+;8-,9+,10-,11-/m11/s1	LEBOMMPSQJTDCT-RIIILGHTSA-N	LEBOMMPSQJTDCT-RIIILGHTSA-N	CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O.CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O	TRUE
UALIB-2662	CO[C@@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@@H]1O.CO[C@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@@H]1O	part 1, 47 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/2C18H38O6Si2/c2*1-11(2)25(12(3)4)21-10-15-17(16(19)18(20-9)22-15)23-26(24-25,13(5)6)14(7)8/h2*11-19H,10H2,1-9H3/t15-,16+,17-,18+;15-,16+,17-,18-/m11/s1	IZTIVMUKISWAHA-CDXBVUHXSA-N	IZTIVMUKISWAHA-CDXBVUHXSA-N	CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C.CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2663	CO[C@@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@@H]1OC(C)=O	part 1, 49 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C20H40O7Si2/c1-12(2)28(13(3)4)23-11-17-18(19(24-16(9)21)20(22-10)25-17)26-29(27-28,14(5)6)15(7)8/h12-15,17-20H,11H2,1-10H3/t17-,18-,19+,20-/m1/s1	YAJVBBNLIGDLOB-YSTOQKLRSA-N	YAJVBBNLIGDLOB-YSTOQKLRSA-N	CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1OC(C)=O)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2664	CO[C@H]1O[C@@H]2CO[Si](C(C)C)(C(C)C)O[Si](C(C)C)(C(C)C)O[C@H]2[C@H]1Cl	part 1, 48 	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	InChI=1S/C18H37ClO5Si2/c1-11(2)25(12(3)4)21-10-15-17(16(19)18(20-9)22-15)23-26(24-25,13(5)6)14(7)8/h11-18H,10H2,1-9H3/t15-,16-,17-,18+/m1/s1	ITWADOHIPMJFMT-TVFCKZIOSA-N	ITWADOHIPMJFMT-TVFCKZIOSA-N	CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1Cl)(C(C)C)C(C)C)(C(C)C)C(C)C	TRUE
