DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2587	N#C[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	part 1, 30	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C27H27NO4/c28-16-24-26(30-18-22-12-6-2-7-13-22)27(31-19-23-14-8-3-9-15-23)25(32-24)20-29-17-21-10-4-1-5-11-21/h1-15,24-27H,17-20H2/t24-,25-,26-,27-/m1/s1	PQATZWNKXOJHJA-FPCALVHFSA-N	PQATZWNKXOJHJA-FPCALVHFSA-N	N#C[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2588	N#C[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	part 1, 31	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C27H27NO4/c28-16-24-26(30-18-22-12-6-2-7-13-22)27(31-19-23-14-8-3-9-15-23)25(32-24)20-29-17-21-10-4-1-5-11-21/h1-15,24-27H,17-20H2/t24-,25+,26+,27+/m0/s1	PQATZWNKXOJHJA-FICKONGGSA-N	PQATZWNKXOJHJA-FICKONGGSA-N	N#C[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2589	NC(=S)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	part 1, 32	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C27H29NO4S/c28-27(33)26-25(31-18-22-14-8-3-9-15-22)24(30-17-21-12-6-2-7-13-21)23(32-26)19-29-16-20-10-4-1-5-11-20/h1-15,23-26H,16-19H2,(H2,28,33)/t23-,24-,25+,26+/m1/s1	YUXQXDRXPDLDEK-XPGKHFPBSA-N	YUXQXDRXPDLDEK-XPGKHFPBSA-N	NC(=S)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2590	NC(=S)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	part 1, 33	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C27H29NO4S/c28-27(33)26-25(31-18-22-14-8-3-9-15-22)24(30-17-21-12-6-2-7-13-21)23(32-26)19-29-16-20-10-4-1-5-11-20/h1-15,23-26H,16-19H2,(H2,28,33)/t23-,24-,25+,26-/m1/s1	YUXQXDRXPDLDEK-FXSWLTOZSA-N	YUXQXDRXPDLDEK-FXSWLTOZSA-N	NC(=S)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2591	CCOC(=O)C1=CSC([C@H]2O[C@H](COCC3=CC=CC=C3)[C@@H](OCC3=CC=CC=C3)[C@@H]2OCC2=CC=CC=C2)=N1	part 1, 34	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C32H33NO6S/c1-2-36-32(34)26-22-40-31(33-26)30-29(38-20-25-16-10-5-11-17-25)28(37-19-24-14-8-4-9-15-24)27(39-30)21-35-18-23-12-6-3-7-13-23/h3-17,22,27-30H,2,18-21H2,1H3/t27-,28-,29+,30+/m1/s1	QCOPJOJHYMEYAX-XAZDILKDSA-N	QCOPJOJHYMEYAX-XAZDILKDSA-N	CCOC(=O)C1=CSC(=N1)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2592	CCOC(=O)C1=CSC([C@@H]2O[C@H](COCC3=CC=CC=C3)[C@@H](OCC3=CC=CC=C3)[C@@H]2OCC2=CC=CC=C2)=N1	part 1, 35	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C32H33NO6S/c1-2-36-32(34)26-22-40-31(33-26)30-29(38-20-25-16-10-5-11-17-25)28(37-19-24-14-8-4-9-15-24)27(39-30)21-35-18-23-12-6-3-7-13-23/h3-17,22,27-30H,2,18-21H2,1H3/t27-,28-,29+,30-/m1/s1	QCOPJOJHYMEYAX-GKIKGMKOSA-N	QCOPJOJHYMEYAX-GKIKGMKOSA-N	CCOC(=O)C1=CSC(=N1)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2593	CCOC(=O)C1=CSC(C2=CC=C(COCC3=CC=CC=C3)O2)=N1	part 1, 36	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C18H17NO4S/c1-2-22-18(20)15-12-24-17(19-15)16-9-8-14(23-16)11-21-10-13-6-4-3-5-7-13/h3-9,12H,2,10-11H2,1H3	JNDQOQLCRRSGQP-UHFFFAOYSA-N	JNDQOQLCRRSGQP-UHFFFAOYSA-N	CCOC(=O)C1=CSC(=N1)C1=CC=C(COCC2=CC=CC=C2)O1	TRUE
UALIB-2594	NC(=O)C1=CSC([C@H]2O[C@H](COCC3=CC=CC=C3)[C@@H](OCC3=CC=CC=C3)[C@@H]2OCC2=CC=CC=C2)=N1	part 1, 37	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C30H30N2O5S/c31-29(33)24-20-38-30(32-24)28-27(36-18-23-14-8-3-9-15-23)26(35-17-22-12-6-2-7-13-22)25(37-28)19-34-16-21-10-4-1-5-11-21/h1-15,20,25-28H,16-19H2,(H2,31,33)/t25-,26-,27+,28+/m1/s1	KJYSNBSKZNOFRD-VIJSPRBVSA-N	KJYSNBSKZNOFRD-VIJSPRBVSA-N	NC(=O)C1=CSC(=N1)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2595	NC(=O)C1=CSC([C@@H]2O[C@H](COCC3=CC=CC=C3)[C@@H](OCC3=CC=CC=C3)[C@@H]2OCC2=CC=CC=C2)=N1	part 1, 38	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C30H30N2O5S/c31-29(33)24-20-38-30(32-24)28-27(36-18-23-14-8-3-9-15-23)26(35-17-22-12-6-2-7-13-22)25(37-28)19-34-16-21-10-4-1-5-11-21/h1-15,20,25-28H,16-19H2,(H2,31,33)/t25-,26-,27+,28-/m1/s1	KJYSNBSKZNOFRD-ZZXHUEHTSA-N	KJYSNBSKZNOFRD-ZZXHUEHTSA-N	NC(=O)C1=CSC(=N1)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	TRUE
UALIB-2596	NC(=O)C1=CSC([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)=N1	part 1, 39	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	InChI=1S/C9H12N2O5S/c10-8(15)3-2-17-9(11-3)7-6(14)5(13)4(1-12)16-7/h2,4-7,12-14H,1H2,(H2,10,15)/t4-,5-,6+,7+/m1/s1	FVRDYQYEVDDKCR-JWXFUTCRSA-N	FVRDYQYEVDDKCR-JWXFUTCRSA-N	NC(=O)C1=CSC(=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	TRUE
