DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2306	C=C/C=C(/OC)O[Si](C)(C)C(C)(C)C	84	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C11H22O2Si/c1-8-9-10(12-5)13-14(6,7)11(2,3)4/h8-9H,1H2,2-7H3/b10-9-	AYUCMORHKFSWMF-KTKRTIGZSA-N	AYUCMORHKFSWMF-KTKRTIGZSA-N	CO\C(O[Si](C)(C)C(C)(C)C)=C\C=C	TRUE
UALIB-2307	C=C/C=C(/OC)O[Si](C(C)C)(C(C)C)C(C)C	85	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C14H28O2Si/c1-9-10-14(15-8)16-17(11(2)3,12(4)5)13(6)7/h9-13H,1H2,2-8H3/b14-10-	ANTFXEZEDVDHGD-UVTDQMKNSA-N	ANTFXEZEDVDHGD-UVTDQMKNSA-N	CO\C(O[Si](C(C)C)(C(C)C)C(C)C)=C\C=C	TRUE
UALIB-2308	C=C/C=C(/OC(C)(C)C)O[Si](C)(C)C(C)(C)C	86	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C14H28O2Si/c1-10-11-12(15-13(2,3)4)16-17(8,9)14(5,6)7/h10-11H,1H2,2-9H3/b12-11-	CHCXKYIWKQONBG-QXMHVHEDSA-N	CHCXKYIWKQONBG-QXMHVHEDSA-N	CC(C)(C)O\C(O[Si](C)(C)C(C)(C)C)=C\C=C	TRUE
UALIB-2309	C=C/C=C(/OC(C)(C)C)O[Si](C(C)C)(C(C)C)C(C)C	87	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C17H34O2Si/c1-11-12-16(18-17(8,9)10)19-20(13(2)3,14(4)5)15(6)7/h11-15H,1H2,2-10H3/b16-12-	VPCFBBSRXMLIIB-VBKFSLOCSA-N	VPCFBBSRXMLIIB-VBKFSLOCSA-N	CC(C)[Si](O\C(OC(C)(C)C)=C/C=C)(C(C)C)C(C)C	TRUE
UALIB-2310	COC1=C(N)C=CC(C)=C1	89	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C8H11NO/c1-6-3-4-7(9)8(5-6)10-2/h3-5H,9H2,1-2H3	CJJLEUQMMMLOFI-UHFFFAOYSA-N	CJJLEUQMMMLOFI-UHFFFAOYSA-N	COC1=C(N)C=CC(C)=C1	TRUE
UALIB-2311	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C(Cl)=CC1=O	90	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C14H10Cl2O3/c1-7-3-4-8(11(5-7)19-2)12-10(17)6-9(15)14(18)13(12)16/h3-6H,1-2H3	AXRBULRPFJDRJA-UHFFFAOYSA-N	AXRBULRPFJDRJA-UHFFFAOYSA-N	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C(Cl)=CC1=O	TRUE
UALIB-2312	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(O)C=CC=C2C1=O	91	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C18H13ClO4/c1-9-6-7-10(13(8-9)23-2)15-16(19)18(22)14-11(17(15)21)4-3-5-12(14)20/h3-8,20H,1-2H3	DWDLPWOSQYMPIN-UHFFFAOYSA-N	DWDLPWOSQYMPIN-UHFFFAOYSA-N	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(O)C=CC=C2C1=O	TRUE
UALIB-2313	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2(Cl)C(CC=C[C@H]2O[Si](C)(C)C)C1=O	93	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C21H24Cl2O4Si/c1-12-9-10-13(15(11-12)26-2)17-18(22)20(25)21(23)14(19(17)24)7-6-8-16(21)27-28(3,4)5/h6,8-11,14,16H,7H2,1-5H3/t14?,16-,21?/m1/s1	QGBHEGRKDMUIMX-JERHATOGSA-N	QGBHEGRKDMUIMX-JERHATOGSA-N	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2(Cl)[C@H](O[Si](C)(C)C)C=CCC2C1=O	TRUE
UALIB-2314	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	94	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C18H13ClO3/c1-10-7-8-13(14(9-10)22-2)15-16(19)18(21)12-6-4-3-5-11(12)17(15)20/h3-9H,1-2H3	JSZMKZDBMBYENT-UHFFFAOYSA-N	JSZMKZDBMBYENT-UHFFFAOYSA-N	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	TRUE
UALIB-2315	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2OC(C)=O)C1=O	95	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C20H15ClO5/c1-10-7-8-12(15(9-10)25-3)17-18(21)20(24)16-13(19(17)23)5-4-6-14(16)26-11(2)22/h4-9H,1-3H3	DLAGVPBYJYYEKD-UHFFFAOYSA-N	DLAGVPBYJYYEKD-UHFFFAOYSA-N	COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2OC(C)=O)C1=O	TRUE
UALIB-2316	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C(Cl)=CC1=O	97	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C14H8Cl2O4/c1-20-14(19)8-5-3-2-4-7(8)11-10(17)6-9(15)13(18)12(11)16/h2-6H,1H3	ZTCFKSZXPGLXOP-UHFFFAOYSA-N	ZTCFKSZXPGLXOP-UHFFFAOYSA-N	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C(Cl)=CC1=O	TRUE
UALIB-2317	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2(Cl)C(CC=C[C@H]2O[Si](C)(C)C)C1=O	98	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C21H22Cl2O5Si/c1-27-20(26)13-9-6-5-8-12(13)16-17(22)19(25)21(23)14(18(16)24)10-7-11-15(21)28-29(2,3)4/h5-9,11,14-15H,10H2,1-4H3/t14?,15-,21?/m1/s1	AJPITONLMWDKQU-FAGJFJLWSA-N	AJPITONLMWDKQU-FAGJFJLWSA-N	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2(Cl)[C@H](O[Si](C)(C)C)C=CCC2C1=O	TRUE
UALIB-2318	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2O)C1=O	99	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C18H11ClO5/c1-24-18(23)10-6-3-2-5-9(10)14-15(19)17(22)13-11(16(14)21)7-4-8-12(13)20/h2-8,20H,1H3	YDMMTGJIAMSEJS-UHFFFAOYSA-N	YDMMTGJIAMSEJS-UHFFFAOYSA-N	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2O)C1=O	TRUE
UALIB-2319	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	100	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	InChI=1S/C18H11ClO4/c1-23-18(22)13-9-5-2-6-10(13)14-15(19)17(21)12-8-4-3-7-11(12)16(14)20/h2-9H,1H3	DBRFSDGYWFWWAP-UHFFFAOYSA-N	DBRFSDGYWFWWAP-UHFFFAOYSA-N	COC(=O)C1=CC=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	TRUE
