DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2279	C=C/C(C)=C/C[C@@H](CC(=O)C(C)(C)SC1=CC=CC=C1)C(=C)C.C=C/C(C)=C\C[C@@H](CC(=O)C(C)(C)SC1=CC=CC=C1)C(=C)C	24 and 45	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C21H28OS/c2*1-7-17(4)13-14-18(16(2)3)15-20(22)21(5,6)23-19-11-9-8-10-12-19/h2*7-13,18H,1-2,14-15H2,3-6H3/b17-13+;17-13-/t2*18-/m00/s1	HSAUUGYDJNFKFW-MTEAXECDSA-N	HSAUUGYDJNFKFW-MTEAXECDSA-N	CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)(C)SC1=CC=CC=C1.CC(=C)[C@@H](C\C=C(/C)C=C)CC(=O)C(C)(C)SC1=CC=CC=C1	TRUE
UALIB-2280	C=C/C(C)=C/C[C@@H](CC(=O)C(C)(C)S(=O)C1=CC=CC=C1)C(=C)C.C=C/C(C)=C\C[C@@H](CC(=O)C(C)(C)S(=O)C1=CC=CC=C1)C(=C)C	46a and 46b	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C21H28O2S/c2*1-7-17(4)13-14-18(16(2)3)15-20(22)21(5,6)24(23)19-11-9-8-10-12-19/h2*7-13,18H,1-2,14-15H2,3-6H3/b17-13+;17-13-/t2*18-,24?/m00/s1	RQAZTWMGTQWUKK-QTFVLCLHSA-N	RQAZTWMGTQWUKK-QTFVLCLHSA-N	CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)(C)S(=O)C1=CC=CC=C1.CC(=C)[C@@H](C\C=C(/C)C=C)CC(=O)C(C)(C)S(=O)C1=CC=CC=C1	TRUE
UALIB-2281	C=C/C(C)=C\C[C@@H](CC(=O)C(=C)C)C(=C)C	48	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H22O/c1-7-13(6)8-9-14(11(2)3)10-15(16)12(4)5/h7-8,14H,1-2,4,9-10H2,3,5-6H3/b13-8-/t14-/m0/s1	HOZFDLRZDWJLFD-MQJVFOOVSA-N	HOZFDLRZDWJLFD-MQJVFOOVSA-N	CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)=C	TRUE
UALIB-2282	C=C(C)[C@@H]1CC(=O)C2(C)CCC=C(C)[C@@H]2C1	52	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H22O/c1-10(2)12-8-13-11(3)6-5-7-15(13,4)14(16)9-12/h6,12-13H,1,5,7-9H2,2-4H3/t12-,13-,15?/m0/s1	NCURUZQWQGIRTM-QNIGDANOSA-N	NCURUZQWQGIRTM-QNIGDANOSA-N	[H][C@]1(CC(=O)C2(C)CCC=C(C)[C@]2([H])C1)C(C)=C	TRUE
UALIB-2283	C=C(C)[C@@H]1CCC2(C)CCC=C(C)[C@@H]2C1	49	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h6,13-14H,1,5,7-10H2,2-4H3/t13-,14+,15?/m1/s1	OZQAPQSEYFAMCY-GNXJLENFSA-N	OZQAPQSEYFAMCY-GNXJLENFSA-N	[H][C@@]12C[C@@H](CCC1(C)CCC=C2C)C(C)=C	TRUE
UALIB-2284	C=C(C)[C@@H]1CC[C@]2(C)CCC=C(C)[C@@H]2C1	50	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h6,13-14H,1,5,7-10H2,2-4H3/t13-,14+,15+/m1/s1	OZQAPQSEYFAMCY-ILXRZTDVSA-N	OZQAPQSEYFAMCY-ILXRZTDVSA-N	[H][C@@]12C[C@@H](CC[C@]1(C)CCC=C2C)C(C)=C	TRUE
UALIB-2285	CC12OC1CCCC2=O	57	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C7H10O2/c1-7-5(8)3-2-4-6(7)9-7/h6H,2-4H2,1H3	WTEVFHFQWNTPQP-UHFFFAOYSA-N	WTEVFHFQWNTPQP-UHFFFAOYSA-N	CC12OC1CCCC2=O	TRUE
UALIB-2286	CC1(SC2=CC=CC=C2)C(=O)CCCC1O	58	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/C13H16O2S/c1-13(11(14)8-5-9-12(13)15)16-10-6-3-2-4-7-10/h2-4,6-7,11,14H,5,8-9H2,1H3	BCDQAZMUPGHBID-UHFFFAOYSA-N	BCDQAZMUPGHBID-UHFFFAOYSA-N	CC1(SC2=CC=CC=C2)C(O)CCCC1=O	TRUE
UALIB-2287	C=C/C(C)=C/CCCC(=O)C(C)(C)SC1=CC=CC=C1.C=C/C(C)=C\CCCC(=O)C(C)(C)SC1=CC=CC=C1	59 and 60	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C18H24OS/c2*1-5-15(2)11-9-10-14-17(19)18(3,4)20-16-12-7-6-8-13-16/h2*5-8,11-13H,1,9-10,14H2,2-4H3/b15-11+;15-11-	UYVXDTVHNUVXRF-PXJKUUFGSA-N	UYVXDTVHNUVXRF-PXJKUUFGSA-N	C\C(C=C)=C\CCCC(=O)C(C)(C)SC1=CC=CC=C1.C\C(C=C)=C/CCCC(=O)C(C)(C)SC1=CC=CC=C1	TRUE
UALIB-2288	C=C/C(C)=C/CC(C)CCCC(C)C.C=C/C(C)=C\CC(C)CCCC(C)C	64 and 65	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C14H26/c2*1-6-13(4)10-11-14(5)9-7-8-12(2)3/h2*6,10,12,14H,1,7-9,11H2,2-5H3/b13-10+;13-10-	OHMKJBZUBIXQNL-YCUKUTHWSA-N	OHMKJBZUBIXQNL-YCUKUTHWSA-N	CC(C)CCCC(C)C\C=C(\C)C=C.CC(C)CCCC(C)C\C=C(/C)C=C	TRUE
UALIB-2289	C=C/C(C)=C/C[C@@H](CCCC)C(C)C.C=C/C(C)=C\C[C@@H](CCCC)C(C)C	66 and 67	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C14H26/c2*1-6-8-9-14(12(3)4)11-10-13(5)7-2/h2*7,10,12,14H,2,6,8-9,11H2,1,3-5H3/b13-10+;13-10-/t2*14-/m11/s1	WVFJBYIHCCILQU-AVXNAUDUSA-N	WVFJBYIHCCILQU-AVXNAUDUSA-N	CCCC[C@H](C\C=C(\C)C=C)C(C)C.CCCC[C@H](C\C=C(/C)C=C)C(C)C	TRUE
UALIB-2290	C=C/C(C)=C/C[C@@H](CCC(=C)C)C(=C)C.C=C/C(C)=C\C[C@@H](CCC(=C)C)C(=C)C	68 and 69	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	InChI=1S/2C15H24/c2*1-7-14(6)9-11-15(13(4)5)10-8-12(2)3/h2*7,9,15H,1-2,4,8,10-11H2,3,5-6H3/b14-9+;14-9-/t2*15-/m11/s1	RZKDIFJVCPNZSJ-FQMQUKJESA-N	RZKDIFJVCPNZSJ-FQMQUKJESA-N	CC(=C)CC[C@H](C\C=C(\C)C=C)C(C)=C.CC(=C)CC[C@H](C\C=C(/C)C=C)C(C)=C	TRUE
