DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2230	CCOC1(C)O[C@H]2C(=O)O[C@H](CO)[C@H]2O1	3	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C9H14O6/c1-3-12-9(2)14-6-5(4-10)13-8(11)7(6)15-9/h5-7,10H,3-4H2,1-2H3/t5-,6-,7-,9?/m1/s1	POOUAWUFUQIRRC-PILSHRGASA-N	POOUAWUFUQIRRC-PILSHRGASA-N	CCOC1(C)O[C@@H]2[C@@H](CO)OC(=O)[C@@H]2O1	TRUE
UALIB-2231	CC(=O)OC[C@@H]1C=CC(=O)O1	5	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C7H8O4/c1-5(8)10-4-6-2-3-7(9)11-6/h2-3,6H,4H2,1H3/t6-/m0/s1	CXDHMDVSGRBHQX-LURJTMIESA-N	CXDHMDVSGRBHQX-LURJTMIESA-N	CC(=O)OC[C@H]1OC(=O)C=C1	TRUE
UALIB-2232	CC(=O)[C@@H]1C(=O)O[C@H](CO)[C@H]1C	7	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C8H12O4/c1-4-6(3-9)12-8(11)7(4)5(2)10/h4,6-7,9H,3H2,1-2H3/t4-,6-,7-/m1/s1	BCODRAFSTLHTPZ-QPPQHZFASA-N	BCODRAFSTLHTPZ-QPPQHZFASA-N	C[C@@H]1[C@@H](CO)OC(=O)[C@H]1C(C)=O	TRUE
UALIB-2233	CC(=O)OC[C@H]1OC(=O)[C@@H](C(C)=O)[C@@H]1C	8	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C10H14O5/c1-5-8(4-14-7(3)12)15-10(13)9(5)6(2)11/h5,8-9H,4H2,1-3H3/t5-,8-,9-/m1/s1	DNXZXVDGNLNDKF-JISRMSBWSA-N	DNXZXVDGNLNDKF-JISRMSBWSA-N	C[C@@H]1[C@@H](COC(C)=O)OC(=O)[C@H]1C(C)=O	TRUE
UALIB-2234	CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1COC(C)=O	9	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C11H18O4S3/c1-7(12)14-6-9-8(5-10(13)15-9)11(16-2,17-3)18-4/h8-9H,5-6H2,1-4H3/t8-,9+/m0/s1	QYFTUIHMZSXNNK-DTWKUNHWSA-N	QYFTUIHMZSXNNK-DTWKUNHWSA-N	CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1COC(C)=O	TRUE
UALIB-2235	CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1CO	10	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C9H16O3S3/c1-13-9(14-2,15-3)6-4-8(11)12-7(6)5-10/h6-7,10H,4-5H2,1-3H3/t6-,7+/m0/s1	XPGWTSFISYAOCE-NKWVEPMBSA-N	XPGWTSFISYAOCE-NKWVEPMBSA-N	CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1CO	TRUE
UALIB-2236	C[C@H]1CC(=O)O[C@@H]1COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	13	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C25H24O3/c1-19-17-24(26)28-23(19)18-27-25(20-11-5-2-6-12-20,21-13-7-3-8-14-21)22-15-9-4-10-16-22/h2-16,19,23H,17-18H2,1H3/t19-,23+/m0/s1	LHVOHKXDSVCNRT-WMZHIEFXSA-N	LHVOHKXDSVCNRT-WMZHIEFXSA-N	C[C@H]1CC(=O)O[C@@H]1COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2237	C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@H]1C(C)(C)O	14	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C28H30O4/c1-20-24(32-26(29)25(20)27(2,3)30)19-31-28(21-13-7-4-8-14-21,22-15-9-5-10-16-22)23-17-11-6-12-18-23/h4-18,20,24-25,30H,19H2,1-3H3/t20-,24-,25+/m1/s1	UHMYXXFJPWMHJL-ZPZUNKDASA-N	UHMYXXFJPWMHJL-ZPZUNKDASA-N	C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@H]1C(C)(C)O	TRUE
UALIB-2238	CC(C)=C1C(=O)O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@H]1C	15	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C28H28O3/c1-20(2)26-21(3)25(31-27(26)29)19-30-28(22-13-7-4-8-14-22,23-15-9-5-10-16-23)24-17-11-6-12-18-24/h4-18,21,25H,19H2,1-3H3/t21-,25-/m1/s1	ABSINCMMASMQQX-PXDATVDWSA-N	ABSINCMMASMQQX-PXDATVDWSA-N	C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)C1=C(C)C	TRUE
UALIB-2239	C=C(C)[C@]1(C)C(=O)O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@H]1C	16	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	InChI=1S/C29H30O3/c1-21(2)28(4)22(3)26(32-27(28)30)20-31-29(23-14-8-5-9-15-23,24-16-10-6-11-17-24)25-18-12-7-13-19-25/h5-19,22,26H,1,20H2,2-4H3/t22-,26-,28+/m1/s1	WGHAOMNFSUTXOY-QIDLSXJSSA-N	WGHAOMNFSUTXOY-QIDLSXJSSA-N	C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@@]1(C)C(C)=C	TRUE
