DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2190	CC(C)(C)OC(=O)N1C=CC=C1Br	3	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C9H12BrNO2/c1-9(2,3)13-8(12)11-6-4-5-7(11)10/h4-6H,1-3H3	HMQSOVFFDHSOMX-UHFFFAOYSA-N	HMQSOVFFDHSOMX-UHFFFAOYSA-N	[H]C1=CC=C(Br)N1C(=O)OC(C)(C)C	TRUE
UALIB-2191	CC(C)(C)OC(=O)N1C(Br)=CC=C1Br	4	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C9H11Br2NO2/c1-9(2,3)14-8(13)12-6(10)4-5-7(12)11/h4-5H,1-3H3	NTGSPDLQYRAXAK-UHFFFAOYSA-N	NTGSPDLQYRAXAK-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(Br)=CC=C1Br	TRUE
UALIB-2192	CC1=CC=C(S(=O)(=O)N2C(Br)=CC=C2Br)C=C1	6	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C11H9Br2NO2S/c1-8-2-4-9(5-3-8)17(15,16)14-10(12)6-7-11(14)13/h2-7H,1H3	VEUZJRKSJDBMNS-UHFFFAOYSA-N	VEUZJRKSJDBMNS-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N1C(Br)=CC=C1Br	TRUE
UALIB-2193	CC1=CC=C(S(=O)(=O)N2C=CC=C2Br)C=C1	5	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C11H10BrNO2S/c1-9-4-6-10(7-5-9)16(14,15)13-8-2-3-11(13)12/h2-8H,1H3	DEGWOQDAQOPOEW-UHFFFAOYSA-N	DEGWOQDAQOPOEW-UHFFFAOYSA-N	[H]C1=CC=C(Br)N1S(=O)(=O)C1=CC=C(C)C=C1	TRUE
UALIB-2194	CC(C)(C)OC(=O)N1C([Si](C)(C)C)=CC=C1[Si](C)(C)C	14	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C15H29NO2Si2/c1-15(2,3)18-14(17)16-12(19(4,5)6)10-11-13(16)20(7,8)9/h10-11H,1-9H3	BCDUZDFUVDKVMQ-UHFFFAOYSA-N	BCDUZDFUVDKVMQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(=CC=C1[Si](C)(C)C)[Si](C)(C)C	TRUE
UALIB-2195	CSC1=CC=C(SC)N1C(=O)OC(C)(C)C	10	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C11H17NO2S2/c1-11(2,3)14-10(13)12-8(15-4)6-7-9(12)16-5/h6-7H,1-5H3	RFUNAKPKKFKOHA-UHFFFAOYSA-N	RFUNAKPKKFKOHA-UHFFFAOYSA-N	CSC1=CC=C(SC)N1C(=O)OC(C)(C)C	TRUE
UALIB-2196	CC(C)(C)OC(=O)N1C(Br)=CC=C1C(=O)O	11	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C10H12BrNO4/c1-10(2,3)16-9(15)12-6(8(13)14)4-5-7(12)11/h4-5H,1-3H3,(H,13,14)	HSYPLGOVUSKXRC-UHFFFAOYSA-N	HSYPLGOVUSKXRC-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(Br)=CC=C1C(O)=O	TRUE
UALIB-2197	CC(C)(C)OC(=O)N1C(I)=CC=C1I	12	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C9H11I2NO2/c1-9(2,3)14-8(13)12-6(10)4-5-7(12)11/h4-5H,1-3H3	JHUFFJHLQNKYCT-UHFFFAOYSA-N	JHUFFJHLQNKYCT-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(I)=CC=C1I	TRUE
UALIB-2198	CC(C)(C)OC(=O)N1C(C(=O)O)=CC=C1C(=O)O	13	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C11H13NO6/c1-11(2,3)18-10(17)12-6(8(13)14)4-5-7(12)9(15)16/h4-5H,1-3H3,(H,13,14)(H,15,16)	AKWDFNMMPSMWTI-UHFFFAOYSA-N	AKWDFNMMPSMWTI-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(=CC=C1C(O)=O)C(O)=O	TRUE
UALIB-2199	CC(C)(C)OC(=O)N1C(C#C[Si](C)(C)C)=CC=C1C#C[Si](C)(C)C	18	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C19H29NO2Si2/c1-19(2,3)22-18(21)20-16(12-14-23(4,5)6)10-11-17(20)13-15-24(7,8)9/h10-11H,1-9H3	KFGNEPULCCDJEH-UHFFFAOYSA-N	KFGNEPULCCDJEH-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(=CC=C1C#C[Si](C)(C)C)C#C[Si](C)(C)C	TRUE
UALIB-2200	C#CC1=CC=C(C#C)N1C(=O)OC(C)(C)C	19	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C13H13NO2/c1-6-10-8-9-11(7-2)14(10)12(15)16-13(3,4)5/h1-2,8-9H,3-5H3	UBKFWPIHZDDFAI-UHFFFAOYSA-N	UBKFWPIHZDDFAI-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1C(=CC=C1C#C)C#C	TRUE
UALIB-2201	C[Si](C)(C)C#CC1=CC=C(C#C[Si](C)(C)C)S1	22	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C14H20SSi2/c1-16(2,3)11-9-13-7-8-14(15-13)10-12-17(4,5)6/h7-8H,1-6H3	RAPGDWBCCYLGCE-UHFFFAOYSA-N	RAPGDWBCCYLGCE-UHFFFAOYSA-N	C[Si](C)(C)C#CC1=CC=C(S1)C#C[Si](C)(C)C	TRUE
UALIB-2202	C#CC1=CC=C(C#C)S1	23	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	InChI=1S/C8H4S/c1-3-7-5-6-8(4-2)9-7/h1-2,5-6H	RFMSIVGKBOVYMW-UHFFFAOYSA-N	RFMSIVGKBOVYMW-UHFFFAOYSA-N	C#CC1=CC=C(S1)C#C	TRUE
