DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2357	C(=C/C1=CC=CC=C1)\CN1CCOCCOCCOCCOCC1	N-Cinnamyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C19H29NO4/c1-2-5-19(6-3-1)7-4-8-20-9-11-21-13-15-23-17-18-24-16-14-22-12-10-20/h1-7H,8-18H2/b7-4+	OGKGVHUNQULMJX-QPJJXVBHSA-N	OGKGVHUNQULMJX-QPJJXVBHSA-N	C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	TRUE
UALIB-2358	C(=C/C1=CC=CC=C1)\CN1CCOCCOCCOCCOCC1.F[P-](F)(F)(F)(F)F.[K+]	N-Cinnamyl aza-15-crown-5.KPF6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C19H29NO4.F6P.K/c1-2-5-19(6-3-1)7-4-8-20-9-11-21-13-15-23-17-18-24-16-14-22-12-10-20;1-7(2,3,4,5)6;/h1-7H,8-18H2;;/q;-1;+1/b7-4+;;	ODNYMTNBLCPNJU-RDRKJGRWSA-N	ODNYMTNBLCPNJU-RDRKJGRWSA-N	[K+].F[P-](F)(F)(F)(F)F.C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	TRUE
UALIB-2359	C(=C/C1=CC=CC=C1)\CN1CCOCCOCCOCCOCCOCC1	N-Cinnamyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C21H33NO5/c1-2-5-21(6-3-1)7-4-8-22-9-11-23-13-15-25-17-19-27-20-18-26-16-14-24-12-10-22/h1-7H,8-20H2/b7-4+	JFNJSWSKOWSWKO-QPJJXVBHSA-N	JFNJSWSKOWSWKO-QPJJXVBHSA-N	C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	TRUE
UALIB-2360	C(=C/C1=CC=CC=C1)\CN1CCOCCOCCOCCOCCOCC1.F[P-](F)(F)(F)(F)F.[K+]	N-Cinnamyl aza-18-crown-6.KPF6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C21H33NO5.F6P.K/c1-2-5-21(6-3-1)7-4-8-22-9-11-23-13-15-25-17-19-27-20-18-26-16-14-24-12-10-22;1-7(2,3,4,5)6;/h1-7H,8-20H2;;/q;-1;+1/b7-4+;;	SYFCKWMEAZFISJ-RDRKJGRWSA-N	SYFCKWMEAZFISJ-RDRKJGRWSA-N	[K+].F[P-](F)(F)(F)(F)F.C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	TRUE
UALIB-2361	O=C(/C=C/C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	N-Cinnamoyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C19H27NO5/c21-19(7-6-18-4-2-1-3-5-18)20-8-10-22-12-14-24-16-17-25-15-13-23-11-9-20/h1-7H,8-17H2/b7-6+	QTUXDFFCFVHLSB-VOTSOKGWSA-N	QTUXDFFCFVHLSB-VOTSOKGWSA-N	O=C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	TRUE
UALIB-2362	O=C(/C=C/C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	N-Cinnamoyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C21H31NO6/c23-21(7-6-20-4-2-1-3-5-20)22-8-10-24-12-14-26-16-18-28-19-17-27-15-13-25-11-9-22/h1-7H,8-19H2/b7-6+	VIHASUXCHDDQNH-VOTSOKGWSA-N	VIHASUXCHDDQNH-VOTSOKGWSA-N	O=C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	TRUE
UALIB-2363	C=CCN1CCOCCOCCOCCOCC1	N-Allyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C13H25NO4/c1-2-3-14-4-6-15-8-10-17-12-13-18-11-9-16-7-5-14/h2H,1,3-13H2	YLVVBENHVUBDBL-UHFFFAOYSA-N	YLVVBENHVUBDBL-UHFFFAOYSA-N	C=CCN1CCOCCOCCOCCOCC1	TRUE
UALIB-2364	C=CCN1CCOCCOCCOCCOCCOCC1	N-Allyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C15H29NO5/c1-2-3-16-4-6-17-8-10-19-12-14-21-15-13-20-11-9-18-7-5-16/h2H,1,3-15H2	FEPQERSSODAYKX-UHFFFAOYSA-N	FEPQERSSODAYKX-UHFFFAOYSA-N	C=CCN1CCOCCOCCOCCOCCOCC1	TRUE
UALIB-2365	C/C=C/CN1CCOCCOCCOCCOCC1	N-Crotyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C14H27NO4/c1-2-3-4-15-5-7-16-9-11-18-13-14-19-12-10-17-8-6-15/h2-3H,4-14H2,1H3/b3-2+	PTSAYWPOBNHVSY-NSCUHMNNSA-N	PTSAYWPOBNHVSY-NSCUHMNNSA-N	C\C=C\CN1CCOCCOCCOCCOCC1	TRUE
UALIB-2366	C/C=C/CN1CCOCCOCCOCCOCCOCC1	N-Crotyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	InChI=1S/C16H31NO5/c1-2-3-4-17-5-7-18-9-11-20-13-15-22-16-14-21-12-10-19-8-6-17/h2-3H,4-16H2,1H3/b3-2+	LLYQJJOCDMZJMR-NSCUHMNNSA-N	LLYQJJOCDMZJMR-NSCUHMNNSA-N	C\C=C\CN1CCOCCOCCOCCOCCOCC1	TRUE
