DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2022	O=C(OC1CO[C@@H]2[C@H](OC(=O)C3=CC=CC=C3)CO[C@H]12)C1=CC=CC=C1	37	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C20H18O6/c21-19(13-7-3-1-4-8-13)25-15-11-23-18-16(12-24-17(15)18)26-20(22)14-9-5-2-6-10-14/h1-10,15-18H,11-12H2/t15-,16?,17-,18-/m1/s1	FQTGYQKXWLOIEK-PFMBNVRQSA-N	FQTGYQKXWLOIEK-PFMBNVRQSA-N	O=C(OC1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2023	COC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1OC	36	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C22H24O7/c1-25-13-17-19(26-2)20(29-22(24)16-11-7-4-8-12-16)18(28-17)14-27-21(23)15-9-5-3-6-10-15/h3-12,17-20H,13-14H2,1-2H3/t17-,18+,19+,20+/m0/s1	HYRRPKBTOGOOHM-MTQWCTHYSA-N	HYRRPKBTOGOOHM-MTQWCTHYSA-N	COC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1OC	TRUE
UALIB-2024	COC[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H](O)[C@@H]1OC	38	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C27H30O5/c1-29-18-24-26(30-2)25(28)23(32-24)19-31-27(20-12-6-3-7-13-20,21-14-8-4-9-15-21)22-16-10-5-11-17-22/h3-17,23-26,28H,18-19H2,1-2H3/t23-,24+,25-,26-/m1/s1	OOYHCZAIAHBBNH-XDZVQPMWSA-N	OOYHCZAIAHBBNH-XDZVQPMWSA-N	COC[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H](O)[C@@H]1OC	TRUE
UALIB-2025	COC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1OC	38b	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C8H16O5/c1-11-4-6-8(12-2)7(10)5(3-9)13-6/h5-10H,3-4H2,1-2H3/t5-,6+,7-,8-/m1/s1	LFLWPMNHMXGPDI-ULAWRXDQSA-N	LFLWPMNHMXGPDI-ULAWRXDQSA-N	COC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1OC	TRUE
UALIB-2026	O=C(OC[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1OC(=O)C1=CC=CC=C1)C1=CC=CC=C1	39	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C20H20O7/c21-11-15-17(22)18(27-20(24)14-9-5-2-6-10-14)16(26-15)12-25-19(23)13-7-3-1-4-8-13/h1-10,15-18,21-22H,11-12H2/t15-,16+,17+,18+/m0/s1	SSDDKLJPMGOGSJ-BSDSXHPESA-N	SSDDKLJPMGOGSJ-BSDSXHPESA-N	OC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1O	TRUE
UALIB-2027	CC1=CC=C(S(=O)(=O)OC[C@@H]2O[C@H](COC(=O)C3=CC=CC=C3)[C@@H](OC(=O)C3=CC=CC=C3)[C@@H]2OS(=O)(=O)C2=CC=C(C)C=C2)C=C1	40	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C34H32O11S2/c1-23-13-17-27(18-14-23)46(37,38)42-22-30-32(45-47(39,40)28-19-15-24(2)16-20-28)31(44-34(36)26-11-7-4-8-12-26)29(43-30)21-41-33(35)25-9-5-3-6-10-25/h3-20,29-32H,21-22H2,1-2H3/t29-,30+,31-,32-/m1/s1	IVPFHGSOCMCGCX-VWPRMMSESA-N	IVPFHGSOCMCGCX-VWPRMMSESA-N	CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1OS(=O)(=O)C1=CC=C(C)C=C1	TRUE
UALIB-2028	CC1=CC=C(S(=O)(=O)OC[C@@H]2O[C@H](CO)[C@H]3O[C@@H]23)C=C1	41	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C13H16O6S/c1-8-2-4-9(5-3-8)20(15,16)17-7-11-13-12(19-13)10(6-14)18-11/h2-5,10-14H,6-7H2,1H3/t10-,11+,12-,13+/m1/s1	PFWNNRNVLRCDKF-XQHKEYJVSA-N	PFWNNRNVLRCDKF-XQHKEYJVSA-N	CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]1O[C@H](CO)[C@H]2O[C@@H]12	TRUE
UALIB-2029	C[C@@H]1O[C@H](CO)C[C@H]1O	42a	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C6H12O3/c1-4-6(8)2-5(3-7)9-4/h4-8H,2-3H2,1H3/t4-,5-,6+/m0/s1	SDZOCENWJJOXPI-HCWXCVPCSA-N	SDZOCENWJJOXPI-HCWXCVPCSA-N	C[C@@H]1O[C@H](CO)C[C@H]1O	TRUE
UALIB-2030	C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C[C@H]1O	42c	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C25H26O3/c1-19-24(26)17-23(28-19)18-27-25(20-11-5-2-6-12-20,21-13-7-3-8-14-21)22-15-9-4-10-16-22/h2-16,19,23-24,26H,17-18H2,1H3/t19-,23-,24+/m0/s1	LVZGADTWYOKVKL-WDJPJFJCSA-N	LVZGADTWYOKVKL-WDJPJFJCSA-N	C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C[C@H]1O	TRUE
UALIB-2031	C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)CC1=O	31	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	InChI=1S/C25H24O3/c1-19-24(26)17-23(28-19)18-27-25(20-11-5-2-6-12-20,21-13-7-3-8-14-21)22-15-9-4-10-16-22/h2-16,19,23H,17-18H2,1H3/t19-,23-/m0/s1	IDYNQGGHXBCYDS-CVDCTZTESA-N	IDYNQGGHXBCYDS-CVDCTZTESA-N	C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)CC1=O	TRUE
