DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1440	CO[C@H]1CCC2=CC(=O)CC[C@@]21C	74b	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C11H16O2/c1-11-6-5-9(12)7-8(11)3-4-10(11)13-2/h7,10H,3-6H2,1-2H3/t10-,11-/m0/s1	BVRJALUKWAMCDN-QWRGUYRKSA-N	BVRJALUKWAMCDN-QWRGUYRKSA-N	CO[C@H]1CCC2=CC(=O)CC[C@]12C	TRUE
UALIB-1441	C[C@]12CCC(=O)C=C1CC[C@@H]2O[Si](C)(C)C	74c	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C13H22O2Si/c1-13-8-7-11(14)9-10(13)5-6-12(13)15-16(2,3)4/h9,12H,5-8H2,1-4H3/t12-,13-/m0/s1	RVUMLWCMWVDITB-STQMWFEESA-N	RVUMLWCMWVDITB-STQMWFEESA-N	C[C@]12CCC(=O)C=C1CC[C@@H]2O[Si](C)(C)C	TRUE
UALIB-1442	COCO[C@H]1CCC2=CC(=O)CC[C@@]21C	74e	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C12H18O3/c1-12-6-5-10(13)7-9(12)3-4-11(12)15-8-14-2/h7,11H,3-6,8H2,1-2H3/t11-,12-/m0/s1	RJTHXABUCVFNNT-RYUDHWBXSA-N	RJTHXABUCVFNNT-RYUDHWBXSA-N	COCO[C@H]1CCC2=CC(=O)CC[C@]12C	TRUE
UALIB-1443	CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)CC[C@@]21C)(C1=CC=CC=C1)C1=CC=CC=C1	74g	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C26H32O2Si/c1-25(2,3)29(22-11-7-5-8-12-22,23-13-9-6-10-14-23)28-24-16-15-20-19-21(27)17-18-26(20,24)4/h5-14,19,24H,15-18H2,1-4H3/t24-,26-/m0/s1	CZUPBLUOJRSEIL-AHWVRZQESA-N	CZUPBLUOJRSEIL-AHWVRZQESA-N	CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)CC[C@]12C)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1444	C[C@]12CCC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=CC=C1	74h	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H18O3/c1-17-10-9-14(18)11-13(17)7-8-15(17)20-16(19)12-5-3-2-4-6-12/h2-6,11,15H,7-10H2,1H3/t15-,17-/m0/s1	JYQRKKRFLJUJIV-RDJZCZTQSA-N	JYQRKKRFLJUJIV-RDJZCZTQSA-N	C[C@]12CCC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=CC=C1	TRUE
UALIB-1445	C[C@]12CCC(=O)C=C1CC[C@@H]2OC=O	74i	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C11H14O3/c1-11-5-4-9(13)6-8(11)2-3-10(11)14-7-12/h6-7,10H,2-5H2,1H3/t10-,11-/m0/s1	RSSQGLYUCJMEDA-QWRGUYRKSA-N	RSSQGLYUCJMEDA-QWRGUYRKSA-N	[H]C(=O)O[C@H]1CCC2=CC(=O)CC[C@]12C	TRUE
UALIB-1446	CC1=CC=C(S(=O)(=O)O[C@H]2CCC3=CC(=O)CC[C@@]32C)C=C1	74j	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H20O4S/c1-12-3-6-15(7-4-12)22(19,20)21-16-8-5-13-11-14(18)9-10-17(13,16)2/h3-4,6-7,11,16H,5,8-10H2,1-2H3/t16-,17-/m0/s1	YWPXUQJGLVSIJA-IRXDYDNUSA-N	YWPXUQJGLVSIJA-IRXDYDNUSA-N	CC1=CC=C(C=C1)S(=O)(=O)O[C@H]1CCC2=CC(=O)CC[C@]12C	TRUE
UALIB-1447	C[C@]12C=CC(=O)C=C1CC[C@@H]2OC1CCCCO1	78d	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C15H20O3/c1-15-8-7-12(16)10-11(15)5-6-13(15)18-14-4-2-3-9-17-14/h7-8,10,13-14H,2-6,9H2,1H3/t13-,14?,15-/m0/s1	VOJXDJQCLKQZNQ-LWEDLAQUSA-N	VOJXDJQCLKQZNQ-LWEDLAQUSA-N	C[C@]12C=CC(=O)C=C1CC[C@@H]2OC1CCCCO1	TRUE
UALIB-1448	C[C@]12C=CC(=O)C=C1CC[C@@H]2OCOCC[Si](C)(C)C	78f	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C16H26O3Si/c1-16-8-7-14(17)11-13(16)5-6-15(16)19-12-18-9-10-20(2,3)4/h7-8,11,15H,5-6,9-10,12H2,1-4H3/t15-,16-/m0/s1	ZEBDPNVSWYKQTM-HOTGVXAUSA-N	ZEBDPNVSWYKQTM-HOTGVXAUSA-N	C[C@]12C=CC(=O)C=C1CC[C@@H]2OCOCC[Si](C)(C)C	TRUE
UALIB-1449	CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)C=C[C@@]21C)(C1=CC=CC=C1)C1=CC=CC=C1	78g	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C26H30O2Si/c1-25(2,3)29(22-11-7-5-8-12-22,23-13-9-6-10-14-23)28-24-16-15-20-19-21(27)17-18-26(20,24)4/h5-14,17-19,24H,15-16H2,1-4H3/t24-,26-/m0/s1	HSNCNNHIMGVDNR-AHWVRZQESA-N	HSNCNNHIMGVDNR-AHWVRZQESA-N	CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)C=C[C@]12C)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1450	C[C@]12C=CC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=CC=C1	78h	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H16O3/c1-17-10-9-14(18)11-13(17)7-8-15(17)20-16(19)12-5-3-2-4-6-12/h2-6,9-11,15H,7-8H2,1H3/t15-,17-/m0/s1	ONFUOKICBAXTEA-RDJZCZTQSA-N	ONFUOKICBAXTEA-RDJZCZTQSA-N	C[C@]12C=CC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=CC=C1	TRUE
UALIB-1451	CC1=CC=C(S(=O)(=O)O[C@H]2CCC3=CC(=O)C=C[C@@]32C)C=C1	78j	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C17H18O4S/c1-12-3-6-15(7-4-12)22(19,20)21-16-8-5-13-11-14(18)9-10-17(13,16)2/h3-4,6-7,9-11,16H,5,8H2,1-2H3/t16-,17-/m0/s1	PRFOOEGTOWWZEW-IRXDYDNUSA-N	PRFOOEGTOWWZEW-IRXDYDNUSA-N	CC1=CC=C(C=C1)S(=O)(=O)O[C@H]1CCC2=CC(=O)C=C[C@]12C	TRUE
UALIB-1452	CC1=CC=C(O)C=C1CCC=O	76	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C10H12O2/c1-8-4-5-10(12)7-9(8)3-2-6-11/h4-7,12H,2-3H2,1H3	MHEPMQPZMZOKNK-UHFFFAOYSA-N	MHEPMQPZMZOKNK-UHFFFAOYSA-N	[H]C(=O)CCC1=CC(O)=CC=C1C	TRUE
UALIB-1453	CC1=CC=C(O)C=C1/C=C/C=O	77	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	InChI=1S/C10H10O2/c1-8-4-5-10(12)7-9(8)3-2-6-11/h2-7,12H,1H3/b3-2+	YUZGVTBHWKHMJJ-NSCUHMNNSA-N	YUZGVTBHWKHMJJ-NSCUHMNNSA-N	[H]C(=O)\C=C\C1=CC(O)=CC=C1C	TRUE
