DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2417	O=C([O-])CCC(O)COC1=CC=C2C=CC(C(=O)CC3=CC=CC=C3)=CC2=C1.[Na+]	13	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C23H22O5.Na/c24-20(9-11-23(26)27)15-28-21-10-8-17-6-7-18(13-19(17)14-21)22(25)12-16-4-2-1-3-5-16;/h1-8,10,13-14,20,24H,9,11-12,15H2,(H,26,27);/q;+1/p-1	WJXSTBNDHBEQEW-UHFFFAOYSA-M	WJXSTBNDHBEQEW-UHFFFAOYSA-M	[Na+].OC(CCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	TRUE
UALIB-2418	O=C([O-])CCC(O)COC1=CC=C2C=CC(C(O)CC3=CC=CC=C3)=CC2=C1.[Na+]	1	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C23H24O5.Na/c24-20(9-11-23(26)27)15-28-21-10-8-17-6-7-18(13-19(17)14-21)22(25)12-16-4-2-1-3-5-16;/h1-8,10,13-14,20,22,24-25H,9,11-12,15H2,(H,26,27);/q;+1/p-1	UWYSDCUMHTYMDJ-UHFFFAOYSA-M	UWYSDCUMHTYMDJ-UHFFFAOYSA-M	[Na+].OC(CCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	TRUE
UALIB-2419	CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(C(=O)CC3=CC=CC=C3)=CC2=C1	14	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C25H27NO4/c1-26(2)25(29)13-11-22(27)17-30-23-12-10-19-8-9-20(15-21(19)16-23)24(28)14-18-6-4-3-5-7-18/h3-10,12,15-16,22,27H,11,13-14,17H2,1-2H3	RDJFNKPSUXHIEA-UHFFFAOYSA-N	RDJFNKPSUXHIEA-UHFFFAOYSA-N	CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	TRUE
UALIB-2420	CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(C(O)CC3=CC=CC=C3)=CC2=C1	2	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C25H29NO4/c1-26(2)25(29)13-11-22(27)17-30-23-12-10-19-8-9-20(15-21(19)16-23)24(28)14-18-6-4-3-5-7-18/h3-10,12,15-16,22,24,27-28H,11,13-14,17H2,1-2H3	MRZLYYIKNOYWPM-UHFFFAOYSA-N	MRZLYYIKNOYWPM-UHFFFAOYSA-N	CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	TRUE
UALIB-2421	O=C(CC1=CC=CC=C1)C1=CC2=CC(OCC(O)CCC(=O)N3CCCC3)=CC=C2C=C1	15	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C27H29NO4/c29-24(11-13-27(31)28-14-4-5-15-28)19-32-25-12-10-21-8-9-22(17-23(21)18-25)26(30)16-20-6-2-1-3-7-20/h1-3,6-10,12,17-18,24,29H,4-5,11,13-16,19H2	WJAVNGUHQONUJE-UHFFFAOYSA-N	WJAVNGUHQONUJE-UHFFFAOYSA-N	OC(CCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	TRUE
UALIB-2422	O=C(CCC(O)COC1=CC=C2C=CC(C(O)CC3=CC=CC=C3)=CC2=C1)N1CCCC1	3	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C27H31NO4/c29-24(11-13-27(31)28-14-4-5-15-28)19-32-25-12-10-21-8-9-22(17-23(21)18-25)26(30)16-20-6-2-1-3-7-20/h1-3,6-10,12,17-18,24,26,29-30H,4-5,11,13-16,19H2	UXXHOSUEGUXLKS-UHFFFAOYSA-N	UXXHOSUEGUXLKS-UHFFFAOYSA-N	OC(CCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	TRUE
UALIB-2423	O=C1CCCC(COC2=CC=C3C=CC(C(=O)CC4=CC=CC=C4)=CC3=C2)O1	17	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C24H22O4/c25-23(13-17-5-2-1-3-6-17)19-10-9-18-11-12-21(15-20(18)14-19)27-16-22-7-4-8-24(26)28-22/h1-3,5-6,9-12,14-15,22H,4,7-8,13,16H2	ICZNNHLMVCFFLV-UHFFFAOYSA-N	ICZNNHLMVCFFLV-UHFFFAOYSA-N	O=C(CC1=CC=CC=C1)C1=CC2=CC(OCC3CCCC(=O)O3)=CC=C2C=C1	TRUE
UALIB-2424	O=C([O-])CCCC(O)COC1=CC=C2C=CC(C(=O)CC3=CC=CC=C3)=CC2=C1.[Na+]	18	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C24H24O5.Na/c25-21(7-4-8-24(27)28)16-29-22-12-11-18-9-10-19(14-20(18)15-22)23(26)13-17-5-2-1-3-6-17;/h1-3,5-6,9-12,14-15,21,25H,4,7-8,13,16H2,(H,27,28);/q;+1/p-1	ZRKDQVKGMSGSJM-UHFFFAOYSA-M	ZRKDQVKGMSGSJM-UHFFFAOYSA-M	[Na+].OC(CCCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	TRUE
UALIB-2425	O=C([O-])CCCC(O)COC1=CC=C2C=CC(C(O)CC3=CC=CC=C3)=CC2=C1.[Na+]	4	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C24H26O5.Na/c25-21(7-4-8-24(27)28)16-29-22-12-11-18-9-10-19(14-20(18)15-22)23(26)13-17-5-2-1-3-6-17;/h1-3,5-6,9-12,14-15,21,23,25-26H,4,7-8,13,16H2,(H,27,28);/q;+1/p-1	GGHBHHZBJWPJHI-UHFFFAOYSA-M	GGHBHHZBJWPJHI-UHFFFAOYSA-M	[Na+].OC(CCCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	TRUE
UALIB-2426	CN(C)C(=O)CCCC(O)COC1=CC=C2C=CC(C(=O)CC3=CC=CC=C3)=CC2=C1	19	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	InChI=1S/C26H29NO4/c1-27(2)26(30)10-6-9-23(28)18-31-24-14-13-20-11-12-21(16-22(20)17-24)25(29)15-19-7-4-3-5-8-19/h3-5,7-8,11-14,16-17,23,28H,6,9-10,15,18H2,1-2H3	RAHJYGGABQDZEY-UHFFFAOYSA-N	RAHJYGGABQDZEY-UHFFFAOYSA-N	CN(C)C(=O)CCCC(O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	TRUE
