DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2101	CC(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=CN=C3N)O1	54	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C12H15N5O3/c1-7(18)19-4-8-2-3-9(20-8)17-6-16-10-11(13)14-5-15-12(10)17/h5-6,8-9H,2-4H2,1H3,(H2,13,14,15)/t8-,9+/m0/s1	IKXPVDQOIYFSBQ-DTWKUNHWSA-N	IKXPVDQOIYFSBQ-DTWKUNHWSA-N	CC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	TRUE
UALIB-2102	CCCC(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=CN=C3N)O1	55	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C14H19N5O3/c1-2-3-11(20)21-6-9-4-5-10(22-9)19-8-18-12-13(15)16-7-17-14(12)19/h7-10H,2-6H2,1H3,(H2,15,16,17)/t9-,10+/m0/s1	MMANMKYDGBWNMH-VHSXEESVSA-N	MMANMKYDGBWNMH-VHSXEESVSA-N	CCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	TRUE
UALIB-2103	CC(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	57	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C12H14N4O4/c1-7(17)19-4-8-2-3-9(20-8)16-6-15-10-11(16)13-5-14-12(10)18/h5-6,8-9H,2-4H2,1H3,(H,13,14,18)/t8-,9+/m0/s1	MVUMVNRFAFXMSZ-DTWKUNHWSA-N	MVUMVNRFAFXMSZ-DTWKUNHWSA-N	CC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2104	CCCC(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	58	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C14H18N4O4/c1-2-3-11(19)21-6-9-4-5-10(22-9)18-8-17-12-13(18)15-7-16-14(12)20/h7-10H,2-6H2,1H3,(H,15,16,20)/t9-,10+/m0/s1	GABXFXYBTIQILK-VHSXEESVSA-N	GABXFXYBTIQILK-VHSXEESVSA-N	CCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2105	CC(C)C(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	59	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C14H18N4O4/c1-8(2)14(20)21-5-9-3-4-10(22-9)18-7-17-11-12(18)15-6-16-13(11)19/h6-10H,3-5H2,1-2H3,(H,15,16,19)/t9-,10+/m0/s1	LUDVHFSZQGOCSV-VHSXEESVSA-N	LUDVHFSZQGOCSV-VHSXEESVSA-N	CC(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2106	CC(C)(C)C(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	60	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C15H20N4O4/c1-15(2,3)14(21)22-6-9-4-5-10(23-9)19-8-18-11-12(19)16-7-17-13(11)20/h7-10H,4-6H2,1-3H3,(H,16,17,20)/t9-,10+/m0/s1	JWOUMIIMMOZUFJ-VHSXEESVSA-N	JWOUMIIMMOZUFJ-VHSXEESVSA-N	CC(C)(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2107	CCCCC(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	61	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C15H20N4O4/c1-2-3-4-12(20)22-7-10-5-6-11(23-10)19-9-18-13-14(19)16-8-17-15(13)21/h8-11H,2-7H2,1H3,(H,16,17,21)/t10-,11+/m0/s1	IZSRLSPXWNLYPJ-WDEREUQCSA-N	IZSRLSPXWNLYPJ-WDEREUQCSA-N	CCCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2108	CCCC(C)C(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	62	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C16H22N4O4/c1-3-4-10(2)16(22)23-7-11-5-6-12(24-11)20-9-19-13-14(20)17-8-18-15(13)21/h8-12H,3-7H2,1-2H3,(H,17,18,21)/t10?,11-,12+/m0/s1	JUGAHDSVTUQCSQ-GLXQMMQGSA-N	JUGAHDSVTUQCSQ-GLXQMMQGSA-N	CCCC(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
UALIB-2109	O=C(OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1)C1=CC=CC=C1	63	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C17H16N4O4/c22-16-14-15(18-9-19-16)21(10-20-14)13-7-6-12(25-13)8-24-17(23)11-4-2-1-3-5-11/h1-5,9-10,12-13H,6-8H2,(H,18,19,22)/t12-,13+/m0/s1	ZWYNUFKABKZASN-QWHCGFSZSA-N	ZWYNUFKABKZASN-QWHCGFSZSA-N	O=C(OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O)C1=CC=CC=C1	TRUE
UALIB-2110	CC1=CC=CC=C1C(=O)OC[C@@H]1CC[C@H](N2C=NC3=C2N=C[NH]C3=O)O1	64	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	InChI=1S/C18H18N4O4/c1-11-4-2-3-5-13(11)18(24)25-8-12-6-7-14(26-12)22-10-21-15-16(22)19-9-20-17(15)23/h2-5,9-10,12,14H,6-8H2,1H3,(H,19,20,23)/t12-,14+/m0/s1	OADYAFLWUUINSH-GXTWGEPZSA-N	OADYAFLWUUINSH-GXTWGEPZSA-N	CC1=CC=CC=C1C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	TRUE
