DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1999	COC1=C(OC)C(OC)=CC(/C=N\CC(OC)OC)=C1	179	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C14H21NO5/c1-16-11-6-10(7-12(17-2)14(11)20-5)8-15-9-13(18-3)19-4/h6-8,13H,9H2,1-5H3/b15-8-	RXWBBUREVBDUPM-NVNXTCNLSA-N	RXWBBUREVBDUPM-NVNXTCNLSA-N	COC(C\N=C/C1=CC(OC)=C(OC)C(OC)=C1)OC	TRUE
UALIB-2000	COC1=C(OC)C(OC)=CC(CNCC(OC)OC)=C1	103	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C14H23NO5/c1-16-11-6-10(7-12(17-2)14(11)20-5)8-15-9-13(18-3)19-4/h6-7,13,15H,8-9H2,1-5H3	LBRAYHOJTGAIIL-UHFFFAOYSA-N	LBRAYHOJTGAIIL-UHFFFAOYSA-N	COC(CNCC1=CC(OC)=C(OC)C(OC)=C1)OC	TRUE
UALIB-2001	COC1=CC2=C(CCNC2)C(OC)=C1OC.Cl	183	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C12H17NO3.ClH/c1-14-10-6-8-7-13-5-4-9(8)11(15-2)12(10)16-3;/h6,13H,4-5,7H2,1-3H3;1H	NDMIESYJVMGQJU-UHFFFAOYSA-N	NDMIESYJVMGQJU-UHFFFAOYSA-N	Cl.COC1=CC2=C(CCNC2)C(OC)=C1OC	TRUE
UALIB-2002	COC1=C(Br)C2=C(CCNC2)C(OC)=C1OC.Cl	186	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C12H16BrNO3.ClH/c1-15-10-7-4-5-14-6-8(7)9(13)11(16-2)12(10)17-3;/h14H,4-6H2,1-3H3;1H	ZJUAOITXEUBKKN-UHFFFAOYSA-N	ZJUAOITXEUBKKN-UHFFFAOYSA-N	Cl.COC1=C(Br)C2=C(CCNC2)C(OC)=C1OC	TRUE
UALIB-2003	COC1=C(Br)C2=C(CCN=C2)C(OC)=C1OC	177	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C12H14BrNO3/c1-15-10-7-4-5-14-6-8(7)9(13)11(16-2)12(10)17-3/h6H,4-5H2,1-3H3	TXEMYTFSHPXPSG-UHFFFAOYSA-N	TXEMYTFSHPXPSG-UHFFFAOYSA-N	COC1=C(Br)C2=C(CCN=C2)C(OC)=C1OC	TRUE
UALIB-2004	CC(C)(C)[Si](C)(C)OC1=CC=C(Br)C=C1	192	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C12H19BrOSi/c1-12(2,3)15(4,5)14-11-8-6-10(13)7-9-11/h6-9H,1-5H3	DLGZGLKSNRKLSM-UHFFFAOYSA-N	DLGZGLKSNRKLSM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1=CC=C(Br)C=C1	TRUE
UALIB-2005	CC(C)(C)[Si](C)(C)OC1=CC=C(B(O)O)C=C1	189	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C12H21BO3Si/c1-12(2,3)17(4,5)16-11-8-6-10(7-9-11)13(14)15/h6-9,14-15H,1-5H3	NVHHEADQQACSCJ-UHFFFAOYSA-N	NVHHEADQQACSCJ-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1=CC=C(C=C1)B(O)O	TRUE
UALIB-2006	COC1=CC(Br)=CC(OC)=C1O	194	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C8H9BrO3/c1-11-6-3-5(9)4-7(12-2)8(6)10/h3-4,10H,1-2H3	VKXCKVRDDDEQOG-UHFFFAOYSA-N	VKXCKVRDDDEQOG-UHFFFAOYSA-N	COC1=CC(Br)=CC(OC)=C1O	TRUE
UALIB-2007	COC1=CC(Br)=CC(OC)=C1O[Si](C)(C)C(C)(C)C	195	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C14H23BrO3Si/c1-14(2,3)19(6,7)18-13-11(16-4)8-10(15)9-12(13)17-5/h8-9H,1-7H3	DAUJPVNIOHHCPY-UHFFFAOYSA-N	DAUJPVNIOHHCPY-UHFFFAOYSA-N	COC1=CC(Br)=CC(OC)=C1O[Si](C)(C)C(C)(C)C	TRUE
UALIB-2008	COC1=CC(B(O)O)=CC(OC)=C1O[Si](C)(C)C(C)(C)C	190	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	InChI=1S/C14H25BO5Si/c1-14(2,3)21(6,7)20-13-11(18-4)8-10(15(16)17)9-12(13)19-5/h8-9,16-17H,1-7H3	YYWNTALBMFTFOH-UHFFFAOYSA-N	YYWNTALBMFTFOH-UHFFFAOYSA-N	COC1=CC(=CC(OC)=C1O[Si](C)(C)C(C)(C)C)B(O)O	TRUE
