DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHI_1.05_CHEMAXON_19.27.0	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	What is the Disagreement? 			Notes
UALIB-1798	C1=C2C=CC3=CC=C(C=CC4=CC=C(C=CC(=C1)S2)S4)S3	2 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C18H12S3/c1-2-14-9-10-16-5-6-18(21-16)12-11-17-4-3-15(20-17)8-7-13(1)19-14/h1-12H	InChI=1S/C18H12S3/c1-2-14-9-10-16-5-6-18(21-16)12-11-17-4-3-15(20-17)8-7-13(1)19-14/h1-12H/b8-7-,10-9-,12-11-,13-7-,14-9-,15-8-,16-10-,17-11-,18-12-	CDEXOONVUKTYMM-UHFFFAOYSA-N	CDEXOONVUKTYMM-FYIRIZDNSA-N	S1C2=CC=C1\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration	*		There appears to be some limitations with representing these thiophene annulenes with smiles as originally drawn, which then affects the InChI double bond configuration layer between toolkits. Molfile maintains the configuration, however, based on other PubChem submitted substances, the standardization process changes the configuration again (* examples already in PubChem). So I don’t see a need to submit the molfiles directly from ChemAxon. I think this is just a cheminformatics drawing layout preference issue with these highly symmetric/conjugated molecules and it is safe to proceed with current workflow.
UALIB-1799	C1=C\C2=CC=C(/C=C\C3=CC=C(/C=C\C4=CC=C(/C=C\C5=CC=C/1S5)S4)S3)S2	3 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C24H16S4/c1-2-18-11-12-20-5-6-22(27-20)15-16-24-8-7-23(28-24)14-13-21-4-3-19(26-21)10-9-17(1)25-18/h1-16H/b10-9-,12-11-,14-13-,16-15-,17-9?,18-11?,19-10?,20-12?,21-13?,22-15?,23-14?,24-16?	InChI=1S/C24H16S4/c1-2-18-11-12-20-5-6-22(27-20)15-16-24-8-7-23(28-24)14-13-21-4-3-19(26-21)10-9-17(1)25-18/h1-16H/b10-9-,12-11-,14-13-,16-15-,17-9-,18-11-,19-10-,20-12-,21-13-,22-15-,23-14+,24-16+	XNPJBHWLQAWMEN-FCJZZLLFSA-N	XNPJBHWLQAWMEN-CVRNVXIMSA-N	S1C2=CC=C1\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration			
UALIB-1800	C1=CSC(C2=CC=CS2)=C1	4 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C8H6S2/c1-3-7(9-5-1)8-4-2-6-10-8/h1-6H	InChI=1S/C8H6S2/c1-3-7(9-5-1)8-4-2-6-10-8/h1-6H	OHZAHWOAMVVGEL-UHFFFAOYSA-N	OHZAHWOAMVVGEL-UHFFFAOYSA-N	S1C=CC=C1C1=CC=CS1	TRUE				
UALIB-1801	O=CC1=CC=C(C2=CC=C(C=O)S2)S1	5 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C10H6O2S2/c11-5-7-1-3-9(13-7)10-4-2-8(6-12)14-10/h1-6H	InChI=1S/C10H6O2S2/c11-5-7-1-3-9(13-7)10-4-2-8(6-12)14-10/h1-6H	RXAXZMANGDHIJX-UHFFFAOYSA-N	RXAXZMANGDHIJX-UHFFFAOYSA-N	O=CC1=CC=C(S1)C1=CC=C(S1)C=O	TRUE				
UALIB-1802	C1=C\C2=CC=C(S2)C2=CC=C(/C=C\C3=CC=C(S3)C3=CC=C/1S3)S2	6 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C20H12S4/c1-2-14-6-10-19(22-14)20-12-8-16(24-20)4-3-15-7-11-18(23-15)17-9-5-13(1)21-17/h1-12H/b2-1-,4-3-,13-1?,14-2?,15-3?,16-4?,18-17?,20-19?	InChI=1S/C20H12S4/c1-2-14-6-10-19(22-14)20-12-8-16(24-20)4-3-15-7-11-18(23-15)17-9-5-13(1)21-17/h1-12H/b2-1-,4-3-,13-1-,14-2-,15-3-,16-4-,18-17-,20-19-	MSROBQXQQZEQGQ-YQDVUDNHSA-N	MSROBQXQQZEQGQ-WGMILTDNSA-N	S1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration			
UALIB-1803	C1=CC2=CC=C(S2)C2=CC=C(C=CC3=CC=C(S3)C3=CC=C(C=CC4=CC=C(S4)C4=CC=C1S4)S3)S2	7 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C30H18S6/c1-2-20-8-14-27(32-20)28-16-10-22(34-28)5-6-24-12-18-30(36-24)29-17-11-23(35-29)4-3-21-9-15-26(33-21)25-13-7-19(1)31-25/h1-18H	InChI=1S/C30H18S6/c1-2-20-8-14-27(32-20)28-16-10-22(34-28)5-6-24-12-18-30(36-24)29-17-11-23(35-29)4-3-21-9-15-26(33-21)25-13-7-19(1)31-25/h1-18H/b2-1-,4-3-,6-5-,19-1-,20-2-,21-3-,22-5-,23-4-,24-6+,26-25-,28-27-,30-29+	MCMDOYOTAWVHPZ-UHFFFAOYSA-N	MCMDOYOTAWVHPZ-FJVDMWJHSA-N	S1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration	*		
UALIB-1804	C1=C\C2=CC=C(S2)C2=CC=C(S2)C2=CC=C(/C=C\C3=CC=C(S3)C3=CC=C(S3)C3=CC=C/1S3)S2	12 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C28H16S6/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21/h1-16H/b2-1-,4-3-,17-1?,18-2?,19-3?,20-4?,25-21?,26-22?,27-23?,28-24?	InChI=1S/C28H16S6/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21/h1-16H/b2-1-,4-3-,17-1-,18-2-,19-3-,20-4+,25-21-,26-22-,27-23-,28-24+	XKJXMWLVSKBORR-ASQDHKEQSA-N	XKJXMWLVSKBORR-NXECHLCGSA-N	S1C2=CC=C1C1=CC=C(S1)C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration			
UALIB-1805	C1=CC2=[S+]C1=C1C=CC(=CC=C3C=CC(=C4C=CC(=[S+]4)C4=CC=C(C=CC5=CC=C2S5)S4)S3)S1	13 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C28H16S6/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21/h1-16H/q+2	InChI=1S/C28H16S6/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21/h1-16H/q+2/b2-1-,4-3-,17-1-,18-2-,19-3-,20-4+,25-21-,26-22-,27-23-,28-24+	ORQDTRHICVMSFM-UHFFFAOYSA-N	ORQDTRHICVMSFM-NXECHLCGSA-N	S1C2=CC=C1C1=[S+]\C(C=C1)=C1/S\C(\C=C1)=C/C=C1\S\C(\C=C1)=C1\C=CC(=[S+]1)C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration			
UALIB-1806	C1=CC2=[S+]/C1=C1/C=C/C(=C/C=C3/C=CC(=C4C=CC(=[S+]4)C4=CC=C(/C=C\C5=CC=C2S5)S4)S3)S1.[Br-].[Br-]	14 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C28H16S6.2BrH/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21;;/h1-16H;2*1H/q+2;;/p-2	InChI=1S/C28H16S6.2BrH/c1-2-18-6-10-22(30-18)26-15-16-28(34-26)24-12-8-20(32-24)4-3-19-7-11-23(31-19)27-14-13-25(33-27)21-9-5-17(1)29-21;;/h1-16H;2*1H/q+2;;/p-2/b2-1-,4-3-,17-1-,18-2-,19-3-,20-4+,25-21-,26-22-,27-23-,28-24+;;	KIJHWFVGUOJGRN-UHFFFAOYSA-L	KIJHWFVGUOJGRN-RBMLBANMSA-L	[Br-].[Br-].S1C2=CC=C1C1=[S+]\C(C=C1)=C1/S\C(\C=C1)=C/C=C1\S\C(\C=C1)=C1\C=CC(=[S+]1)C1=CC=C(S1)\C=C/2	FALSE	Double bond configuration			
UALIB-1807	C1=CC2C3SC(C4=CC=C(/C=C\C5=CC=C(S5)C5SC(C6=CC=C(/C=C\C7=CC=C3S7)S6)C3C=CC=CC53)S4)C2C=C1	20 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C36H28S6/c1-2-6-26-25(5-1)33-29-17-13-21(37-29)9-10-23-15-19-31(39-23)35-27-7-3-4-8-28(27)36(42-35)32-20-16-24(40-32)12-11-22-14-18-30(38-22)34(26)41-33/h1-20,25-28,33-36H/b10-9-,12-11-	InChI=1S/C36H28S6/c1-2-6-26-25(5-1)33-29-17-13-21(37-29)9-10-23-15-19-31(39-23)35-27-7-3-4-8-28(27)36(42-35)32-20-16-24(40-32)12-11-22-14-18-30(38-22)34(26)41-33/h1-20,25-28,33-36H/b10-9-,12-11-	AIGSHXLSISKKKP-BASFJDSNSA-N	AIGSHXLSISKKKP-BASFJDSNSA-N	S1C2C3C=CC=CC3C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1SC(C3C=CC=CC13)C1=CC=C(S1)\C=C/C1=CC=C2S1	TRUE				
