DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1534	CC(=NNC1=CC=CC=C1)C1=CC=CC=C1N	6	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C14H15N3/c1-11(13-9-5-6-10-14(13)15)16-17-12-7-3-2-4-8-12/h2-10,17H,15H2,1H3	OHOPPWNOBIEEIT-UHFFFAOYSA-N	OHOPPWNOBIEEIT-UHFFFAOYSA-N	CC(=NNC1=CC=CC=C1)C1=CC=CC=C1N	TRUE
UALIB-1535	C1=CC2=C(C=C1)N1C=NC3=C(C=CC=C3)C1=C2	2B	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C15H10N2/c1-4-8-14-11(5-1)9-15-12-6-2-3-7-13(12)16-10-17(14)15/h1-10H	CGCYNUCJTZKIJR-UHFFFAOYSA-N	CGCYNUCJTZKIJR-UHFFFAOYSA-N	C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	TRUE
UALIB-1536	CCCCC1N(C)C2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N21	8	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C20H22N2/c1-3-4-13-20-21(2)18-12-8-6-10-16(18)19-14-15-9-5-7-11-17(15)22(19)20/h5-12,14,20H,3-4,13H2,1-2H3	QZOVGKBQYASHKP-UHFFFAOYSA-N	QZOVGKBQYASHKP-UHFFFAOYSA-N	[H]C1(CCCC)N2C3=C(C=C2C2=C(C=CC=C2)N1C)C=CC=C3	TRUE
UALIB-1537	CCCCC1N(CCCC)C2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N21	9	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C23H28N2/c1-3-5-15-23-24(16-6-4-2)21-14-10-8-12-19(21)22-17-18-11-7-9-13-20(18)25(22)23/h7-14,17,23H,3-6,15-16H2,1-2H3	IOGORIFNDJQCBE-UHFFFAOYSA-N	IOGORIFNDJQCBE-UHFFFAOYSA-N	[H]C1(CCCC)N2C3=C(C=C2C2=C(C=CC=C2)N1CCCC)C=CC=C3	TRUE
UALIB-1538	CC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	10	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C16H12N2/c1-11-17-14-8-4-3-7-13(14)16-10-12-6-2-5-9-15(12)18(11)16/h2-10H,1H3	FSYGYWLGBCOFSC-UHFFFAOYSA-N	FSYGYWLGBCOFSC-UHFFFAOYSA-N	CC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	TRUE
UALIB-1539	CCC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	11	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C17H14N2/c1-2-17-18-14-9-5-4-8-13(14)16-11-12-7-3-6-10-15(12)19(16)17/h3-11H,2H2,1H3	QBEVVEHXYYDULV-UHFFFAOYSA-N	QBEVVEHXYYDULV-UHFFFAOYSA-N	CCC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	TRUE
UALIB-1540	CN1C2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N2C1C1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	12	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C31H22N4/c1-33-27-17-9-5-13-23(27)29-19-21-11-3-8-16-26(21)35(29)31(33)30-32-24-14-6-4-12-22(24)28-18-20-10-2-7-15-25(20)34(28)30/h2-19,31H,1H3	ZSPTZQJRVVIDBH-UHFFFAOYSA-N	ZSPTZQJRVVIDBH-UHFFFAOYSA-N	[H]C1(N2C(=CC3=C2C=CC=C3)C2=C(C=CC=C2)N1C)C1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	TRUE
UALIB-1541	C1=CC2=C(C=C1)C1=CC3=C(C=CC=C3)N1CN2	14	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C15H12N2/c1-4-8-14-11(5-1)9-15-12-6-2-3-7-13(12)16-10-17(14)15/h1-9,16H,10H2	UNEUNSMCEGSZDB-UHFFFAOYSA-N	UNEUNSMCEGSZDB-UHFFFAOYSA-N	[H]N1CN2C(=CC3=C2C=CC=C3)C2=C1C=CC=C2	TRUE
UALIB-1542	CC(=O)N1CN2C(=CC3=C2C=CC=C3)C2=C1C=CC=C2	15	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C17H14N2O/c1-12(20)18-11-19-15-8-4-2-6-13(15)10-17(19)14-7-3-5-9-16(14)18/h2-10H,11H2,1H3	RPJGTXDHYUUKGJ-UHFFFAOYSA-N	RPJGTXDHYUUKGJ-UHFFFAOYSA-N	CC(=O)N1CN2C3=C(C=C2C2=C1C=CC=C2)C=CC=C3	TRUE
UALIB-1543	CN(C)C1=C2C3=C(C=CC=C3)N=CN2C2=C1C=CC=C2	21	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C17H15N3/c1-19(2)16-13-8-4-6-10-15(13)20-11-18-14-9-5-3-7-12(14)17(16)20/h3-11H,1-2H3	LEZRIMJEUKDRDZ-UHFFFAOYSA-N	LEZRIMJEUKDRDZ-UHFFFAOYSA-N	CN(C)C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	TRUE
UALIB-1544	O=CC1=C2C3=C(C=CC=C3)N=CN2C2=C1C=CC=C2	22	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C16H10N2O/c19-9-13-11-5-2-4-8-15(11)18-10-17-14-7-3-1-6-12(14)16(13)18/h1-10H	BXDMHZRXVAMVQJ-UHFFFAOYSA-N	BXDMHZRXVAMVQJ-UHFFFAOYSA-N	[H]C(=O)C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	TRUE
UALIB-1545	CC(=O)N1CN2C(=C(C(=O)C(=O)N3CCOCC3)C3=C2C=CC=C3)C2=C1C=CC=C2	24	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C23H21N3O4/c1-15(27)25-14-26-18-8-4-2-6-16(18)20(21(26)17-7-3-5-9-19(17)25)22(28)23(29)24-10-12-30-13-11-24/h2-9H,10-14H2,1H3	GTDPULPLXZQNPD-UHFFFAOYSA-N	GTDPULPLXZQNPD-UHFFFAOYSA-N	CC(=O)N1CN2C3=C(C=CC=C3)C(C(=O)C(=O)N3CCOCC3)=C2C2=C1C=CC=C2	TRUE
UALIB-1546	BrC1=C2C3=C(C=CC=C3)N=CN2C2=C1C=CC=C2	25	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C15H9BrN2/c16-14-11-6-2-4-8-13(11)18-9-17-12-7-3-1-5-10(12)15(14)18/h1-9H	WQFOQHWSTNQJGY-UHFFFAOYSA-N	WQFOQHWSTNQJGY-UHFFFAOYSA-N	BrC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	TRUE
UALIB-1547	CC1=C2C3=C(C=CC=C3)NCN2C2=C1C=CC=C2	30	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	InChI=1S/C16H14N2/c1-11-12-6-3-5-9-15(12)18-10-17-14-8-4-2-7-13(14)16(11)18/h2-9,17H,10H2,1H3	GOKYXSYOUKCRJO-UHFFFAOYSA-N	GOKYXSYOUKCRJO-UHFFFAOYSA-N	[H]N1CN2C3=C(C=CC=C3)C(C)=C2C2=C1C=CC=C2	TRUE
