DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2370	CCCC[C@@H]1ON=C(C2=CC=CC=C2)[C@H]1O	1a	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C13H17NO2/c1-2-3-9-11-13(15)12(14-16-11)10-7-5-4-6-8-10/h4-8,11,13,15H,2-3,9H2,1H3/t11-,13-/m0/s1	KEDWLAOMOZZMIC-AAEUAGOBSA-N	KEDWLAOMOZZMIC-AAEUAGOBSA-N	CCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	TRUE
UALIB-2371	CCCC[C@@H]1ON=C(C2=CC=CC=C2)[C@@H]1O	1b	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C13H17NO2/c1-2-3-9-11-13(15)12(14-16-11)10-7-5-4-6-8-10/h4-8,11,13,15H,2-3,9H2,1H3/t11-,13+/m0/s1	KEDWLAOMOZZMIC-WCQYABFASA-N	KEDWLAOMOZZMIC-WCQYABFASA-N	CCCC[C@@H]1ON=C([C@@H]1O)C1=CC=CC=C1	TRUE
UALIB-2372	CCC[C@@H]1ON=C(C2=CC=CC=C2)[C@H]1O	1c	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C12H15NO2/c1-2-6-10-12(14)11(13-15-10)9-7-4-3-5-8-9/h3-5,7-8,10,12,14H,2,6H2,1H3/t10-,12-/m0/s1	UIHUZVKJUARLKT-JQWIXIFHSA-N	UIHUZVKJUARLKT-JQWIXIFHSA-N	CCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	TRUE
UALIB-2373	O[C@@H]1C(C2=CC=CC=C2)=NO[C@H]1CCCCl	1d	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C12H14ClNO2/c13-8-4-7-10-12(15)11(14-16-10)9-5-2-1-3-6-9/h1-3,5-6,10,12,15H,4,7-8H2/t10-,12-/m0/s1	HLFVYCKQPWHQQX-JQWIXIFHSA-N	HLFVYCKQPWHQQX-JQWIXIFHSA-N	O[C@H]1[C@H](CCCCl)ON=C1C1=CC=CC=C1	TRUE
UALIB-2374	CC(C)(C)C(=O)OCCC[C@@H]1ON=C(C2=CC=CC=C2)[C@H]1O	1e	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C17H23NO4/c1-17(2,3)16(20)21-11-7-10-13-15(19)14(18-22-13)12-8-5-4-6-9-12/h4-6,8-9,13,15,19H,7,10-11H2,1-3H3/t13-,15-/m0/s1	LFBGCOHPOWXTFF-ZFWWWQNUSA-N	LFBGCOHPOWXTFF-ZFWWWQNUSA-N	CC(C)(C)C(=O)OCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	TRUE
UALIB-2375	CC(=O)OCCC[C@@H]1ON=C(C2=CC=CC=C2)[C@H]1O	1f	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C14H17NO4/c1-10(16)18-9-5-8-12-14(17)13(15-19-12)11-6-3-2-4-7-11/h2-4,6-7,12,14,17H,5,8-9H2,1H3/t12-,14-/m0/s1	DMRPAELSFPRMPK-JSGCOSHPSA-N	DMRPAELSFPRMPK-JSGCOSHPSA-N	CC(=O)OCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	TRUE
UALIB-2376	COC(=O)[C@@H]1ON=C(C2=CC=CC=C2)[C@H]1O	1g	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C11H11NO4/c1-15-11(14)10-9(13)8(12-16-10)7-5-3-2-4-6-7/h2-6,9-10,13H,1H3/t9-,10-/m1/s1	UAIVUQOXFGLQTM-NXEZZACHSA-N	UAIVUQOXFGLQTM-NXEZZACHSA-N	COC(=O)[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	TRUE
UALIB-2377	O[C@@H]1C(C2=CC=CC=C2)=NO[C@H]1C1=CC=CC=C1	1h	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C15H13NO2/c17-14-13(11-7-3-1-4-8-11)16-18-15(14)12-9-5-2-6-10-12/h1-10,14-15,17H/t14-,15+/m1/s1	QCYYQUAZFHPAPE-CABCVRRESA-N	QCYYQUAZFHPAPE-CABCVRRESA-N	O[C@H]1[C@@H](ON=C1C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2378	O[C@H]1C(C2=CC=CC=C2)=NO[C@H]1C1=CC=CC=C1	1i	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C15H13NO2/c17-14-13(11-7-3-1-4-8-11)16-18-15(14)12-9-5-2-6-10-12/h1-10,14-15,17H/t14-,15-/m0/s1	QCYYQUAZFHPAPE-GJZGRUSLSA-N	QCYYQUAZFHPAPE-GJZGRUSLSA-N	O[C@@H]1[C@@H](ON=C1C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2379	CCCC[C@@H]1ON=C(C2=CC=C(OC)C=C2)[C@H]1O	1j	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	InChI=1S/C14H19NO3/c1-3-4-5-12-14(16)13(15-18-12)10-6-8-11(17-2)9-7-10/h6-9,12,14,16H,3-5H2,1-2H3/t12-,14-/m0/s1	QBPRJRZCCAIFJC-JSGCOSHPSA-N	QBPRJRZCCAIFJC-JSGCOSHPSA-N	CCCC[C@@H]1ON=C([C@H]1O)C1=CC=C(OC)C=C1	TRUE
