DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	
UALIB-2789	COC(=O)[C@H]1CCC[C@@H]([N+](=O)[O-])[C@H]2[C@H](C)[C@]3(Cl)O[C@@H]3[C@@H]1C21CC1	81	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C16H22ClNO5/c1-8-11-10(18(20)21)5-3-4-9(14(19)22-2)12(15(11)6-7-15)13-16(8,17)23-13/h8-13H,3-7H2,1-2H3/t8-,9-,10+,11+,12+,13+,16-/m0/s1	YTBBOHHXIJASDW-DQLLVDKESA-N	YTBBOHHXIJASDW-DQLLVDKESA-N	[H][C@]12[C@H]3O[C@@]3(Cl)[C@@H](C)[C@]([H])([C@@H](CCC[C@@H]1C(=O)OC)[N+]([O-])=O)C21CC1	TRUE	
UALIB-2790	CC(C)(C)[Si](C)(C)OC1CCC(=O)CC1	95	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C12H24O2Si/c1-12(2,3)15(4,5)14-11-8-6-10(13)7-9-11/h11H,6-9H2,1-5H3	HXKBGMNGSYGPRB-UHFFFAOYSA-N	HXKBGMNGSYGPRB-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CCC(=O)CC1	TRUE	
UALIB-2791	CC(C)(C)[Si](C)(C)OC1CCC(=O)C(Cl)C1	91	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C12H23ClO2Si/c1-12(2,3)16(4,5)15-9-6-7-11(14)10(13)8-9/h9-10H,6-8H2,1-5H3	MJRVAGUACRHCFN-UHFFFAOYSA-N	MJRVAGUACRHCFN-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CCC(=O)C(Cl)C1	TRUE	
UALIB-2792	CC(C)(C)[Si](C)(C)OC1CC=C(N2CCCC2)C(Cl)C1	96	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C16H30ClNOSi/c1-16(2,3)20(4,5)19-13-8-9-15(14(17)12-13)18-10-6-7-11-18/h9,13-14H,6-8,10-12H2,1-5H3	ZITSAUHYJIHREL-UHFFFAOYSA-N	ZITSAUHYJIHREL-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OC1CC=C(C(Cl)C1)N1CCCC1	TRUE	
UALIB-2793	CC(C)[Si](OC1CCC(=O)CC1)(C(C)C)C(C)C	94	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H30O2Si/c1-11(2)18(12(3)4,13(5)6)17-15-9-7-14(16)8-10-15/h11-13,15H,7-10H2,1-6H3	TZQRNBGGOVBEOR-UHFFFAOYSA-N	TZQRNBGGOVBEOR-UHFFFAOYSA-N	CC(C)[Si](OC1CCC(=O)CC1)(C(C)C)C(C)C	TRUE	
UALIB-2794	CC(C)[Si](OC1CCC(=O)C(Cl)C1)(C(C)C)C(C)C	90	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C15H29ClO2Si/c1-10(2)19(11(3)4,12(5)6)18-13-7-8-15(17)14(16)9-13/h10-14H,7-9H2,1-6H3	PGGRXAVIPDQQNF-UHFFFAOYSA-N	PGGRXAVIPDQQNF-UHFFFAOYSA-N	CC(C)[Si](OC1CCC(=O)C(Cl)C1)(C(C)C)C(C)C	TRUE	
UALIB-2795	O=C1O[C@@H]2C[C@H]1C1C=CC([C@H](I)C2)C12CC2.O=C1O[C@H]2C[C@H](I)C3C=CC([C@@H]1C2)C31CC1	109 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/2C13H15IO2/c2*14-11-6-7-5-8(12(15)16-7)9-1-2-10(11)13(9)3-4-13/h2*1-2,7-11H,3-6H2/t7-,8+,9?,10?,11+;7-,8+,9?,10?,11-/m11/s1	HJQNIRIEHNRNON-MPTMCOCISA-N	HJQNIRIEHNRNON-UDULHJCXSA-N	[H][C@@]12C[C@@H](C3C=CC([C@@H](I)C1)C31CC1)C(=O)O2.[H][C@@]12C[C@@H](C3C=CC([C@H](I)C1)C31CC1)C(=O)O2	FALSE	identified as possible 2D SMILES layout issue. Resubmitted to PubChem as ChemAxon sdf, see CA_Marvin_processed_sdf folder. 
UALIB-2796	COC(=O)[C@H]1CC(=O)C[C@@H](I)C2C=CC1C21CC1.COC(=O)[C@H]1CC(=O)C[C@H](I)C2C=CC1C21CC1	112 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/2C14H17IO3/c2*1-18-13(17)9-6-8(16)7-12(15)11-3-2-10(9)14(11)4-5-14/h2*2-3,9-12H,4-7H2,1H3/t9-,10?,11?,12+;9-,10?,11?,12-/m00/s1	BQXGJWNJIRWBIE-BZSYXYMGSA-N	BQXGJWNJIRWBIE-BZSYXYMGSA-N	COC(=O)[C@H]1CC(=O)C[C@H](I)C2C=CC1C21CC1.COC(=O)[C@H]1CC(=O)C[C@@H](I)C2C=CC1C21CC1	TRUE	
UALIB-2797	COC(=O)[C@H]1CC(=O)/C=C\C2C=CC1C21CC1	113	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C14H16O3/c1-17-13(16)11-8-10(15)4-2-9-3-5-12(11)14(9)6-7-14/h2-5,9,11-12H,6-8H2,1H3/b4-2-/t9?,11-,12?/m0/s1	NALPBIHGCHBKTD-KIHCUCEUSA-N	NALPBIHGCHBKTD-KIHCUCEUSA-N	COC(=O)[C@H]1CC(=O)\C=C/C2C=CC1C21CC1	TRUE	
UALIB-2798	O=C1O[C@H]2/C=C\C3C=CC([C@@H]1C2)C31CC1	116	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	InChI=1S/C13H14O2/c14-12-10-7-9(15-12)3-1-8-2-4-11(10)13(8)5-6-13/h1-4,8-11H,5-7H2/b3-1-/t8?,9-,10-,11?/m0/s1	LJGIYFYZMYUDBA-GKTKNHDMSA-N	LJGIYFYZMYUDBA-ADKYGKPOSA-N	[H][C@@]12C[C@@H](C3C=CC(\C=C/1)C31CC1)C(=O)O2	FALSE	identified as possible 2D SMILES layout issue. Resubmitted to PubChem as ChemAxon sdf, see CA_Marvin_processed_sdf folder. 
