DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1932	CC(C)OB1OC(C)(C)C(C)(C)O1	17	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C9H19BO3/c1-7(2)11-10-12-8(3,4)9(5,6)13-10/h7H,1-6H3	MRWWWZLJWNIEEJ-UHFFFAOYSA-N	MRWWWZLJWNIEEJ-UHFFFAOYSA-N	CC(C)OB1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1933	C=CB1OC(C)(C)C(C)(C)O1	18	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C8H15BO2/c1-6-9-10-7(2,3)8(4,5)11-9/h6H,1H2,2-5H3	DPGSPRJLAZGUBQ-UHFFFAOYSA-N	DPGSPRJLAZGUBQ-UHFFFAOYSA-N	CC1(C)OB(OC1(C)C)C=C	TRUE
UALIB-1934	CC1(C)OB(C2CC(C3=CC=CC=C3)=NO2)OC1(C)C	21	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C15H20BNO3/c1-14(2)15(3,4)20-16(19-14)13-10-12(17-18-13)11-8-6-5-7-9-11/h5-9,13H,10H2,1-4H3	PNXGYCIWFBMDRT-UHFFFAOYSA-N	PNXGYCIWFBMDRT-UHFFFAOYSA-N	CC1(C)OB(OC1(C)C)C1CC(=NO1)C1=CC=CC=C1	TRUE
UALIB-1935	CC(C)(C)C1=NOC(B2OC(C)(C)C(C)(C)O2)C1	22	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C13H24BNO3/c1-11(2,3)9-8-10(16-15-9)14-17-12(4,5)13(6,7)18-14/h10H,8H2,1-7H3	QPQXOZJBQXVEOQ-UHFFFAOYSA-N	QPQXOZJBQXVEOQ-UHFFFAOYSA-N	CC(C)(C)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1936	CC1=NOC(B2OC(C)(C)C(C)(C)O2)C1	26	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C10H18BNO3/c1-7-6-8(13-12-7)11-14-9(2,3)10(4,5)15-11/h8H,6H2,1-5H3	XQVZDIJUOGFTIX-UHFFFAOYSA-N	XQVZDIJUOGFTIX-UHFFFAOYSA-N	CC1=NOC(C1)B1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1937	CCC1=NOC(B2OC(C)(C)C(C)(C)O2)C1	27	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C11H20BNO3/c1-6-8-7-9(14-13-8)12-15-10(2,3)11(4,5)16-12/h9H,6-7H2,1-5H3	PJQYYGAWISILQZ-UHFFFAOYSA-N	PJQYYGAWISILQZ-UHFFFAOYSA-N	CCC1=NOC(C1)B1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1938	CC(C)(O[Si](C)(C)C)C1=NOC(B2OC(C)(C)C(C)(C)O2)C1	28	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C15H30BNO4Si/c1-13(2,21-22(7,8)9)11-10-12(18-17-11)16-19-14(3,4)15(5,6)20-16/h12H,10H2,1-9H3	VBASOJXIACZSDQ-UHFFFAOYSA-N	VBASOJXIACZSDQ-UHFFFAOYSA-N	CC(C)(O[Si](C)(C)C)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1939	CC1(C)OB(C2CC(Br)=NO2)OC1(C)C	36	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C9H15BBrNO3/c1-8(2)9(3,4)15-10(14-8)6-5-7(11)12-13-6/h6H,5H2,1-4H3	JFAJKKOBUBWMLU-UHFFFAOYSA-N	JFAJKKOBUBWMLU-UHFFFAOYSA-N	CC1(C)OB(OC1(C)C)C1CC(Br)=NO1	TRUE
UALIB-1940	CCOC(=O)C1=NOC(B2OC(C)(C)C(C)(C)O2)C1	37	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C12H20BNO5/c1-6-16-10(15)8-7-9(17-14-8)13-18-11(2,3)12(4,5)19-13/h9H,6-7H2,1-5H3	RQSOZIVLSMDPPG-UHFFFAOYSA-N	RQSOZIVLSMDPPG-UHFFFAOYSA-N	CCOC(=O)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	TRUE
UALIB-1941	CC1=CC(C)=C(C2=NOC(B3OC(C)(C)C(C)(C)O3)C2)C(C)=C1	38	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	InChI=1S/C18H26BNO3/c1-11-8-12(2)16(13(3)9-11)14-10-15(21-20-14)19-22-17(4,5)18(6,7)23-19/h8-9,15H,10H2,1-7H3	GUNBVLLNKHXASO-UHFFFAOYSA-N	GUNBVLLNKHXASO-UHFFFAOYSA-N	CC1=CC(C)=C(C2=NOC(C2)B2OC(C)(C)C(C)(C)O2)C(C)=C1	TRUE
