DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1257	COC1=CC(=O)C2=C(C=CC=C2)C1=O	2-Methoxy-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C11H8O3/c1-14-10-6-9(12)7-4-2-3-5-8(7)11(10)13/h2-6H,1H3	OBGBGHKYJAOXRR-UHFFFAOYSA-N	OBGBGHKYJAOXRR-UHFFFAOYSA-N	COC1=CC(=O)C2=C(C=CC=C2)C1=O	TRUE
UALIB-1258	O=C1C=C(NCCC2=C[NH]C3=CC=CC=C23)C(=O)C2=C1C=CC=C2	2-Tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C20H16N2O2/c23-19-11-18(20(24)16-7-2-1-6-15(16)19)21-10-9-13-12-22-17-8-4-3-5-14(13)17/h1-8,11-12,21-22H,9-10H2	UQLMTKUGAAEQHK-UHFFFAOYSA-N	UQLMTKUGAAEQHK-UHFFFAOYSA-N	O=C1C=C(NCCC2=CNC3=CC=CC=C23)C(=O)C2=C1C=CC=C2	TRUE
UALIB-1259	CC1=CC=C(S(=O)(=O)NCCC2=C[NH]C3=CC=CC=C23)C=C1	N-(p-Toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C17H18N2O2S/c1-13-6-8-15(9-7-13)22(20,21)19-11-10-14-12-18-17-5-3-2-4-16(14)17/h2-9,12,18-19H,10-11H2,1H3	VPIUVBLEDIDJQZ-UHFFFAOYSA-N	VPIUVBLEDIDJQZ-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)NCCC1=CNC2=CC=CC=C12	TRUE
UALIB-1260	O=C1C2=C(C=CC=C2)C(=O)N1CCC1=C[NH]C2=CC=CC=C12	3-[(2-Pthalimido)ethyl]indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C18H14N2O2/c21-17-14-6-1-2-7-15(14)18(22)20(17)10-9-12-11-19-16-8-4-3-5-13(12)16/h1-8,11,19H,9-10H2	SAQDVULJSRMFJO-UHFFFAOYSA-N	SAQDVULJSRMFJO-UHFFFAOYSA-N	O=C1N(CCC2=CNC3=CC=CC=C23)C(=O)C2=C1C=CC=C2	TRUE
UALIB-1261	CC1=CC=C(S(=O)(=O)N2C=C(CCN3C(=O)C4=C(C=CC=C4)C3=O)C3=CC=CC=C32)C=C1	3-[(2-Pthalimido)ethyl]-1-(p-toluenesulfonyl)indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C25H20N2O4S/c1-17-10-12-19(13-11-17)32(30,31)27-16-18(20-6-4-5-9-23(20)27)14-15-26-24(28)21-7-2-3-8-22(21)25(26)29/h2-13,16H,14-15H2,1H3	RVLBVWCERFVZNM-UHFFFAOYSA-N	RVLBVWCERFVZNM-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCN2C(=O)C3=C(C=CC=C3)C2=O)C2=CC=CC=C12	TRUE
UALIB-1262	CC1=CC=C(S(=O)(=O)N2C=C(CCN)C3=CC=CC=C32)C=C1	1-(p-Toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C17H18N2O2S/c1-13-6-8-15(9-7-13)22(20,21)19-12-14(10-11-18)16-4-2-3-5-17(16)19/h2-9,12H,10-11,18H2,1H3	XKKWGBDMWUAPLE-UHFFFAOYSA-N	XKKWGBDMWUAPLE-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCN)C2=CC=CC=C12	TRUE
UALIB-1263	CC(C)(C)OC(=O)NCCC1=C[NH]C2=CC=CC=C12	N-(tert-Butoxycarbonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C15H20N2O2/c1-15(2,3)19-14(18)16-9-8-11-10-17-13-7-5-4-6-12(11)13/h4-7,10,17H,8-9H2,1-3H3,(H,16,18)	UJUWQLXEMKUVGE-UHFFFAOYSA-N	UJUWQLXEMKUVGE-UHFFFAOYSA-N	[H]N1C=C(CCNC(=O)OC(C)(C)C)C2=CC=CC=C12	TRUE
UALIB-1264	CC1=CC=C(S(=O)(=O)N2C=C(CCNC(=O)OC(C)(C)C)C3=CC=CC=C32)C=C1	1-(p-Toluenesulfonyl)-N-(tert-butoxycarbonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C22H26N2O4S/c1-16-9-11-18(12-10-16)29(26,27)24-15-17(19-7-5-6-8-20(19)24)13-14-23-21(25)28-22(2,3)4/h5-12,15H,13-14H2,1-4H3,(H,23,25)	UYMYDPZATSULIB-UHFFFAOYSA-N	UYMYDPZATSULIB-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCNC(=O)OC(C)(C)C)C2=CC=CC=C12	TRUE
UALIB-1265	CC1=CC=C(S(=O)(=O)N(CCC2=C[NH]C3=CC=CC=C23)C(=O)OC(C)(C)C)C=C1	N-(tert-butoxycarbonyl)-N-(p-toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C22H26N2O4S/c1-16-9-11-18(12-10-16)29(26,27)24(21(25)28-22(2,3)4)14-13-17-15-23-20-8-6-5-7-19(17)20/h5-12,15,23H,13-14H2,1-4H3	HSCIZQUWUZNDBV-UHFFFAOYSA-N	HSCIZQUWUZNDBV-UHFFFAOYSA-N	[H]N1C=C(CCN(C(=O)OC(C)(C)C)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	TRUE
UALIB-1266	CC1=CC=C(S(=O)(=O)N(CCC2=CN(S(=O)(=O)C3=CC=C(C)C=C3)C3=CC=CC=C23)C(=O)OC(C)(C)C)C=C1	N-(tert-butoxycarbonyl)-N,1-bis(p-toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	InChI=1S/C29H32N2O6S2/c1-21-10-14-24(15-11-21)38(33,34)30(28(32)37-29(3,4)5)19-18-23-20-31(27-9-7-6-8-26(23)27)39(35,36)25-16-12-22(2)13-17-25/h6-17,20H,18-19H2,1-5H3	ZWSRQFVDZWZEKK-UHFFFAOYSA-N	ZWSRQFVDZWZEKK-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C	TRUE
