DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2489	C=CCCCCCCC(=O)OC	31	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C10H18O2/c1-3-4-5-6-7-8-9-10(11)12-2/h3H,1,4-9H2,2H3	PWAJIGUTWKGVLP-UHFFFAOYSA-N	PWAJIGUTWKGVLP-UHFFFAOYSA-N	COC(=O)CCCCCCC=C	TRUE
UALIB-2490	C=CCCCC(O[Si](C(C)C)(C(C)C)C(C)C)C(=O)OC	35	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C17H34O3Si/c1-9-10-11-12-16(17(18)19-8)20-21(13(2)3,14(4)5)15(6)7/h9,13-16H,1,10-12H2,2-8H3	YFKKJVQMFZDTQE-UHFFFAOYSA-N	YFKKJVQMFZDTQE-UHFFFAOYSA-N	COC(=O)C(CCCC=C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2491	C=CCC(CC(C)(C)C(=O)OC)O[Si](C(C)C)(C(C)C)C(C)C	37	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C19H38O3Si/c1-11-12-17(13-19(8,9)18(20)21-10)22-23(14(2)3,15(4)5)16(6)7/h11,14-17H,1,12-13H2,2-10H3	JYDDRFGMCNJYGM-UHFFFAOYSA-N	JYDDRFGMCNJYGM-UHFFFAOYSA-N	COC(=O)C(C)(C)CC(CC=C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2492	C=CCC(C)(CC(=O)OC)O[Si](C(C)C)(C(C)C)C(C)C	43	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C17H34O3Si/c1-10-11-17(8,12-16(18)19-9)20-21(13(2)3,14(4)5)15(6)7/h10,13-15H,1,11-12H2,2-9H3	KVKNJKUYEBAMMG-UHFFFAOYSA-N	KVKNJKUYEBAMMG-UHFFFAOYSA-N	COC(=O)CC(C)(CC=C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2493	COC(=O)CCC/C=C/C1=CC=CC=C1.COC(=O)CCC/C=C\C1=CC=CC=C1	67b (E/Z mixture)	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/2C13H16O2/c2*1-15-13(14)11-7-3-6-10-12-8-4-2-5-9-12/h2*2,4-6,8-10H,3,7,11H2,1H3/b10-6+;10-6-	MQGIJAMTYHVCNE-CJUPLKJXSA-N	MQGIJAMTYHVCNE-CJUPLKJXSA-N	[H]\C(=C\CCCC(=O)OC)C1=CC=CC=C1.[H]\C(=C/CCCC(=O)OC)C1=CC=CC=C1	TRUE
UALIB-2494	COC(=O)CCC/C=C/CC(C)C.COC(=O)CCC/C=C\CC(C)C	67a (E/Z mixture)	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/2C11H20O2/c2*1-10(2)8-6-4-5-7-9-11(12)13-3/h2*4,6,10H,5,7-9H2,1-3H3/b6-4+;6-4-	XCFLQIVTATYFNO-VGVOGQKGSA-N	XCFLQIVTATYFNO-VGVOGQKGSA-N	[H]\C(CC(C)C)=C\CCCC(=O)OC.[H]\C(CC(C)C)=C/CCCC(=O)OC	TRUE
UALIB-2495	O[C@@]12CCC[C@@H]1C2	26	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C6H10O/c7-6-3-1-2-5(6)4-6/h5,7H,1-4H2/t5-,6-/m1/s1	NHPHSQKWQYLZSA-PHDIDXHHSA-N	NHPHSQKWQYLZSA-PHDIDXHHSA-N	[H][C@@]12C[C@]1(O)CCC2	TRUE
UALIB-2496	O[C@@]12CCCC[C@@H]1C2	28	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C7H12O/c8-7-4-2-1-3-6(7)5-7/h6,8H,1-5H2/t6-,7-/m1/s1	DWLNEMIXWHHTHQ-RNFRBKRXSA-N	DWLNEMIXWHHTHQ-RNFRBKRXSA-N	[H][C@@]12C[C@]1(O)CCCC2	TRUE
UALIB-2497	CC(C)[Si](O[C@H]1CCC[C@@H]2C[C@]12O)(C(C)C)C(C)C	36	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C16H32O2Si/c1-11(2)19(12(3)4,13(5)6)18-15-9-7-8-14-10-16(14,15)17/h11-15,17H,7-10H2,1-6H3/t14-,15+,16-/m1/s1	HUQVNLHLJDOZEW-OWCLPIDISA-N	HUQVNLHLJDOZEW-OWCLPIDISA-N	[H]C1C[C@]2([H])C[C@]2(O)[C@]([H])(C1)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-2498	CC(C)[Si](OC1C[C@@H]2C[C@]2(O)C(C)(C)C1)(C(C)C)C(C)C	38	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	InChI=1S/C18H36O2Si/c1-12(2)21(13(3)4,14(5)6)20-16-9-15-10-18(15,19)17(7,8)11-16/h12-16,19H,9-11H2,1-8H3/t15-,16?,18-/m1/s1	BSZFYTGPJRGHDV-IFJNFQAOSA-N	BSZFYTGPJRGHDV-IFJNFQAOSA-N	[H][C@@]12C[C@]1(O)C(C)(C)CC(C2)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
