DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1702	CC[C@@H](Br)[C@@](C)(Br)C(=O)O	80	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C6H10Br2O2/c1-3-4(7)6(2,8)5(9)10/h4H,3H2,1-2H3,(H,9,10)/t4-,6-/m1/s1	IDWNXPKNWSHWGZ-INEUFUBQSA-N	IDWNXPKNWSHWGZ-INEUFUBQSA-N	[H]OC(=O)[C@](C)(Br)[C@]([H])(Br)CC	TRUE
UALIB-1703	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	87	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C21H46O4Si2/c1-15(2)27(16(3)4,17(5)6)23-13-18(19-21(10,14-22)24-19)25-26(11,12)20(7,8)9/h15-19,22H,13-14H2,1-12H3/t18-,19+,21+/m1/s1	DYRFMXMYOQYJIN-DYXWJJEUSA-N	DYRFMXMYOQYJIN-DYXWJJEUSA-N	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	TRUE
UALIB-1704	C=C(C)[C@@H](O)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C.C=C(C)[C@H](O)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C	89 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/2C24H50O4Si2/c2*1-16(2)21(25)24(12)22(27-24)20(28-29(13,14)23(9,10)11)15-26-30(17(3)4,18(5)6)19(7)8/h2*17-22,25H,1,15H2,2-14H3/t20-,21+,22+,24+;20-,21-,22+,24+/m11/s1	AUOWDHUDSKFLQU-XCTIOMLWSA-N	AUOWDHUDSKFLQU-XCTIOMLWSA-N	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@@H](O)C(C)=C)(C(C)C)C(C)C.CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@H](O)C(C)=C)(C(C)C)C(C)C	TRUE
UALIB-1705	C=C(C)[C@@H](O[Si](C)(C)C)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C.C=C(C)[C@H](O[Si](C)(C)C)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C	90 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/2C27H58O4Si3/c2*1-19(2)24(31-32(13,14)15)27(12)25(29-27)23(30-33(16,17)26(9,10)11)18-28-34(20(3)4,21(5)6)22(7)8/h2*20-25H,1,18H2,2-17H3/t23-,24+,25+,27+;23-,24-,25+,27+/m11/s1	RTOGHDKFPSKLNZ-UVSBDSOESA-N	RTOGHDKFPSKLNZ-UVSBDSOESA-N	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@@H](O[Si](C)(C)C)C(C)=C)(C(C)C)C(C)C.CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@H](O[Si](C)(C)C)C(C)=C)(C(C)C)C(C)C	TRUE
UALIB-1706	C=C(C)C(C)(C=O)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C	91	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C24H50O4Si2/c1-17(2)24(12,16-25)22(26)21(28-29(13,14)23(9,10)11)15-27-30(18(3)4,19(5)6)20(7)8/h16,18-22,26H,1,15H2,2-14H3/t21-,22+,24?/m1/s1	SFKOEVOMRPCKNS-BVQDOMOSSA-N	SFKOEVOMRPCKNS-BVQDOMOSSA-N	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](O)C(C)(C=O)C(C)=C)(C(C)C)C(C)C	TRUE
UALIB-1707	C=C(C)C(C)(C1OCCO1)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C	92	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C26H54O5Si2/c1-18(2)26(12,24-28-15-16-29-24)23(27)22(31-32(13,14)25(9,10)11)17-30-33(19(3)4,20(5)6)21(7)8/h19-24,27H,1,15-17H2,2-14H3/t22-,23+,26?/m1/s1	KOOJMLKPPRCWTI-DBRKUKIDSA-N	KOOJMLKPPRCWTI-DBRKUKIDSA-N	CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](O)C(C)(C1OCCO1)C(C)=C)(C(C)C)C(C)C	TRUE
UALIB-1708	C=C(C)C(C)(C1OCCO1)[C@@H](OCC1=CC=C(OC)C=C1)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C	93	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C34H62O6Si2/c1-24(2)34(12,32-36-20-21-37-32)31(38-22-28-16-18-29(35-13)19-17-28)30(40-41(14,15)33(9,10)11)23-39-42(25(3)4,26(5)6)27(7)8/h16-19,25-27,30-32H,1,20-23H2,2-15H3/t30-,31+,34?/m1/s1	LPSMAHZAOJRJIE-LSABIWSESA-N	LPSMAHZAOJRJIE-LSABIWSESA-N	COC1=CC=C(CO[C@@H]([C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C)C(C)(C2OCCO2)C(C)=C)C=C1	TRUE
UALIB-1709	C=C(C)[C@]1(C)[C@@H](OC)O[C@H](CO)[C@@H]1OCC1=CC=C(OC)C=C1	94	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C18H26O5/c1-12(2)18(3)16(15(10-19)23-17(18)21-5)22-11-13-6-8-14(20-4)9-7-13/h6-9,15-17,19H,1,10-11H2,2-5H3/t15-,16+,17+,18+/m1/s1	SHMLREGVLOLYGF-OWSLCNJRSA-N	SHMLREGVLOLYGF-OWSLCNJRSA-N	CO[C@H]1O[C@H](CO)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)C(C)=C	TRUE
UALIB-1710	C=C(C)[C@]1(C)[C@@H](OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	95	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/C27H46O5Si/c1-18(2)27(9)25(30-16-22-12-14-23(28-10)15-13-22)24(32-26(27)29-11)17-31-33(19(3)4,20(5)6)21(7)8/h12-15,19-21,24-26H,1,16-17H2,2-11H3/t24-,25+,26+,27+/m1/s1	ZJNKAPFHOPCKDN-WKAQUBQDSA-N	ZJNKAPFHOPCKDN-WKAQUBQDSA-N	CO[C@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)C(C)=C	TRUE
UALIB-1711	COC1=CC=C(CO[C@H]2[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[C@@H](OC)[C@@]2(C)[C@@](C)(O)CO)C=C1.COC1=CC=C(CO[C@H]2[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[C@H](OC)[C@@]2(C)[C@@](C)(O)CO)C=C1	96 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	InChI=1S/2C27H48O7Si/c2*1-18(2)35(19(3)4,20(5)6)33-16-23-24(32-15-21-11-13-22(30-9)14-12-21)27(8,25(31-10)34-23)26(7,29)17-28/h2*11-14,18-20,23-25,28-29H,15-17H2,1-10H3/t23-,24+,25+,26+,27+;23-,24+,25-,26+,27+/m11/s1	RQCGUFIQWNWRJQ-PCMUZXBXSA-N	RQCGUFIQWNWRJQ-PCMUZXBXSA-N	CO[C@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)[C@@](C)(O)CO.CO[C@@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)[C@@](C)(O)CO	TRUE
