DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2466	CCOC(C)OCC#CCCO	17a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C9H16O3/c1-3-11-9(2)12-8-6-4-5-7-10/h9-10H,3,5,7-8H2,1-2H3	DSVSPMFMVZWPOO-UHFFFAOYSA-N	DSVSPMFMVZWPOO-UHFFFAOYSA-N	CCOC(C)OCC#CCCO	TRUE
UALIB-2467	CCOC(C)OCC#CCCOS(C)(=O)=O	17b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C10H18O5S/c1-4-13-10(2)14-8-6-5-7-9-15-16(3,11)12/h10H,4,7-9H2,1-3H3	CGSCKBDUOREVAH-UHFFFAOYSA-N	CGSCKBDUOREVAH-UHFFFAOYSA-N	CCOC(C)OCC#CCCOS(C)(=O)=O	TRUE
UALIB-2468	CCOC(C)OCC#CCCI	17c	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C9H15IO2/c1-3-11-9(2)12-8-6-4-5-7-10/h9H,3,5,7-8H2,1-2H3	GLDNOTLKURTPCU-UHFFFAOYSA-N	GLDNOTLKURTPCU-UHFFFAOYSA-N	CCOC(C)OCC#CCCI	TRUE
UALIB-2469	OCCC#CCOC1CCCCO1	17d	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C10H16O3/c11-7-3-1-4-8-12-10-6-2-5-9-13-10/h10-11H,2-3,5-9H2	QGMANNYLVWXDNX-UHFFFAOYSA-N	QGMANNYLVWXDNX-UHFFFAOYSA-N	OCCC#CCOC1CCCCO1	TRUE
UALIB-2470	CS(=O)(=O)OCCC#CCOC1CCCCO1	17e	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C11H18O5S/c1-17(12,13)16-10-5-2-4-8-14-11-7-3-6-9-15-11/h11H,3,5-10H2,1H3	GYAVUALISDPFEN-UHFFFAOYSA-N	GYAVUALISDPFEN-UHFFFAOYSA-N	CS(=O)(=O)OCCC#CCOC1CCCCO1	TRUE
UALIB-2471	ICCC#CCOC1CCCCO1	17f	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C10H15IO2/c11-7-3-1-4-8-12-10-6-2-5-9-13-10/h10H,2-3,5-9H2	IEQZYJKDFCSJCO-UHFFFAOYSA-N	IEQZYJKDFCSJCO-UHFFFAOYSA-N	ICCC#CCOC1CCCCO1	TRUE
UALIB-2472	C=CC#CCOC(C)OCC	18a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C9H14O2/c1-4-6-7-8-11-9(3)10-5-2/h4,9H,1,5,8H2,2-3H3	TVDOOLGHRHSONF-UHFFFAOYSA-N	TVDOOLGHRHSONF-UHFFFAOYSA-N	CCOC(C)OCC#CC=C	TRUE
UALIB-2473	C=CC#CCOC1CCCCO1	18b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C10H14O2/c1-2-3-5-8-11-10-7-4-6-9-12-10/h2,10H,1,4,6-9H2	RFKSRQQLICSNMH-UHFFFAOYSA-N	RFKSRQQLICSNMH-UHFFFAOYSA-N	C=CC#CCOC1CCCCO1	TRUE
UALIB-2474	CC1=CC(O[Si](C)(C)C)=C(C)O1	38	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C9H16O2Si/c1-7-6-9(8(2)10-7)11-12(3,4)5/h6H,1-5H3	CNEDLNAIYYCNME-UHFFFAOYSA-N	CNEDLNAIYYCNME-UHFFFAOYSA-N	CC1=CC(O[Si](C)(C)C)=C(C)O1	TRUE
UALIB-2475	CCOC(=O)CCC1(C)OC(C)=CC1=O	40	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	InChI=1S/C11H16O4/c1-4-14-10(13)5-6-11(3)9(12)7-8(2)15-11/h7H,4-6H2,1-3H3	REIQMPBLIGEEAF-UHFFFAOYSA-N	REIQMPBLIGEEAF-UHFFFAOYSA-N	CCOC(=O)CCC1(C)OC(C)=CC1=O	TRUE
