DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1514	C=C=COC	17	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C4H6O/c1-3-4-5-2/h4H,1H2,2H3	RRWJXAJEGRDMQH-UHFFFAOYSA-N	RRWJXAJEGRDMQH-UHFFFAOYSA-N	COC=C=C	TRUE
UALIB-1515	C=CCCCC=O	29	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C6H10O/c1-2-3-4-5-6-7/h2,6H,1,3-5H2	USLRUYZDOLMIRJ-UHFFFAOYSA-N	USLRUYZDOLMIRJ-UHFFFAOYSA-N	[H]C(=O)CCCC=C	TRUE
UALIB-1516	C=C=C(OC)C(O)CCCC=C	30	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C10H16O2/c1-4-6-7-8-9(11)10(5-2)12-3/h4,9,11H,1-2,6-8H2,3H3	HSUKVYKNHFTSLA-UHFFFAOYSA-N	HSUKVYKNHFTSLA-UHFFFAOYSA-N	COC(=C=C)C(O)CCCC=C	TRUE
UALIB-1517	C=CCCCC1OCCC1=O	27	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C9H14O2/c1-2-3-4-5-9-8(10)6-7-11-9/h2,9H,1,3-7H2	RXYWXUSHBVWEJL-UHFFFAOYSA-N	RXYWXUSHBVWEJL-UHFFFAOYSA-N	C=CCCCC1OCCC1=O	TRUE
UALIB-1518	C=CCCCC1OC=CC1=O	10a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C9H12O2/c1-2-3-4-5-9-8(10)6-7-11-9/h2,6-7,9H,1,3-5H2	IHZDBGCYQHUGHL-UHFFFAOYSA-N	IHZDBGCYQHUGHL-UHFFFAOYSA-N	C=CCCCC1OC=CC1=O	TRUE
UALIB-1519	COCC#CSC1=CC=CC=C1	32	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C10H10OS/c1-11-8-5-9-12-10-6-3-2-4-7-10/h2-4,6-7H,8H2,1H3	XUSPWSBDWXSPHZ-UHFFFAOYSA-N	XUSPWSBDWXSPHZ-UHFFFAOYSA-N	COCC#CSC1=CC=CC=C1	TRUE
UALIB-1520	C#CCO	36	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2	TVDSBUOJIPERQY-UHFFFAOYSA-N	TVDSBUOJIPERQY-UHFFFAOYSA-N	OCC#C	TRUE
UALIB-1521	CCOC(C)OCC1=CC(CC)=NO1	38	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C10H17NO3/c1-4-9-6-10(14-11-9)7-13-8(3)12-5-2/h6,8H,4-5,7H2,1-3H3	VIEDHSKTDKJZMX-UHFFFAOYSA-N	VIEDHSKTDKJZMX-UHFFFAOYSA-N	CCOC(C)OCC1=CC(CC)=NO1	TRUE
UALIB-1522	CC1=NOC(CO)=C1	22a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C5H7NO2/c1-4-2-5(3-7)8-6-4/h2,7H,3H2,1H3	OFSDWHRZVRCPBR-UHFFFAOYSA-N	OFSDWHRZVRCPBR-UHFFFAOYSA-N	CC1=NOC(CO)=C1	TRUE
UALIB-1523	CCC1=CC(=O)CO1	23a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	InChI=1S/C6H8O2/c1-2-6-3-5(7)4-8-6/h3H,2,4H2,1H3	RFBRUWXWGVDEMB-UHFFFAOYSA-N	RFBRUWXWGVDEMB-UHFFFAOYSA-N	CCC1=CC(=O)CO1	TRUE
