DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1750	CC(C)[C@H](O)C(=O)O	66	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)/t4-/m0/s1	NGEWQZIDQIYUNV-BYPYZUCNSA-N	NGEWQZIDQIYUNV-BYPYZUCNSA-N	CC(C)[C@H](O)C(O)=O	TRUE
UALIB-1751	CCOC(=O)[C@@H](O)[C@@H](C)O	67	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C6H12O4/c1-3-10-6(9)5(8)4(2)7/h4-5,7-8H,3H2,1-2H3/t4-,5+/m1/s1	PMNDLKWRJQBUCG-UHNVWZDZSA-N	PMNDLKWRJQBUCG-UHNVWZDZSA-N	CCOC(=O)[C@@H](O)[C@@H](C)O	TRUE
UALIB-1752	CCOC(=O)[C@@H](O)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	45c	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C15H32O4Si/c1-9-18-15(17)14(16)13(8)19-20(10(2)3,11(4)5)12(6)7/h10-14,16H,9H2,1-8H3/t13-,14+/m1/s1	UYCVLVIZKHXPAV-KGLIPLIRSA-N	UYCVLVIZKHXPAV-KGLIPLIRSA-N	CCOC(=O)[C@@H](O)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1753	CC1(C)OCC([C@@H](O)C(=O)[O-])O1.[Ca+2]	68a	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C7H12O5.Ca/c1-7(2)11-3-4(12-7)5(8)6(9)10;/h4-5,8H,3H2,1-2H3,(H,9,10);/q;+2/p-1/t4?,5-;/m1./s1	YLIZBJBJZOHVIU-VVNPLDQHSA-M	YLIZBJBJZOHVIU-VVNPLDQHSA-M	[Ca++].CC1(C)OCC(O1)[C@@H](O)C([O-])=O	TRUE
UALIB-1754	CCCCCC/C=C/C(=O)OC	69	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C10H18O2/c1-3-4-5-6-7-8-9-10(11)12-2/h8-9H,3-7H2,1-2H3/b9-8+	ZWNPUELCBZVMDA-CMDGGOBGSA-N	ZWNPUELCBZVMDA-CMDGGOBGSA-N	CCCCCC\C=C\C(=O)OC	TRUE
UALIB-1755	CCCCCCC[C@@H](O)[C@H](O)C(=O)OC	70	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C11H22O4/c1-3-4-5-6-7-8-9(12)10(13)11(14)15-2/h9-10,12-13H,3-8H2,1-2H3/t9-,10+/m1/s1	RCOSOARNYXZHJW-ZJUUUORDSA-N	RCOSOARNYXZHJW-ZJUUUORDSA-N	CCCCCCC[C@@H](O)[C@H](O)C(=O)OC	TRUE
UALIB-1756	CCCCCCC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@H](O)C(=O)OC	45d	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C20H42O4Si/c1-9-10-11-12-13-14-18(19(21)20(22)23-8)24-25(15(2)3,16(4)5)17(6)7/h15-19,21H,9-14H2,1-8H3/t18-,19+/m1/s1	VNHMNPSNPHTEMA-MOPGFXCFSA-N	VNHMNPSNPHTEMA-MOPGFXCFSA-N	CCCCCCC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@H](O)C(=O)OC	TRUE
UALIB-1757	COC(=O)/C=C/CCCO	71	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C7H12O3/c1-10-7(9)5-3-2-4-6-8/h3,5,8H,2,4,6H2,1H3/b5-3+	ATLBQTPBCVSZGU-HWKANZROSA-N	ATLBQTPBCVSZGU-HWKANZROSA-N	COC(=O)\C=C\CCCO	TRUE
UALIB-1758	COC(=O)/C=C/CCCOC1CCCCO1	71a	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C12H20O4/c1-14-11(13)7-3-2-5-9-15-12-8-4-6-10-16-12/h3,7,12H,2,4-6,8-10H2,1H3/b7-3+	MXYKHVMAQDDEBF-XVNBXDOJSA-N	MXYKHVMAQDDEBF-XVNBXDOJSA-N	COC(=O)\C=C\CCCOC1CCCCO1	TRUE
UALIB-1759	CCOC(=O)[C@@H](O)[C@H](O)CCCOC1CCCCO1	71b	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C13H24O6/c1-2-17-13(16)12(15)10(14)6-5-9-19-11-7-3-4-8-18-11/h10-12,14-15H,2-9H2,1H3/t10-,11?,12+/m1/s1	CMLYZWHPTMNEBJ-LWALXPGCSA-N	CMLYZWHPTMNEBJ-LWALXPGCSA-N	CCOC(=O)[C@@H](O)[C@H](O)CCCOC1CCCCO1	TRUE
