DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS Match?
UALIB-339	CC[C@@H](Br)C(C)(C)C(=O)O	Erythro-2,3-Dibromo-2-methylpentanoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C7H13BrO2/c1-4-5(8)7(2,3)6(9)10/h5H,4H2,1-3H3,(H,9,10)/t5-/m1/s1	UCKHUOHUOYJTCV-RXMQYKEDSA-N	UCKHUOHUOYJTCV-RXMQYKEDSA-N	[H][C@@](Br)(CC)C(C)(C)C(O)=O	TRUE
UALIB-340	CC/C=C(/C)Br	Z-2-Bromo-2-pentene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C5H9Br/c1-3-4-5(2)6/h4H,3H2,1-2H3/b5-4-	RWKAFOQZRPDXDT-PLNGDYQASA-N	RWKAFOQZRPDXDT-PLNGDYQASA-N	[H]\C(CC)=C(/C)Br	TRUE
UALIB-341	CC/C=C(/C)C(=O)O	cis-2-Methyl-2-pentenoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C6H10O2/c1-3-4-5(2)6(7)8/h4H,3H2,1-2H3,(H,7,8)/b5-4-	JJYWRQLLQAKNAD-PLNGDYQASA-N	JJYWRQLLQAKNAD-PLNGDYQASA-N	[H]\C(CC)=C(/C)C(O)=O	TRUE
UALIB-342	CC[C@@H](Br)[C@](C)(Br)C(=O)O	Threo-2,3-Dibromo-2-methylpentanoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C6H10Br2O2/c1-3-4(7)6(2,8)5(9)10/h4H,3H2,1-2H3,(H,9,10)/t4-,6+/m1/s1	IDWNXPKNWSHWGZ-XINAWCOVSA-N	IDWNXPKNWSHWGZ-XINAWCOVSA-N	[H][C@@](Br)(CC)[C@](C)(Br)C(O)=O	TRUE
UALIB-343	CC/C=C(\C)Br	E-2-Bromo-2-pentene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C5H9Br/c1-3-4-5(2)6/h4H,3H2,1-2H3/b5-4+	RWKAFOQZRPDXDT-SNAWJCMRSA-N	RWKAFOQZRPDXDT-SNAWJCMRSA-N	[H]\C(CC)=C(\C)Br	TRUE
UALIB-344	CC(C)[Si](OC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	(2R,3R,4R)-2,3-Epoxy-4,5-bis(triisopropylsiloxy)-2-methylpent-1-ol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C24H52O4Si2/c1-16(2)29(17(3)4,18(5)6)26-14-22(23-24(13,15-25)27-23)28-30(19(7)8,20(9)10)21(11)12/h16-23,25H,14-15H2,1-13H3/t22-,23+,24+/m1/s1	XWFVEKLMZSOCGO-SGNDLWITSA-N	XWFVEKLMZSOCGO-SGNDLWITSA-N	CC(C)[Si](OC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	TRUE
UALIB-345	CC/C=C(\C)C(O)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	(2R,3R,4R,5RS)-3,4-Epoxy-5-ol-1,2-bis(triisopropylsilyloxy)-4,6-dimethyl-6(E)-nonene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C29H60O4Si2/c1-16-17-25(14)27(30)29(15)28(32-29)26(33-35(22(8)9,23(10)11)24(12)13)18-31-34(19(2)3,20(4)5)21(6)7/h17,19-24,26-28,30H,16,18H2,1-15H3/b25-17+/t26-,27?,28+,29+/m1/s1	SRUVFZUKLWKCOW-QJJRGQCDSA-N	SRUVFZUKLWKCOW-QJJRGQCDSA-N	CC\C=C(/C)C(O)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-346	CC/C=C(\C)C(O[Si](C)(C)C)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	(2R,3R,4R,5RS)-3,4-Epoxy-5-trimethylsilyloxy-1,2-O-bis(triiospropylsilyloxy)-4,6-dim-ethyl-6(E)-nonene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C32H68O4Si3/c1-19-20-28(14)30(36-37(16,17)18)32(15)31(34-32)29(35-39(25(8)9,26(10)11)27(12)13)21-33-38(22(2)3,23(4)5)24(6)7/h20,22-27,29-31H,19,21H2,1-18H3/b28-20+/t29-,30?,31+,32+/m1/s1	AYFLWBJKIFBQQB-LWSHAMMPSA-N	AYFLWBJKIFBQQB-LWSHAMMPSA-N	CC\C=C(/C)C(O[Si](C)(C)C)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-347	CC/C=C(\C)C(C)(C=O)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	(2R,3R,4R)-2-Methyl-2-[1-methyl-1(E)-butenyl]-3-hydroxy-4,5-bis(triisopropylsilyloxy)pentanal	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C29H60O4Si2/c1-16-17-26(14)29(15,19-30)28(31)27(33-35(23(8)9,24(10)11)25(12)13)18-32-34(20(2)3,21(4)5)22(6)7/h17,19-25,27-28,31H,16,18H2,1-15H3/b26-17+/t27-,28+,29?/m1/s1	XUBURSZJEMSHKO-GZGBSASGSA-N	XUBURSZJEMSHKO-GZGBSASGSA-N	CC\C=C(/C)C(C)(C=O)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-348	CC/C=C(\C)[C@](C)(C1OCCO1)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	(2R,3R,4R)-3-Hydroxy-4-(2,5-dioxolanyl)-4,5-dimethyl-1,2-bis(triisopropylsilyloxy)-5(E)-octene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	InChI=1S/C31H64O5Si2/c1-16-17-27(14)31(15,30-33-18-19-34-30)29(32)28(36-38(24(8)9,25(10)11)26(12)13)20-35-37(21(2)3,22(4)5)23(6)7/h17,21-26,28-30,32H,16,18-20H2,1-15H3/b27-17+/t28-,29+,31+/m1/s1	PXHBWRVVDLDIBH-JGFPXFMTSA-N	PXHBWRVVDLDIBH-JGFPXFMTSA-N	CC\C=C(/C)[C@@](C)([C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C)C1OCCO1	TRUE
