DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-993	CN(CCO)C1=CC(=O)C(N(C)CCO)=CC1=O	2,5-Bis(N-2-hydroxyethyl-N-methylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C12H18N2O4/c1-13(3-5-15)9-7-12(18)10(8-11(9)17)14(2)4-6-16/h7-8,15-16H,3-6H2,1-2H3	RQFHZLBSLFXBFM-UHFFFAOYSA-N	RQFHZLBSLFXBFM-UHFFFAOYSA-N	CN(CCO)C1=CC(=O)C(=CC1=O)N(C)CCO	TRUE
UALIB-994	CCN(CCO)C1=CC(=O)C(N(CC)CCO)=CC1=O	2,5-Bis(N-2-hydroxyethyl-N-ethylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C14H22N2O4/c1-3-15(5-7-17)11-9-14(20)12(10-13(11)19)16(4-2)6-8-18/h9-10,17-18H,3-8H2,1-2H3	CANMGMCDOLOYIX-UHFFFAOYSA-N	CANMGMCDOLOYIX-UHFFFAOYSA-N	CCN(CCO)C1=CC(=O)C(=CC1=O)N(CC)CCO	TRUE
UALIB-995	CCCN(CCO)C1=CC(=O)C(N(CCC)CCO)=CC1=O	2,5-Bis(N-2-hydroxyethyl-N-propylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C16H26N2O4/c1-3-5-17(7-9-19)13-11-16(22)14(12-15(13)21)18(6-4-2)8-10-20/h11-12,19-20H,3-10H2,1-2H3	LVAXIIRCIYEGNR-UHFFFAOYSA-N	LVAXIIRCIYEGNR-UHFFFAOYSA-N	CCCN(CCO)C1=CC(=O)C(=CC1=O)N(CCC)CCO	TRUE
UALIB-996	CC1=CC=C(NC(=O)OCCN(C)C2=CC(=O)C(N(C)CCOC(=O)NC3=CC=C(C)C=C3)=CC2=O)C=C1	AQU-1	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C28H32N4O6/c1-19-5-9-21(10-6-19)29-27(35)37-15-13-31(3)23-17-26(34)24(18-25(23)33)32(4)14-16-38-28(36)30-22-11-7-20(2)8-12-22/h5-12,17-18H,13-16H2,1-4H3,(H,29,35)(H,30,36)	LKFYENQVDJMXPC-UHFFFAOYSA-N	LKFYENQVDJMXPC-UHFFFAOYSA-N	CN(CCOC(=O)NC1=CC=C(C)C=C1)C1=CC(=O)C(=CC1=O)N(C)CCOC(=O)NC1=CC=C(C)C=C1	TRUE
UALIB-997	CN(C)C1=CC(=O)C(N(C)C)=CC1=O	2,5-Bis(N,N’-dimethyl)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C10H14N2O2/c1-11(2)7-5-10(14)8(12(3)4)6-9(7)13/h5-6H,1-4H3	BZZIJKWURTYMLH-UHFFFAOYSA-N	BZZIJKWURTYMLH-UHFFFAOYSA-N	CN(C)C1=CC(=O)C(=CC1=O)N(C)C	TRUE
UALIB-998	CCN(CC)C1=CC(=O)C(N(CC)CC)=CC1=O	2,5-Bis(N,N’-diethyl)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C14H22N2O2/c1-5-15(6-2)11-9-14(18)12(10-13(11)17)16(7-3)8-4/h9-10H,5-8H2,1-4H3	IHZMGBPXYBCYFI-UHFFFAOYSA-N	IHZMGBPXYBCYFI-UHFFFAOYSA-N	CCN(CC)C1=CC(=O)C(=CC1=O)N(CC)CC	TRUE
UALIB-999	CN(C)C1=C(Cl)C(=O)C(N(C)C)=C(Cl)C1=O	2,5-Bis(N,N’-dimethyl)-3,6-dichloro-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C10H12Cl2N2O2/c1-13(2)7-5(11)10(16)8(14(3)4)6(12)9(7)15/h1-4H3	GRVLDMQTFHARBT-UHFFFAOYSA-N	GRVLDMQTFHARBT-UHFFFAOYSA-N	CN(C)C1=C(Cl)C(=O)C(N(C)C)=C(Cl)C1=O	TRUE
UALIB-1000	CCN(CC)C1=C(Cl)C(=O)C(N(CC)CC)=C(Cl)C1=O	2,5-Bis(N,N’-diethyl)-3,6-dichloro-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C14H20Cl2N2O2/c1-5-17(6-2)11-9(15)14(20)12(10(16)13(11)19)18(7-3)8-4/h5-8H2,1-4H3	OQOOCJFEYRUERJ-UHFFFAOYSA-N	OQOOCJFEYRUERJ-UHFFFAOYSA-N	CCN(CC)C1=C(Cl)C(=O)C(N(CC)CC)=C(Cl)C1=O	TRUE
UALIB-1001	NC1=CC=C(CC2=CC=C(NC3=CC(=O)C(NC4=CC=C(CC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	2,5-Bis(4,4’-methylene dianiline)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C32H28N4O2/c33-25-9-1-21(2-10-25)17-23-5-13-27(14-6-23)35-29-19-32(38)30(20-31(29)37)36-28-15-7-24(8-16-28)18-22-3-11-26(34)12-4-22/h1-16,19-20,35-36H,17-18,33-34H2	QIUADAKQQRDWER-UHFFFAOYSA-N	QIUADAKQQRDWER-UHFFFAOYSA-N	NC1=CC=C(CC2=CC=C(NC3=CC(=O)C(NC4=CC=C(CC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	TRUE
UALIB-1002	NC1=CC=C(OC2=CC=C(NC3=CC(=O)C(NC4=CC=C(OC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	2,5-Bis(4,4’-oxydianiline)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	InChI=1S/C30H24N4O4/c31-19-1-9-23(10-2-19)37-25-13-5-21(6-14-25)33-27-17-30(36)28(18-29(27)35)34-22-7-15-26(16-8-22)38-24-11-3-20(32)4-12-24/h1-18,33-34H,31-32H2	CWCXWNPDSYLARV-UHFFFAOYSA-N	CWCXWNPDSYLARV-UHFFFAOYSA-N	NC1=CC=C(OC2=CC=C(NC3=CC(=O)C(NC4=CC=C(OC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	TRUE
