DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	
UALIB-1315	COC1=CC(CCCO)=CC(OC)=C1OC	3-(3,4,5-Trimethoxyphenyl)-1-propanol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C12H18O4/c1-14-10-7-9(5-4-6-13)8-11(15-2)12(10)16-3/h7-8,13H,4-6H2,1-3H3	IBRWTCISGCXHQZ-UHFFFAOYSA-N	IBRWTCISGCXHQZ-UHFFFAOYSA-N	COC1=CC(CCCO)=CC(OC)=C1OC	TRUE	
UALIB-1316	COC1=CC(CCCO[Si](C(C)C)(C(C)C)C(C)C)=CC(OC)=C1OC	5-(3-Triisopropylsiloxypropyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H38O4Si/c1-15(2)26(16(3)4,17(5)6)25-12-10-11-18-13-19(22-7)21(24-9)20(14-18)23-8/h13-17H,10-12H2,1-9H3	RYKWWGOCRZEQDZ-UHFFFAOYSA-N	RYKWWGOCRZEQDZ-UHFFFAOYSA-N	COC1=CC(CCCO[Si](C(C)C)(C(C)C)C(C)C)=CC(OC)=C1OC	TRUE	
UALIB-1317	COC1=C(OC)C(OC)=C(I)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	5-(3-Triisopropylsiloxypropyl)-4-iodo-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H37IO4Si/c1-14(2)27(15(3)4,16(5)6)26-12-10-11-17-13-18(23-7)20(24-8)21(25-9)19(17)22/h13-16H,10-12H2,1-9H3	GJJIEPRUFKKMGQ-UHFFFAOYSA-N	GJJIEPRUFKKMGQ-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(I)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	TRUE	
UALIB-1318	COC1=C(OC)C(OC)=C(C#C[Si](C)(C)C)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	5-(3-Triisopropylsiloxypropyl)-4-(2-trimethylsilyethynyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C26H46O4Si2/c1-19(2)32(20(3)4,21(5)6)30-16-13-14-22-18-24(27-7)26(29-9)25(28-8)23(22)15-17-31(10,11)12/h18-21H,13-14,16H2,1-12H3	AOFJQXYUZMRMJL-UHFFFAOYSA-N	AOFJQXYUZMRMJL-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C[Si](C)(C)C)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	TRUE	
UALIB-1319	C#CC1=C(OC)C(OC)=C(OC)C=C1CCCO	3-(2-Ethynyl-3,4,5-trimethoxyphenyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C14H18O4/c1-5-11-10(7-6-8-15)9-12(16-2)14(18-4)13(11)17-3/h1,9,15H,6-8H2,2-4H3	BJFQIKGJWOTJKR-UHFFFAOYSA-N	BJFQIKGJWOTJKR-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCCO)=C1	TRUE	
UALIB-1320	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(O)C(Cl)(Cl)Cl	4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1,1,1-trichloro-butan-2-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C15H17Cl3O4/c1-5-10-9(6-7-12(19)15(16,17)18)8-11(20-2)14(22-4)13(10)21-3/h1,8,12,19H,6-7H2,2-4H3	KIZRBZQSWRSYGN-UHFFFAOYSA-N	KIZRBZQSWRSYGN-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(O)C(Cl)(Cl)Cl)=C1	TRUE	
UALIB-1321	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N=[N+]=[N-])C(=O)O	2-Azido-4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-butanoic acid	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C15H17N3O5/c1-5-10-9(6-7-11(15(19)20)17-18-16)8-12(21-2)14(23-4)13(10)22-3/h1,8,11H,6-7H2,2-4H3,(H,19,20)	CIEWFKQHCJKDOI-UHFFFAOYSA-N	CIEWFKQHCJKDOI-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(N=[N+]=[N-])C(O)=O)=C1	TRUE	
UALIB-1322	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N=[N+]=[N-])C(=O)OC	Methyl [2-Azido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H19N3O5/c1-6-11-10(7-8-12(18-19-17)16(20)24-5)9-13(21-2)15(23-4)14(11)22-3/h1,9,12H,7-8H2,2-5H3	SLWWYMCEWAQHCT-UHFFFAOYSA-N	SLWWYMCEWAQHCT-UHFFFAOYSA-N	COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)N=[N+]=[N-]	TRUE	
UALIB-1323	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N)C(=O)OC	Methyl [2-amino-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H21NO5/c1-6-11-10(7-8-12(17)16(18)22-5)9-13(19-2)15(21-4)14(11)20-3/h1,9,12H,7-8,17H2,2-5H3	WCOFBUILQKPVFZ-UHFFFAOYSA-N	WCOFBUILQKPVFZ-UHFFFAOYSA-N	COC(=O)C(N)CCC1=CC(OC)=C(OC)C(OC)=C1C#C	TRUE	
UALIB-1324	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(NC(C)=O)C(=O)OC	Methyl [2-acetamido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C18H23NO6/c1-7-13-12(8-9-14(18(21)25-6)19-11(2)20)10-15(22-3)17(24-5)16(13)23-4/h1,10,14H,8-9H2,2-6H3,(H,19,20)	KKGZZKSGTSDWGD-UHFFFAOYSA-N	KKGZZKSGTSDWGD-UHFFFAOYSA-N	COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)NC(C)=O	TRUE	
