DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1033	COC(=O)CC[C@@]12C=C[C@@H](O1)[C@H](C)C(=O)[C@@H]2C.COC(=O)CC[C@]12C=C[C@H](O1)[C@@H](C)C(=O)[C@H]2C	(±)-1S,2S,4R,5S-2,4-Dimethyl-1-(3-oxo-3-methoxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C13H18O4/c2*1-8-10-4-6-13(17-10,9(2)12(8)15)7-5-11(14)16-3/h2*4,6,8-10H,5,7H2,1-3H3/t2*8-,9-,10+,13+/m10/s1	JSOBSGLXWWIRPD-VFQGVXTPSA-N	JSOBSGLXWWIRPD-VFQGVXTPSA-N	COC(=O)CC[C@@]12O[C@@H](C=C1)[C@@H](C)C(=O)[C@H]2C.COC(=O)CC[C@]12O[C@H](C=C1)[C@H](C)C(=O)[C@@H]2C	TRUE
UALIB-1034	C[C@@H]1[C@@H]2C=C[C@@](CCCO)(O2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@]2(CCCO)C=C[C@H]1O2	(±)-1R,2R,3R,4R,5S-3-tert-Butyldimethylsiloxy-2,4-dimethyl-1-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C18H34O3Si/c2*1-13-15-9-11-18(20-15,10-8-12-19)14(2)16(13)21-22(6,7)17(3,4)5/h2*9,11,13-16,19H,8,10,12H2,1-7H3/t2*13-,14-,15+,16-,18-/m10/s1	JUCDJIAZZSMWIS-YIOOGNBMSA-N	JUCDJIAZZSMWIS-YIOOGNBMSA-N	C[C@H]1[C@@H]2O[C@@](CCCO)(C=C2)[C@@H](C)[C@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H]2O[C@](CCCO)(C=C2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C	TRUE
UALIB-1035	C[C@@H]1[C@@H]2C=C[C@@](CC/C=C\I)(O2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@]2(CC/C=C\I)C=C[C@H]1O2	(±)-1R,2R,3R,4R,5S-3-tert-Butyldimethylsiloxy-2,4-dimethyl-1-(4-iodobut-3Z-enyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C19H33IO2Si/c2*1-14-16-10-12-19(21-16,11-8-9-13-20)15(2)17(14)22-23(6,7)18(3,4)5/h2*9-10,12-17H,8,11H2,1-7H3/b2*13-9-/t2*14-,15-,16+,17-,19-/m10/s1	CSBNTVBYECWLKU-CIGPUJQUSA-N	CSBNTVBYECWLKU-CIGPUJQUSA-N	C[C@H]1[C@@H]2O[C@@](CC\C=C/I)(C=C2)[C@@H](C)[C@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H]2O[C@](CC\C=C/I)(C=C2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C	TRUE
UALIB-1036	C[C@@H]1[C@@H]2C[C@H]3C=CCC[C@]3(O2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)[C@]23CCC=C[C@H]2C[C@H]1O3	(±)-1R,6S,8S,9R,10R,11R-10-tert-Butyldimethylsiloxy-9,11-dimethyl-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C19H34O2Si/c2*1-13-16-12-15-10-8-9-11-19(15,20-16)14(2)17(13)21-22(6,7)18(3,4)5/h2*8,10,13-17H,9,11-12H2,1-7H3/t2*13-,14-,15-,16+,17-,19+/m10/s1	HDTNYQCHJDORNU-QGEQQEHASA-N	HDTNYQCHJDORNU-QGEQQEHASA-N	[H][C@@]12C[C@@H]3O[C@@]1(CCC=C2)[C@H](C)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]3C.[H][C@]12C[C@H]3O[C@]1(CCC=C2)[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]3C	TRUE
UALIB-1037	COC(=O)CCC1=CC=C(CO[Si](C)(C)C(C)(C)C)O1	2-tert-Butyldimethylsiloxymethyl-5-(3-oxo-3-methoxypropyl)-furan	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/C15H26O4Si/c1-15(2,3)20(5,6)18-11-13-8-7-12(19-13)9-10-14(16)17-4/h7-8H,9-11H2,1-6H3	SZCPAKJQGDGINQ-UHFFFAOYSA-N	SZCPAKJQGDGINQ-UHFFFAOYSA-N	COC(=O)CCC1=CC=C(CO[Si](C)(C)C(C)(C)C)O1	TRUE
UALIB-1038	COC(=O)CC[C@@]12C=C[C@@](CO[Si](C)(C)C(C)(C)C)(CC(=O)C1)O2.COC(=O)CC[C@]12C=C[C@](CO[Si](C)(C)C(C)(C)C)(CC(=O)C1)O2	(±)-1-tert-Butyldimethylsiloxymethyl-5-(3-oxo-3-methoxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C18H30O5Si/c2*1-16(2,3)24(5,6)22-13-18-10-9-17(23-18,11-14(19)12-18)8-7-15(20)21-4/h2*9-10H,7-8,11-13H2,1-6H3/t2*17-,18+/m10/s1	GKUJDIXNBKSSIZ-QVUSPSOHSA-N	GKUJDIXNBKSSIZ-QVUSPSOHSA-N	COC(=O)CC[C@@]12CC(=O)C[C@@](CO[Si](C)(C)C(C)(C)C)(O1)C=C2.COC(=O)CC[C@]12CC(=O)C[C@](CO[Si](C)(C)C(C)(C)C)(O1)C=C2	TRUE
UALIB-1039	CC(C)(C)[Si](C)(C)OC[C@@]12C=C[C@@](CCCO)(C[C@@H](O)C1)O2.CC(C)(C)[Si](C)(C)OC[C@]12C=C[C@](CCCO)(C[C@H](O)C1)O2	(±)-1R,3S,5S-1-tert-Butyldimethylsiloxymethyl-5-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-ol	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C17H32O4Si/c2*1-15(2,3)22(4,5)20-13-17-9-8-16(21-17,7-6-10-18)11-14(19)12-17/h2*8-9,14,18-19H,6-7,10-13H2,1-5H3/t2*14-,16+,17-/m10/s1	BMQGTAUSNNFJIS-HFOHEHIVSA-N	BMQGTAUSNNFJIS-HFOHEHIVSA-N	CC(C)(C)[Si](C)(C)OC[C@@]12C[C@H](O)C[C@@](CCCO)(O1)C=C2.CC(C)(C)[Si](C)(C)OC[C@]12C[C@@H](O)C[C@](CCCO)(O1)C=C2	TRUE
UALIB-1040	CC(C)(C)[Si](C)(C)OC[C@@]12C=C[C@@](CCCO)(C[C@@H](OCOCC3=CC=CC=C3)C1)O2.CC(C)(C)[Si](C)(C)OC[C@]12C=C[C@](CCCO)(C[C@H](OCOCC3=CC=CC=C3)C1)O2	(±)-1R,3S,5S-3-Benzyloxymethoxy-1-tert-butyldimethylsiloxymethyl-5-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C25H40O5Si/c2*1-23(2,3)31(4,5)29-19-25-14-13-24(30-25,12-9-15-26)16-22(17-25)28-20-27-18-21-10-7-6-8-11-21/h2*6-8,10-11,13-14,22,26H,9,12,15-20H2,1-5H3/t2*22-,24+,25-/m10/s1	UVXRBILAGPBLRX-MWUQKOCKSA-N	UVXRBILAGPBLRX-MWUQKOCKSA-N	CC(C)(C)[Si](C)(C)OC[C@@]12C[C@@H](C[C@@](CCCO)(O1)C=C2)OCOCC1=CC=CC=C1.CC(C)(C)[Si](C)(C)OC[C@]12C[C@H](C[C@](CCCO)(O1)C=C2)OCOCC1=CC=CC=C1	TRUE
UALIB-1041	CC(C)(C)[Si](C)(C)OC[C@@]12C=C[C@@](CC/C=C\I)(C[C@@H](OCOCC3=CC=CC=C3)C1)O2.CC(C)(C)[Si](C)(C)OC[C@]12C=C[C@](CC/C=C\I)(C[C@H](OCOCC3=CC=CC=C3)C1)O2	(±)-1R,3S,5S-3-Benzyloxymethoxy-tert-butyldimethylsiloxymethyl-5-(4-iodobut-3Z-enyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C26H39IO4Si/c2*1-24(2,3)32(4,5)30-20-26-15-14-25(31-26,13-9-10-16-27)17-23(18-26)29-21-28-19-22-11-7-6-8-12-22/h2*6-8,10-12,14-16,23H,9,13,17-21H2,1-5H3/b2*16-10-/t2*23-,25+,26-/m10/s1	VHGHCBXRSVVZHS-DAXRORNMSA-N	VHGHCBXRSVVZHS-DAXRORNMSA-N	CC(C)(C)[Si](C)(C)OC[C@@]12C[C@@H](C[C@@](CC\C=C/I)(O1)C=C2)OCOCC1=CC=CC=C1.CC(C)(C)[Si](C)(C)OC[C@]12C[C@H](C[C@](CC\C=C/I)(O1)C=C2)OCOCC1=CC=CC=C1	TRUE
UALIB-1042	CC(C)(C)[Si](C)(C)OC[C@@]12C[C@@H](OCOCC3=CC=CC=C3)C[C@]3(CCC=C[C@@H]3C1)O2.CC(C)(C)[Si](C)(C)OC[C@]12C[C@H](OCOCC3=CC=CC=C3)C[C@@]3(CCC=C[C@H]3C1)O2	(±)-1S,6S,8S,10S-10-Benzyloxymethoxy-8-tert-Butyldimethylsiloxymethyl-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C26H40O4Si/c2*1-24(2,3)31(4,5)29-19-25-15-22-13-9-10-14-26(22,30-25)17-23(16-25)28-20-27-18-21-11-7-6-8-12-21/h2*6-9,11-13,22-23H,10,14-20H2,1-5H3/t2*22-,23-,25+,26+/m10/s1	CJPLXSUOGWVSSF-PTBYFFGXSA-N	CJPLXSUOGWVSSF-PTBYFFGXSA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)C[C@H](C[C@]1(CCC=C2)O3)OCOCC1=CC=CC=C1.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)C[C@@H](C[C@@]1(CCC=C2)O3)OCOCC1=CC=CC=C1	TRUE
