DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1868	C[C@@H]1CCCN2C(=O)CC[C@@]12O	20 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C9H15NO2/c1-7-3-2-6-10-8(11)4-5-9(7,10)12/h7,12H,2-6H2,1H3/t7-,9-/m1/s1	NNJDSVNNFRVGRB-VXNVDRBHSA-N	NNJDSVNNFRVGRB-VXNVDRBHSA-N	C[C@@H]1CCCN2C(=O)CC[C@@]12O	TRUE
UALIB-1869	C[C@@H]1CCN2C(=O)CC[C@@]12O	19 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C8H13NO2/c1-6-3-5-9-7(10)2-4-8(6,9)11/h6,11H,2-5H2,1H3/t6-,8-/m1/s1	FKBQOWSPKBHXFN-HTRCEHHLSA-N	FKBQOWSPKBHXFN-HTRCEHHLSA-N	C[C@@H]1CCN2C(=O)CC[C@@]12O	TRUE
UALIB-1870	O=C1CC[C@@]2(O)[C@H](CO)CCCN12	22 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C9H15NO3/c11-6-7-2-1-5-10-8(12)3-4-9(7,10)13/h7,11,13H,1-6H2/t7-,9+/m0/s1	KGZRZIXNTTZVCN-IONNQARKSA-N	KGZRZIXNTTZVCN-IONNQARKSA-N	OC[C@@H]1CCCN2C(=O)CC[C@@]12O	TRUE
UALIB-1871	O=C1CC[C@@]2(O)[C@H](CO)CCN12	21 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C8H13NO3/c10-5-6-2-4-9-7(11)1-3-8(6,9)12/h6,10,12H,1-5H2/t6-,8+/m0/s1	GGJZFFVIARIPEX-POYBYMJQSA-N	GGJZFFVIARIPEX-POYBYMJQSA-N	OC[C@@H]1CCN2C(=O)CC[C@@]12O	TRUE
UALIB-1872	CC(C)[Si](OC[C@@H]1CCCN2C(=O)CC[C@@]12O)(C(C)C)C(C)C	43 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C18H35NO3Si/c1-13(2)23(14(3)4,15(5)6)22-12-16-8-7-11-19-17(20)9-10-18(16,19)21/h13-16,21H,7-12H2,1-6H3/t16-,18+/m0/s1	SRLBITGAONFGFQ-FUHWJXTLSA-N	SRLBITGAONFGFQ-FUHWJXTLSA-N	CC(C)[Si](OC[C@@H]1CCCN2C(=O)CC[C@@]12O)(C(C)C)C(C)C	TRUE
UALIB-1873	CC(C)[Si](OC[C@@H]1CCCN2C(=O)CC[C@@H]12)(C(C)C)C(C)C	44 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C18H35NO2Si/c1-13(2)22(14(3)4,15(5)6)21-12-16-8-7-11-19-17(16)9-10-18(19)20/h13-17H,7-12H2,1-6H3/t16-,17-/m0/s1	FBTKLDYOZCLKGL-IRXDYDNUSA-N	FBTKLDYOZCLKGL-IRXDYDNUSA-N	[H][C@@]12CCC(=O)N1CCC[C@H]2CO[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1874	C[C@H]1CCN2C(=O)CC[C@@H]12	31 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C8H13NO/c1-6-4-5-9-7(6)2-3-8(9)10/h6-7H,2-5H2,1H3/t6-,7-/m0/s1	XQRIFSFMAVSCKK-BQBZGAKWSA-N	XQRIFSFMAVSCKK-BQBZGAKWSA-N	[H][C@@]12CCC(=O)N1CC[C@@H]2C	TRUE
UALIB-1875	C[C@H]1CCCN2C(=O)CC[C@@H]12	33 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C9H15NO/c1-7-3-2-6-10-8(7)4-5-9(10)11/h7-8H,2-6H2,1H3/t7-,8-/m0/s1	UIPIFRBRNRAGAX-YUMQZZPRSA-N	UIPIFRBRNRAGAX-YUMQZZPRSA-N	[H][C@@]12CCC(=O)N1CCC[C@@H]2C	TRUE
UALIB-1876	CC[C@H]1CCCN2C(=O)CC[C@@H]12	35 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C10H17NO/c1-2-8-4-3-7-11-9(8)5-6-10(11)12/h8-9H,2-7H2,1H3/t8-,9-/m0/s1	GXASHUJARGALEO-IUCAKERBSA-N	GXASHUJARGALEO-IUCAKERBSA-N	[H][C@@]12CCC(=O)N1CCC[C@@H]2CC	TRUE
UALIB-1877	O=C1CC[C@H]2[C@@H](CO)CCCN12	37 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	InChI=1S/C9H15NO2/c11-6-7-2-1-5-10-8(7)3-4-9(10)12/h7-8,11H,1-6H2/t7-,8+/m1/s1	OXLBIWPMLJGIRA-SFYZADRCSA-N	OXLBIWPMLJGIRA-SFYZADRCSA-N	[H][C@@]12CCC(=O)N1CCC[C@@H]2CO	TRUE
