DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2166	NC1=C2N=C(C3=CC=CC=C3)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	8PhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C16H17N5O3/c17-14-13-16(19-8-18-14)21(12-6-10(23)11(7-22)24-12)15(20-13)9-4-2-1-3-5-9/h1-5,8,10-12,22-23H,6-7H2,(H2,17,18,19)/t10-,11+,12+/m0/s1	BLYRKJBYXSDVJO-QJPTWQEYSA-N	BLYRKJBYXSDVJO-QJPTWQEYSA-N	NC1=C2N=C(N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1)C1=CC=CC=C1	TRUE
UALIB-2167	COC1=CC=C(C2=NC3=C(N)N=CN=C3N2[C@H]2C[C@H](O)[C@@H](CO)O2)C=C1	8MeOPhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C17H19N5O4/c1-25-10-4-2-9(3-5-10)16-21-14-15(18)19-8-20-17(14)22(16)13-6-11(24)12(7-23)26-13/h2-5,8,11-13,23-24H,6-7H2,1H3,(H2,18,19,20)/t11-,12+,13+/m0/s1	DFIUPRQDDZENDP-YNEHKIRRSA-N	DFIUPRQDDZENDP-YNEHKIRRSA-N	COC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	TRUE
UALIB-2168	CC1=CC=C(C2=NC3=C(N)N=CN=C3N2[C@H]2C[C@H](O)[C@@H](CO)O2)C=C1	p-TolyldA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C17H19N5O3/c1-9-2-4-10(5-3-9)16-21-14-15(18)19-8-20-17(14)22(16)13-6-11(24)12(7-23)25-13/h2-5,8,11-13,23-24H,6-7H2,1H3,(H2,18,19,20)/t11-,12+,13+/m0/s1	AZAYZDXZDKSDGI-YNEHKIRRSA-N	AZAYZDXZDKSDGI-YNEHKIRRSA-N	CC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	TRUE
UALIB-2169	NC1=C2N=C(C3=CC=C(CO)C=C3)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	8HOCH2PhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C17H19N5O4/c18-15-14-17(20-8-19-15)22(13-5-11(25)12(7-24)26-13)16(21-14)10-3-1-9(6-23)2-4-10/h1-4,8,11-13,23-25H,5-7H2,(H2,18,19,20)/t11-,12+,13+/m0/s1	RXMBFWSZFFGQNQ-YNEHKIRRSA-N	RXMBFWSZFFGQNQ-YNEHKIRRSA-N	NC1=C2N=C(N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1)C1=CC=C(CO)C=C1	TRUE
UALIB-2170	NC1=C2N=C(C3=CC=CC=C3)N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	8PhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C16H17N5O4/c17-13-10-15(19-7-18-13)21(14(20-10)8-4-2-1-3-5-8)16-12(24)11(23)9(6-22)25-16/h1-5,7,9,11-12,16,22-24H,6H2,(H2,17,18,19)/t9-,11-,12-,16-/m1/s1	VPKLCUYVISQZJY-UBEDBUPSSA-N	VPKLCUYVISQZJY-UBEDBUPSSA-N	NC1=C2N=C(N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1)C1=CC=CC=C1	TRUE
UALIB-2171	COC1=CC=C(C2=NC3=C(N)N=CN=C3N2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C=C1	8MeOPhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C17H19N5O5/c1-26-9-4-2-8(3-5-9)15-21-11-14(18)19-7-20-16(11)22(15)17-13(25)12(24)10(6-23)27-17/h2-5,7,10,12-13,17,23-25H,6H2,1H3,(H2,18,19,20)/t10-,12-,13-,17-/m1/s1	OKPNPELXKRMPQE-CNEMSGBDSA-N	OKPNPELXKRMPQE-CNEMSGBDSA-N	COC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	TRUE
UALIB-2172	NC1=C2N=C(C3=CC=C(F)C=C3)N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	8FPhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C16H16FN5O4/c17-8-3-1-7(2-4-8)14-21-10-13(18)19-6-20-15(10)22(14)16-12(25)11(24)9(5-23)26-16/h1-4,6,9,11-12,16,23-25H,5H2,(H2,18,19,20)/t9-,11-,12-,16-/m1/s1	DXAQHZLMAIYZHC-UBEDBUPSSA-N	DXAQHZLMAIYZHC-UBEDBUPSSA-N	NC1=C2N=C(N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1)C1=CC=C(F)C=C1	TRUE
UALIB-2173	O=C1[NH]C(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C1=CC=CC=C1	5PhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C15H16N2O5/c18-8-12-11(19)6-13(22-12)17-7-10(14(20)16-15(17)21)9-4-2-1-3-5-9/h1-5,7,11-13,18-19H,6,8H2,(H,16,20,21)/t11-,12+,13+/m0/s1	GLRAEFXZTFJYRZ-YNEHKIRRSA-N	GLRAEFXZTFJYRZ-YNEHKIRRSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC=CC=C1	TRUE
UALIB-2174	COC1=CC=C(C2=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C(=O)[NH]C2=O)C=C1	5-MeOPhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C16H18N2O6/c1-23-10-4-2-9(3-5-10)11-7-18(16(22)17-15(11)21)14-6-12(20)13(8-19)24-14/h2-5,7,12-14,19-20H,6,8H2,1H3,(H,17,21,22)/t12-,13+,14+/m0/s1	GXUBSLJTNRPALI-BFHYXJOUSA-N	GXUBSLJTNRPALI-BFHYXJOUSA-N	COC1=CC=C(C=C1)C1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	TRUE
UALIB-2175	O=C1[NH]C(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C1=CC=C(F)C=C1	5FPhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	InChI=1S/C15H15FN2O5/c16-9-3-1-8(2-4-9)10-6-18(15(22)17-14(10)21)13-5-11(20)12(7-19)23-13/h1-4,6,11-13,19-20H,5,7H2,(H,17,21,22)/t11-,12+,13+/m0/s1	XTDIYPCUWJPSBT-YNEHKIRRSA-N	XTDIYPCUWJPSBT-YNEHKIRRSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC=C(F)C=C1	TRUE
