DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2770	CC1=CC(C)=C([N+]2=CN(CC(O)(C(F)(F)F)C(F)(F)F)C=C2)C(C)=C1	84	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C16H17F6N2O/c1-10-6-11(2)13(12(3)7-10)24-5-4-23(9-24)8-14(25,15(17,18)19)16(20,21)22/h4-7,9,25H,8H2,1-3H3/q+1	QTQCOESIMSZZAV-UHFFFAOYSA-N	QTQCOESIMSZZAV-UHFFFAOYSA-N	[H]C1=[N+](C=CN1CC(O)(C(F)(F)F)C(F)(F)F)C1=C(C)C=C(C)C=C1C	TRUE
UALIB-2771	CC1=CC(C)=C(N2C=CN3CC(C(F)(F)F)(C(F)(F)F)O/[Cu]=C4/N(C=CN4C4=C(C)C=C(C)C=C4C)CC(C(F)(F)F)(C(F)(F)F)O[Cu]=C32)C(C)=C1	88	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/2C16H15F6N2O.2Cu/c2*1-10-6-11(2)13(12(3)7-10)24-5-4-23(9-24)8-14(25,15(17,18)19)16(20,21)22;;/h2*4-7H,8H2,1-3H3;;/q2*-1;2*+1	OWANTIFQUKVXOZ-UHFFFAOYSA-N	OWANTIFQUKVXOZ-UHFFFAOYSA-N	CC1=CC(C)=C(N2C=CN3CC(O\[Cu]=C4\N(CC(O[Cu]=C23)(C(F)(F)F)C(F)(F)F)C=CN4C2=C(C)C=C(C)C=C2C)(C(F)(F)F)C(F)(F)F)C(C)=C1	TRUE
UALIB-2772	CC1=CC(C)=C(N2C=CN3CC(C(F)(F)F)(C(F)(F)F)O[Ni]4(=C32)=C2N(C=CN2C2=C(C)C=C(C)C=C2C)CC(C(F)(F)F)(C(F)(F)F)O4)C(C)=C1	89	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/2C16H15F6N2O.Ni/c2*1-10-6-11(2)13(12(3)7-10)24-5-4-23(9-24)8-14(25,15(17,18)19)16(20,21)22;/h2*4-7H,8H2,1-3H3;/q2*-1;+2	AQUAMJQTLLNSOQ-UHFFFAOYSA-N	AQUAMJQTLLNSOQ-UHFFFAOYSA-N	CC1=CC(C)=C(N2C=CN3CC(O[Ni]4(=C5N(CC(O4)(C(F)(F)F)C(F)(F)F)C=CN5C4=C(C)C=C(C)C=C4C)=C23)(C(F)(F)F)C(F)(F)F)C(C)=C1	TRUE
UALIB-2773	CC1=CC(C)=C(N2C=CN3CC(C(F)(F)F)(C(F)(F)F)O[Pd]4(=C32)=C2N(C=CN2C2=C(C)C=C(C)C=C2C)CC(C(F)(F)F)(C(F)(F)F)O4)C(C)=C1	90	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/2C16H15F6N2O.Pd/c2*1-10-6-11(2)13(12(3)7-10)24-5-4-23(9-24)8-14(25,15(17,18)19)16(20,21)22;/h2*4-7H,8H2,1-3H3;/q2*-1;+2	MKYDYPXZBBGICF-UHFFFAOYSA-N	MKYDYPXZBBGICF-UHFFFAOYSA-N	CC1=CC(C)=C(N2C=CN3CC(O[Pd]4(=C5N(CC(O4)(C(F)(F)F)C(F)(F)F)C=CN5C4=C(C)C=C(C)C=C4C)=C23)(C(F)(F)F)C(F)(F)F)C(C)=C1	TRUE
UALIB-2774	C/C=C(\C)C(C)(O)C1=CN(C)C(=S)N1C	96	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C11H18N2OS/c1-6-8(2)11(3,14)9-7-12(4)10(15)13(9)5/h6-7,14H,1-5H3/b8-6+	VKYUOOIRUHXJKZ-SOFGYWHQSA-N	VKYUOOIRUHXJKZ-SOFGYWHQSA-N	C\C=C(/C)C(C)(O)C1=CN(C)C(=S)N1C	TRUE
UALIB-2775	CC1=C(C)C(C)C2=C1N(C)C(=S)N2C	97	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C11H16N2S/c1-6-7(2)9-10(8(6)3)13(5)11(14)12(9)4/h7H,1-5H3	JOLVKQRIIBUDFH-UHFFFAOYSA-N	JOLVKQRIIBUDFH-UHFFFAOYSA-N	[H]C1(C)C(C)=C(C)C2=C1N(C)C(=S)N2C	TRUE
UALIB-2776	C/C=C(\C)C(C)(O)C1=CN=C(Cl)N1C	113	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C10H15ClN2O/c1-5-7(2)10(3,14)8-6-12-9(11)13(8)4/h5-6,14H,1-4H3/b7-5+	NSSZZIWLDJOLAD-FNORWQNLSA-N	NSSZZIWLDJOLAD-FNORWQNLSA-N	C\C=C(/C)C(C)(O)C1=CN=C(Cl)N1C	TRUE
UALIB-2777	CC1=C(C)C(C)C2=C1N=C(Cl)N2C	114	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C10H13ClN2/c1-5-6(2)8-9(7(5)3)13(4)10(11)12-8/h7H,1-4H3	WBGRLTLDYHNQRB-UHFFFAOYSA-N	WBGRLTLDYHNQRB-UHFFFAOYSA-N	[H]C1(C)C(C)=C(C)C2=C1N(C)C(Cl)=N2	TRUE
UALIB-2778	CC1=C(C)C(C)C2=C1[N+](C)=C(Cl)N2C.F[B-](F)(F)F	115	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C11H16ClN2.BF4/c1-6-7(2)9-10(8(6)3)14(5)11(12)13(9)4;2-1(3,4)5/h7H,1-5H3;/q+1;-1	PLQSTDMRYULHIS-UHFFFAOYSA-N	PLQSTDMRYULHIS-UHFFFAOYSA-N	F[B-](F)(F)F.[H]C1(C)C(C)=C(C)C2=C1N(C)C(Cl)=[N+]2C	TRUE
UALIB-2779	CC1=C(C)C(C)C2=C1N=CN2C	106	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	InChI=1S/C10H14N2/c1-6-7(2)9-10(8(6)3)12(4)5-11-9/h5,8H,1-4H3	CYATYMABEIUPIB-UHFFFAOYSA-N	CYATYMABEIUPIB-UHFFFAOYSA-N	[H]C1=NC2=C(N1C)C([H])(C)C(C)=C2C	TRUE
