DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1911	CCCCOC(=O)/C=C/C1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)[NH]C1=O	13	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C16H22N2O7/c1-2-3-6-24-14(21)5-4-10-8-18(16(23)17-15(10)22)13-7-11(20)12(9-19)25-13/h4-5,8,11-13,19-20H,2-3,6-7,9H2,1H3,(H,17,22,23)/b5-4+/t11-,12+,13+/m0/s1	VWLWZGJNSJBZNL-YVAWVJMJSA-N	VWLWZGJNSJBZNL-YVAWVJMJSA-N	CCCCOC(=O)\C=C\C1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	TRUE
UALIB-1912	O=C1C=C(C2=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C(=O)[NH]C2=O)CCC1	15	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C15H18N2O6/c18-7-12-11(20)5-13(23-12)17-6-10(14(21)16-15(17)22)8-2-1-3-9(19)4-8/h4,6,11-13,18,20H,1-3,5,7H2,(H,16,21,22)/t11-,12+,13+/m0/s1	XWGPPFZWQPQTES-YNEHKIRRSA-N	XWGPPFZWQPQTES-YNEHKIRRSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC(=O)CCC1	TRUE
UALIB-1913	O=C1[NH]C(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/C1=CC=CC=C1	30	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C17H18N2O5/c20-10-14-13(21)8-15(24-14)19-9-12(16(22)18-17(19)23)7-6-11-4-2-1-3-5-11/h1-7,9,13-15,20-21H,8,10H2,(H,18,22,23)/b7-6+/t13-,14+,15+/m0/s1	UKZXPKJVLYTWOM-XIKIYNFVSA-N	UKZXPKJVLYTWOM-XIKIYNFVSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\C2=CC=CC=C2)C(=O)NC1=O	TRUE
UALIB-1914	NC1=C2N=C(C#CC3=CC=CC=C3)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	32a	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C18H17N5O3/c19-17-16-18(21-10-20-17)23(15-8-12(25)13(9-24)26-15)14(22-16)7-6-11-4-2-1-3-5-11/h1-5,10,12-13,15,24-25H,8-9H2,(H2,19,20,21)/t12-,13+,15+/m0/s1	XCPOOYABRFHDAQ-GZBFAFLISA-N	XCPOOYABRFHDAQ-GZBFAFLISA-N	NC1=C2N=C(C#CC3=CC=CC=C3)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	TRUE
UALIB-1915	CCCCC#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	32b	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C16H21N5O3/c1-2-3-4-5-6-12-20-14-15(17)18-9-19-16(14)21(12)13-7-10(23)11(8-22)24-13/h9-11,13,22-23H,2-4,7-8H2,1H3,(H2,17,18,19)/t10-,11+,13+/m0/s1	KEVUBHMQRDEGRE-DMDPSCGWSA-N	KEVUBHMQRDEGRE-DMDPSCGWSA-N	CCCCC#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	TRUE
UALIB-1916	NC1=C2N=C(C#CCCO)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	32c	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C14H17N5O4/c15-13-12-14(17-7-16-13)19(10(18-12)3-1-2-4-20)11-5-8(22)9(6-21)23-11/h7-9,11,20-22H,2,4-6H2,(H2,15,16,17)/t8-,9+,11+/m0/s1	GNLLZSNBKRHRLM-IQJOONFLSA-N	GNLLZSNBKRHRLM-IQJOONFLSA-N	NC1=C2N=C(C#CCCO)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	TRUE
UALIB-1917	CC(C)(O)C#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	32d	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C15H19N5O4/c1-15(2,23)4-3-10-19-12-13(16)17-7-18-14(12)20(10)11-5-8(22)9(6-21)24-11/h7-9,11,21-23H,5-6H2,1-2H3,(H2,16,17,18)/t8-,9+,11+/m0/s1	ZPTBXSBZWFQHPE-IQJOONFLSA-N	ZPTBXSBZWFQHPE-IQJOONFLSA-N	CC(C)(O)C#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	TRUE
UALIB-1918	NC1=NC2=C(N=C(C#CC3=CC=CC=C3)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)[NH]1	33a	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C18H17N5O4/c19-18-21-16-15(17(26)22-18)20-13(7-6-10-4-2-1-3-5-10)23(16)14-8-11(25)12(9-24)27-14/h1-5,11-12,14,24-25H,8-9H2,(H3,19,21,22,26)/t11-,12+,14+/m0/s1	LHLVGXXJQIMLLZ-OUCADQQQSA-N	LHLVGXXJQIMLLZ-OUCADQQQSA-N	NC1=NC2=C(N=C(C#CC3=CC=CC=C3)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	TRUE
UALIB-1919	CCCCC#CC1=NC2=C(N=C(N)[NH]C2=O)N1[C@H]1C[C@H](O)[C@@H](CO)O1	33b	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C16H21N5O4/c1-2-3-4-5-6-11-18-13-14(19-16(17)20-15(13)24)21(11)12-7-9(23)10(8-22)25-12/h9-10,12,22-23H,2-4,7-8H2,1H3,(H3,17,19,20,24)/t9-,10+,12+/m0/s1	VNWIYLJEYAZTFC-HOSYDEDBSA-N	VNWIYLJEYAZTFC-HOSYDEDBSA-N	CCCCC#CC1=NC2=C(N=C(N)NC2=O)N1[C@H]1C[C@H](O)[C@@H](CO)O1	TRUE
UALIB-1920	NC1=NC2=C(N=C(C#CCCO)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)[NH]1	33c	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	InChI=1S/C14H17N5O5/c15-14-17-12-11(13(23)18-14)16-9(3-1-2-4-20)19(12)10-5-7(22)8(6-21)24-10/h7-8,10,20-22H,2,4-6H2,(H3,15,17,18,23)/t7-,8+,10+/m0/s1	XEENNGASXZOWOV-QXFUBDJGSA-N	XEENNGASXZOWOV-QXFUBDJGSA-N	NC1=NC2=C(N=C(C#CCCO)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	TRUE
