DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1175	COC(=O)/C=C(/C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	4-(tert-Butyldiphenylsilanyloxy)-3-methylbut-2-enal	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C22H28O3Si/c1-18(16-21(23)24-5)17-25-26(22(2,3)4,19-12-8-6-9-13-19)20-14-10-7-11-15-20/h6-16H,17H2,1-5H3/b18-16-	NOHNQNQQODWRBK-VLGSPTGOSA-N	NOHNQNQQODWRBK-VLGSPTGOSA-N	COC(=O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1176	C/C(=C/[C@@H](O)[C@H](C)C(=O)N1C(=O)OC[C@@H]1CC1=CC=CC=C1)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	4-Benzyl-3-[6-(tert-butyldiphenylsilanyloxy)-3-hydroxy-2,5-dimethylhex-4-enoyl]-oxazolidin-2-one	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C34H41NO5Si/c1-25(23-40-41(34(3,4)5,29-17-11-7-12-18-29)30-19-13-8-14-20-30)21-31(36)26(2)32(37)35-28(24-39-33(35)38)22-27-15-9-6-10-16-27/h6-21,26,28,31,36H,22-24H2,1-5H3/b25-21-/t26-,28-,31+/m0/s1	WDTRGPHUTPSEEI-DYUSVQAGSA-N	WDTRGPHUTPSEEI-DYUSVQAGSA-N	C[C@@H]([C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)C(=O)N1[C@@H](CC2=CC=CC=C2)COC1=O	TRUE
UALIB-1177	C/C(=C/[C@@H](O)[C@H](C)CO)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	6-(tert-Butyldiphenylsilanyloxy)-2,5-dimethylhex-4-ene-1,3-diol	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C24H34O3Si/c1-19(16-23(26)20(2)17-25)18-27-28(24(3,4)5,21-12-8-6-9-13-21)22-14-10-7-11-15-22/h6-16,20,23,25-26H,17-18H2,1-5H3/b19-16-/t20-,23-/m1/s1	VLALOROEHINBJW-KBWIZFGUSA-N	VLALOROEHINBJW-KBWIZFGUSA-N	C[C@H](CO)[C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1178	C/C(=C/[C@@H](O)[C@H](C)CO[Si](C)(C)C(C)(C)C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	1-(tert-Butyldimethylsilanyloxy)-6-(tert-butyldiphenylsilanyloxy)-2,5-dimethylhex-4-en-3-ol	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C30H48O3Si2/c1-24(21-28(31)25(2)23-32-34(9,10)29(3,4)5)22-33-35(30(6,7)8,26-17-13-11-14-18-26)27-19-15-12-16-20-27/h11-21,25,28,31H,22-23H2,1-10H3/b24-21-/t25-,28-/m1/s1	LGAWUAQVJXXJBD-ZJRGRKBCSA-N	LGAWUAQVJXXJBD-ZJRGRKBCSA-N	C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1179	C/C(=C/[C@@H](OC(=O)CBr)[C@H](C)CO[Si](C)(C)C(C)(C)C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	Bromoaceticacid1-[2-(tert-butyldimethylsilanyloxy)-1-methylethyl]-4-(tert-butyldiphenylsilanyloxy)-3-methylbut-2-enyl ester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C32H49BrO4Si2/c1-25(21-29(37-30(34)22-33)26(2)24-35-38(9,10)31(3,4)5)23-36-39(32(6,7)8,27-17-13-11-14-18-27)28-19-15-12-16-20-28/h11-21,26,29H,22-24H2,1-10H3/b25-21-/t26-,29-/m1/s1	YHKVRIPFHSEBBM-IYIXDCHASA-N	YHKVRIPFHSEBBM-IYIXDCHASA-N	C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1180	C/C(=C/[C@@H](OC(=O)CBr)[C@H](C)CO)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	Bromoaceticacid4-(tert-butyldiphenylsilanyloxy)-1-(2-hydroxy-1-methylethyl)-3-methylbut-2-enyl ester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C26H35BrO4Si/c1-20(16-24(21(2)18-28)31-25(29)17-27)19-30-32(26(3,4)5,22-12-8-6-9-13-22)23-14-10-7-11-15-23/h6-16,21,24,28H,17-19H2,1-5H3/b20-16-/t21-,24-/m1/s1	VNPOKPJTUGJXNN-SZSLLKTLSA-N	VNPOKPJTUGJXNN-SZSLLKTLSA-N	C[C@H](CO)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1181	C/C(=C/[C@@H](OC(=O)CBr)[C@H](C)C=O)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	Bromoaceticacid4-(tert-butyldiphenylsilanyloxy)-3-methyl-1-(1-methyl-2-oxoethyl)-but-2-enylester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C26H33BrO4Si/c1-20(16-24(21(2)18-28)31-25(29)17-27)19-30-32(26(3,4)5,22-12-8-6-9-13-22)23-14-10-7-11-15-23/h6-16,18,21,24H,17,19H2,1-5H3/b20-16-/t21-,24-/m1/s1	ZTJBHXLCCWMNJY-SZSLLKTLSA-N	ZTJBHXLCCWMNJY-SZSLLKTLSA-N	C[C@H](C=O)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1182	C/C(=C/[C@H]1OC(=O)C[C@H](O)[C@H]1C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	6-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-4-hydroxy-5-methyltetrahydro-pyran-2-one	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C26H34O4Si/c1-19(16-24-20(2)23(27)17-25(28)30-24)18-29-31(26(3,4)5,21-12-8-6-9-13-21)22-14-10-7-11-15-22/h6-16,20,23-24,27H,17-18H2,1-5H3/b19-16-/t20-,23+,24-/m1/s1	SNJYXPJOOQRJGR-MWCFODBRSA-N	SNJYXPJOOQRJGR-MWCFODBRSA-N	C[C@@H]1[C@@H](O)CC(=O)O[C@@H]1\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1183	C=CC[C@H]1C[C@H](O[Si](CC)(CC)CC)[C@@H](C)[C@@H](/C=C(/C)CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)O1	6-Allyl-2-[3-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-3-methyl-4-triethylsilanyloxytetrahydropyran	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C35H54O3Si2/c1-10-20-30-26-34(38-39(11-2,12-3)13-4)29(6)33(37-30)25-28(5)27-36-40(35(7,8)9,31-21-16-14-17-22-31)32-23-18-15-19-24-32/h10,14-19,21-25,29-30,33-34H,1,11-13,20,26-27H2,2-9H3/b28-25-/t29-,30-,33+,34-/m0/s1	FPIBNTNUHQLEOA-ILXKHOHFSA-N	FPIBNTNUHQLEOA-ILXKHOHFSA-N	CC[Si](CC)(CC)O[C@H]1C[C@H](CC=C)O[C@H](\C=C(\C)CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)[C@@H]1C	TRUE
UALIB-1184	CC[Si](CC)(CC)O[C@H]1C[C@H](C/C=C/C=O)O[C@H](/C=C(/C)CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)[C@@H]1C	4-{6-[3-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-5-methyl-4-triethylsilanyloxytetrahydropyran-2-yl}-but-2-enal	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	InChI=1S/C36H54O4Si2/c1-9-41(10-2,11-3)40-35-27-31(20-18-19-25-37)39-34(30(35)5)26-29(4)28-38-42(36(6,7)8,32-21-14-12-15-22-32)33-23-16-13-17-24-33/h12-19,21-26,30-31,34-35H,9-11,20,27-28H2,1-8H3/b19-18+,29-26-/t30-,31-,34+,35-/m0/s1	HPVXHLFVOBVRQK-GSSRGVRBSA-N	HPVXHLFVOBVRQK-GSSRGVRBSA-N	[H]C(=O)\C=C\C[C@H]1C[C@H](O[Si](CC)(CC)CC)[C@@H](C)[C@H](O1)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
