DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1088	C=CC1=C2C(=O)OC(C)(C)OC2=CC(OCC2=CC=CC=C2)=C1	7-(Benzyloxy)-2,2-dimethyl-5-ethylene-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C19H18O4/c1-4-14-10-15(21-12-13-8-6-5-7-9-13)11-16-17(14)18(20)23-19(2,3)22-16/h4-11H,1,12H2,2-3H3	ASWUXIIZQBVNNP-UHFFFAOYSA-N	ASWUXIIZQBVNNP-UHFFFAOYSA-N	CC1(C)OC(=O)C2=C(C=C)C=C(OCC3=CC=CC=C3)C=C2O1	TRUE
UALIB-1089	CC1(C)OC(=O)C2=C(O)C=C(OCC3=CC=CC=C3)C=C2O1	7-(Benzyloxy)-2,2-dimethyl-5-hydroxy-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C17H16O5/c1-17(2)21-14-9-12(8-13(18)15(14)16(19)22-17)20-10-11-6-4-3-5-7-11/h3-9,18H,10H2,1-2H3	KWTSNZKEEZRRSU-UHFFFAOYSA-N	KWTSNZKEEZRRSU-UHFFFAOYSA-N	CC1(C)OC(=O)C2=C(O)C=C(OCC3=CC=CC=C3)C=C2O1	TRUE
UALIB-1090	CC1(C)OC(=O)C2=C(OS(=O)(=O)C(F)(F)F)C=C(OCC3=CC=CC=C3)C=C2O1	8-(Benzyloxy)-2,2-dimethyl-5-[(trifluoromethyl)sulfonyl]-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C18H15F3O7S/c1-17(2)26-13-8-12(25-10-11-6-4-3-5-7-11)9-14(15(13)16(22)27-17)28-29(23,24)18(19,20)21/h3-9H,10H2,1-2H3	BJIQUQJTTKQWCR-UHFFFAOYSA-N	BJIQUQJTTKQWCR-UHFFFAOYSA-N	CC1(C)OC(=O)C2=C(OS(=O)(=O)C(F)(F)F)C=C(OCC3=CC=CC=C3)C=C2O1	TRUE
UALIB-1091	C=CCC[C@H](O)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	(2R)-1-(tert-Butyldiphenylsilyloxy)-2-hydroxy-hex-1-ene	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C22H30O2Si/c1-5-6-13-19(23)18-24-25(22(2,3)4,20-14-9-7-10-15-20)21-16-11-8-12-17-21/h5,7-12,14-17,19,23H,1,6,13,18H2,2-4H3/t19-/m0/s1	MNVMTRRSOOOSHY-IBGZPJMESA-N	MNVMTRRSOOOSHY-IBGZPJMESA-N	CC(C)(C)[Si](OC[C@@H](O)CCC=C)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1092	C=CCC[C@@H](CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)OCOC	(2S)-1-(tert-Butyl-diphenyl-silanyloxy)-hex-5-en-2-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C24H34O3Si/c1-6-7-14-21(26-20-25-5)19-27-28(24(2,3)4,22-15-10-8-11-16-22)23-17-12-9-13-18-23/h6,8-13,15-18,21H,1,7,14,19-20H2,2-5H3/t21-/m0/s1	ANXDHJZXMGWOSK-NRFANRHFSA-N	ANXDHJZXMGWOSK-NRFANRHFSA-N	COCO[C@@H](CCC=C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1093	C=CCC[C@@H]1OC(C)(C)O[C@@H]1/C=C/C[C@H](C)OC(=O)C1=C(C=C)C=C(OCC2=CC=CC=C2)C=C1O	4-Benzyloxy-2-hydroxy-6-vinyl-benzoic acid 4-(5-but-3-enyl-2,2-dimethyl-[1,3]dioxolan-4-yl)-1-methyl-but-3-enyl ester	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C30H36O6/c1-6-8-16-26-27(36-30(4,5)35-26)17-12-13-21(3)34-29(32)28-23(7-2)18-24(19-25(28)31)33-20-22-14-10-9-11-15-22/h6-7,9-12,14-15,17-19,21,26-27,31H,1-2,8,13,16,20H2,3-5H3/b17-12+/t21-,26-,27+/m0/s1	YBVIOGNHIKKYLQ-NGDJZMIFSA-N	YBVIOGNHIKKYLQ-NGDJZMIFSA-N	C[C@@H](C\C=C\[C@H]1OC(C)(C)O[C@H]1CCC=C)OC(=O)C1=C(C=C)C=C(OCC2=CC=CC=C2)C=C1O	TRUE
UALIB-1094	C=CCC[C@@H]1OC(C)(C)O[C@@H]1/C=C/C[C@H](C)O	5-(5-Butyl-2,2-dimethyl-[1,3]dioxolan-4-yl)-pent-4-en-2-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C14H24O3/c1-5-6-9-12-13(10-7-8-11(2)15)17-14(3,4)16-12/h5,7,10-13,15H,1,6,8-9H2,2-4H3/b10-7+/t11-,12-,13+/m0/s1	OVIYPDRUMDENLC-PUJUQVOMSA-N	OVIYPDRUMDENLC-PUJUQVOMSA-N	C[C@H](O)C\C=C\[C@H]1OC(C)(C)O[C@H]1CCC=C	TRUE
UALIB-1095	C=CCC[C@H](OCOC)C(O)C#CC[C@H](C)O[Si](C)(C)C(C)(C)C	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-yn-6-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C19H36O4Si/c1-9-10-14-18(22-15-21-6)17(20)13-11-12-16(2)23-24(7,8)19(3,4)5/h9,16-18,20H,1,10,12,14-15H2,2-8H3/t16-,17?,18-/m0/s1	KGQKXYXWEPOGNB-RGBJRUIASA-N	KGQKXYXWEPOGNB-RGBJRUIASA-N	COCO[C@@H](CCC=C)C(O)C#CC[C@H](C)O[Si](C)(C)C(C)(C)C	TRUE
UALIB-1096	C=CCC[C@@H](C=O)OCOC	(2S)-Methoxymethoxy-hex-5-enal	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C8H14O3/c1-3-4-5-8(6-9)11-7-10-2/h3,6,8H,1,4-5,7H2,2H3/t8-/m0/s1	PWBFFOXVMSPYPX-QMMMGPOBSA-N	PWBFFOXVMSPYPX-QMMMGPOBSA-N	[H]C(=O)[C@H](CCC=C)OCOC	TRUE
UALIB-1097	C=CCC[C@H](OCOC)C(O)/C=C/C[C@H](C)O[Si](C)(C)C(C)(C)C	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-en-6-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	InChI=1S/C19H38O4Si/c1-9-10-14-18(22-15-21-6)17(20)13-11-12-16(2)23-24(7,8)19(3,4)5/h9,11,13,16-18,20H,1,10,12,14-15H2,2-8H3/b13-11+/t16-,17?,18-/m0/s1	NEWOOWBOKZFJEW-JQLYKLAYSA-N	NEWOOWBOKZFJEW-JQLYKLAYSA-N	COCO[C@@H](CCC=C)C(O)\C=C\C[C@H](C)O[Si](C)(C)C(C)(C)C	TRUE
