DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1365	CC(=O)N1C(=S)OC(C2=CC=CC=C2)(C2=CC=CC=C2)[C@@H]1C(C)C	130	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C20H21NO2S/c1-14(2)18-20(16-10-6-4-7-11-16,17-12-8-5-9-13-17)23-19(24)21(18)15(3)22/h4-14,18H,1-3H3/t18-/m0/s1	WJCFTHCUULIELA-SFHVURJKSA-N	WJCFTHCUULIELA-SFHVURJKSA-N	CC(C)[C@@H]1N(C(C)=O)C(=S)OC1(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1366	C/C=C/[C@@H](O)CC(=O)N1C(=S)OC(C2=CC=CC=C2)(C2=CC=CC=C2)[C@@H]1C(C)C.C/C=C/[C@H](O)CC(=O)N1C(=S)OC(C2=CC=CC=C2)(C2=CC=CC=C2)[C@@H]1C(C)C	131 (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/2C24H27NO3S/c2*1-4-11-20(26)16-21(27)25-22(17(2)3)24(28-23(25)29,18-12-7-5-8-13-18)19-14-9-6-10-15-19/h2*4-15,17,20,22,26H,16H2,1-3H3/b2*11-4+/t20-,22+;20-,22-/m10/s1	QQOBNOHBJKDMJC-OMRCQCICSA-N	QQOBNOHBJKDMJC-OMRCQCICSA-N	C\C=C\[C@@H](O)CC(=O)N1[C@@H](C(C)C)C(OC1=S)(C1=CC=CC=C1)C1=CC=CC=C1.C\C=C\[C@H](O)CC(=O)N1[C@@H](C(C)C)C(OC1=S)(C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-1367	C/C=C/[C@H](O)CC(=O)N(C)OC	116	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C8H15NO3/c1-4-5-7(10)6-8(11)9(2)12-3/h4-5,7,10H,6H2,1-3H3/b5-4+/t7-/m0/s1	DSWIXUSDPPJEOC-KPJROHGDSA-N	DSWIXUSDPPJEOC-KPJROHGDSA-N	CON(C)C(=O)C[C@@H](O)\C=C\C	TRUE
UALIB-1368	CON(C)C(=O)C[C@@H](O)C1CC1C	132 (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C9H17NO3/c1-6-4-7(6)8(11)5-9(12)10(2)13-3/h6-8,11H,4-5H2,1-3H3/t6?,7?,8-/m1/s1	WHVPIFDYYSOYBG-KAVNDROISA-N	WHVPIFDYYSOYBG-KAVNDROISA-N	[H]C1(C)CC1([H])[C@H](O)CC(=O)N(C)OC	TRUE
UALIB-1369	CC[Si](CC)(CC)O[C@H](CC(=O)N(C)OC)[C@@H]1C[C@H]1C	133A	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C15H31NO3Si/c1-7-20(8-2,9-3)19-14(13-10-12(13)4)11-15(17)16(5)18-6/h12-14H,7-11H2,1-6H3/t12-,13-,14-/m1/s1	FRVDEICOJCZUFB-MGPQQGTHSA-N	FRVDEICOJCZUFB-MGPQQGTHSA-N	[H][C@@]1(C)C[C@@]1([H])[C@@H](CC(=O)N(C)OC)O[Si](CC)(CC)CC	TRUE
UALIB-1370	C=CCC(=O)C[C@@H](O[Si](CC)(CC)CC)[C@@H]1C[C@H]1C	133	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C16H30O2Si/c1-6-10-14(17)12-16(15-11-13(15)5)18-19(7-2,8-3)9-4/h6,13,15-16H,1,7-12H2,2-5H3/t13-,15-,16-/m1/s1	AXLLFBBYRBIEPN-FVQBIDKESA-N	AXLLFBBYRBIEPN-FVQBIDKESA-N	[H][C@@]1(C)C[C@@]1([H])[C@@H](CC(=O)CC=C)O[Si](CC)(CC)CC	TRUE
UALIB-1371	C=CCC(=O)C[C@@H](O)[C@@H]1C[C@H]1C	115	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C10H16O2/c1-3-4-8(11)6-10(12)9-5-7(9)2/h3,7,9-10,12H,1,4-6H2,2H3/t7-,9-,10-/m1/s1	QXQFMMJRVVXCFR-SZEHBUNVSA-N	QXQFMMJRVVXCFR-SZEHBUNVSA-N	[H][C@@]1(C)C[C@@]1([H])[C@H](O)CC(=O)CC=C	TRUE
UALIB-1372	C=CC[C@@H](O)C[C@@H](O)[C@@H]1C[C@H]1C.C=CC[C@H](O)C[C@@H](O)[C@@H]1C[C@H]1C	135A (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/2C10H18O2/c2*1-3-4-8(11)6-10(12)9-5-7(9)2/h2*3,7-12H,1,4-6H2,2H3/t7-,8+,9-,10-;7-,8-,9-,10-/m11/s1	UNBWIWBZGVAURB-RTIDEPAHSA-N	UNBWIWBZGVAURB-RTIDEPAHSA-N	[H][C@@]1(C)C[C@@]1([H])[C@H](O)C[C@@H](O)CC=C.[H][C@@]1(C)C[C@@]1([H])[C@H](O)C[C@H](O)CC=C	TRUE
UALIB-1373	C=CC[C@H]1C[C@H]([C@@H]2C[C@H]2C)OC(C)(C)O1	135	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C13H22O2/c1-5-6-10-8-12(11-7-9(11)2)15-13(3,4)14-10/h5,9-12H,1,6-8H2,2-4H3/t9-,10+,11-,12-/m1/s1	ANTVOXRDPKQAPQ-WRWGMCAJSA-N	ANTVOXRDPKQAPQ-WRWGMCAJSA-N	[H][C@@]1(C)C[C@@]1([H])[C@H]1C[C@H](CC=C)OC(C)(C)O1	TRUE
UALIB-1374	C[C@@H]1C[C@H]1[C@H]1C[C@H](CC=O)OC(C)(C)O1	114	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	InChI=1S/C12H20O3/c1-8-6-10(8)11-7-9(4-5-13)14-12(2,3)15-11/h5,8-11H,4,6-7H2,1-3H3/t8-,9+,10-,11-/m1/s1	NLUBCXAVKKVFRZ-LMLFDSFASA-N	NLUBCXAVKKVFRZ-LMLFDSFASA-N	[H]C(=O)C[C@H]1C[C@@H](OC(C)(C)O1)[C@]1([H])C[C@@]1([H])C	TRUE
