DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1577	CCC(OC)/C(C)=C/C(=O)O	75	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C8H14O3/c1-4-7(11-3)6(2)5-8(9)10/h5,7H,4H2,1-3H3,(H,9,10)/b6-5+	JWQOSQGHWHHSCC-AATRIKPKSA-N	JWQOSQGHWHHSCC-AATRIKPKSA-N	CCC(OC)C(\C)=C\C(O)=O	TRUE
UALIB-1578	CCC(O)/C(C)=C/C(=O)O	76	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C7H12O3/c1-3-6(8)5(2)4-7(9)10/h4,6,8H,3H2,1-2H3,(H,9,10)/b5-4+	BQSIJPSHVJJFCR-SNAWJCMRSA-N	BQSIJPSHVJJFCR-SNAWJCMRSA-N	CCC(O)C(\C)=C\C(O)=O	TRUE
UALIB-1579	C=CCOC(CC)/C(C)=C/C	77	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C10H18O/c1-5-8-11-10(7-3)9(4)6-2/h5-6,10H,1,7-8H2,2-4H3/b9-6+	JYBUSFNVNDKRIM-RMKNXTFCSA-N	JYBUSFNVNDKRIM-RMKNXTFCSA-N	CCC(OCC=C)C(\C)=C\C	TRUE
UALIB-1580	CC/C=C(\C)C(SCC1=CC=CC=C1)C(=O)O	78	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C14H18O2S/c1-3-7-11(2)13(14(15)16)17-10-12-8-5-4-6-9-12/h4-9,13H,3,10H2,1-2H3,(H,15,16)/b11-7+	OSXDNFFALGLHEV-YRNVUSSQSA-N	OSXDNFFALGLHEV-YRNVUSSQSA-N	CC\C=C(/C)C(SCC1=CC=CC=C1)C(O)=O	TRUE
UALIB-1581	CC(C)=CC(SCC1=CC=CC=C1)C(=O)O	82	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C13H16O2S/c1-10(2)8-12(13(14)15)16-9-11-6-4-3-5-7-11/h3-8,12H,9H2,1-2H3,(H,14,15)	WAPNSRSYFQBWTQ-UHFFFAOYSA-N	WAPNSRSYFQBWTQ-UHFFFAOYSA-N	CC(C)=CC(SCC1=CC=CC=C1)C(O)=O	TRUE
UALIB-1582	C=CCOC(C)(C)/C=C/C(=O)O	83	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C9H14O3/c1-4-7-12-9(2,3)6-5-8(10)11/h4-6H,1,7H2,2-3H3,(H,10,11)/b6-5+	DVVHJEAJQROSNQ-AATRIKPKSA-N	DVVHJEAJQROSNQ-AATRIKPKSA-N	CC(C)(OCC=C)\C=C\C(O)=O	TRUE
UALIB-1583	COC(C)(C)/C=C/C(=O)O	84	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C7H12O3/c1-7(2,10-3)5-4-6(8)9/h4-5H,1-3H3,(H,8,9)/b5-4+	PCNMYQJDWGFEDE-SNAWJCMRSA-N	PCNMYQJDWGFEDE-SNAWJCMRSA-N	COC(C)(C)\C=C\C(O)=O	TRUE
UALIB-1584	CC(C)(O)/C=C/C(=O)O	85	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C6H10O3/c1-6(2,9)4-3-5(7)8/h3-4,9H,1-2H3,(H,7,8)/b4-3+	PDFAAQLHHBQRPO-ONEGZZNKSA-N	PDFAAQLHHBQRPO-ONEGZZNKSA-N	CC(C)(O)\C=C\C(O)=O	TRUE
UALIB-1585	CC(C)=CCCC(C)=CC(SCC1=CC=CC=C1)C(=O)O	86	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C18H24O2S/c1-14(2)8-7-9-15(3)12-17(18(19)20)21-13-16-10-5-4-6-11-16/h4-6,8,10-12,17H,7,9,13H2,1-3H3,(H,19,20)	HOWHHITVDOIUPK-UHFFFAOYSA-N	HOWHHITVDOIUPK-UHFFFAOYSA-N	CC(C)=CCCC(C)=CC(SCC1=CC=CC=C1)C(O)=O	TRUE
UALIB-1586	COC(C)(/C=C/C(=O)O)CCC=C(C)C	87	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	InChI=1S/C12H20O3/c1-10(2)6-5-8-12(3,15-4)9-7-11(13)14/h6-7,9H,5,8H2,1-4H3,(H,13,14)/b9-7+	CMWQGSHLAVFNJA-VQHVLOKHSA-N	CMWQGSHLAVFNJA-VQHVLOKHSA-N	COC(C)(CCC=C(C)C)\C=C\C(O)=O	TRUE
