DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-390	CCCCCCCC(O)C(Cl)(Cl)Cl	1,1,1-trichlorononan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C9H17Cl3O/c1-2-3-4-5-6-7-8(13)9(10,11)12/h8,13H,2-7H2,1H3	DYFSVRJUYUUCGG-UHFFFAOYSA-N	DYFSVRJUYUUCGG-UHFFFAOYSA-N	CCCCCCCC(O)C(Cl)(Cl)Cl	TRUE
UALIB-391	CC(C)(C)[Si](C)(C)OCCCCC(O)C(Cl)(Cl)Cl	5-(tert-butyldimethylsiloxy)-1,1,1-trochloropentan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C12H25Cl3O2Si/c1-11(2,3)18(4,5)17-9-7-6-8-10(16)12(13,14)15/h10,16H,6-9H2,1-5H3	UNPVPGMRWCOTQA-UHFFFAOYSA-N	UNPVPGMRWCOTQA-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCCCC(O)C(Cl)(Cl)Cl	TRUE
UALIB-392	OC(CCC1=CC=CC=C1)C(Cl)(Cl)Cl	1,1,1-trichloro-4-phenylbutan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C10H11Cl3O/c11-10(12,13)9(14)7-6-8-4-2-1-3-5-8/h1-5,9,14H,6-7H2	QWATXHHTKKHWNB-UHFFFAOYSA-N	QWATXHHTKKHWNB-UHFFFAOYSA-N	OC(CCC1=CC=CC=C1)C(Cl)(Cl)Cl	TRUE
UALIB-393	OC(C1CCCCC1)C(Cl)(Cl)Cl	2,2,2-trichloro-1-cyclohexylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H13Cl3O/c9-8(10,11)7(12)6-4-2-1-3-5-6/h6-7,12H,1-5H2	YNQHTZHOPABBGP-UHFFFAOYSA-N	YNQHTZHOPABBGP-UHFFFAOYSA-N	OC(C1CCCCC1)C(Cl)(Cl)Cl	TRUE
UALIB-394	CC(C1=CC=CC=C1)C(O)C(Cl)(Cl)Cl	1,1,1-trichloro-3-phenylbutan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C10H11Cl3O/c1-7(9(14)10(11,12)13)8-5-3-2-4-6-8/h2-7,9,14H,1H3	VPHJIDPDVGJMES-UHFFFAOYSA-N	VPHJIDPDVGJMES-UHFFFAOYSA-N	CC(C(O)C(Cl)(Cl)Cl)C1=CC=CC=C1	TRUE
UALIB-395	OC(C1=CC=CC=C1)C(Cl)(Cl)Cl	1,1,1-trichloro-1-phenylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H7Cl3O/c9-8(10,11)7(12)6-4-2-1-3-5-6/h1-5,7,12H	ABFRBTDJEKZSRM-UHFFFAOYSA-N	ABFRBTDJEKZSRM-UHFFFAOYSA-N	OC(C1=CC=CC=C1)C(Cl)(Cl)Cl	TRUE
UALIB-396	COC1=CC=C(C(O)C(Cl)(Cl)Cl)C=C1	2,2,2-tricholoro-1-(4-methoxyphenyl)ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C9H9Cl3O2/c1-14-7-4-2-6(3-5-7)8(13)9(10,11)12/h2-5,8,13H,1H3	DQMIPRIVNVYSDB-UHFFFAOYSA-N	DQMIPRIVNVYSDB-UHFFFAOYSA-N	COC1=CC=C(C=C1)C(O)C(Cl)(Cl)Cl	TRUE
UALIB-397	O=[N+]([O-])C1=CC=C(C(O)C(Cl)(Cl)Cl)C=C1	2,2,2-tricholoro-1-(4-nitrophenyl)ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H6Cl3NO3/c9-8(10,11)7(13)5-1-3-6(4-2-5)12(14)15/h1-4,7,13H	RWHUHQMPXMQXDN-UHFFFAOYSA-N	RWHUHQMPXMQXDN-UHFFFAOYSA-N	OC(C1=CC=C(C=C1)[N+]([O-])=O)C(Cl)(Cl)Cl	TRUE
UALIB-398	OC(C1=CC2=CC=CC=C2C=C1)C(Cl)(Cl)Cl	2,2,2-trichloro-1-naphthalen-2-yl-ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C12H9Cl3O/c13-12(14,15)11(16)10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11,16H	AGUUERGDOAXRRY-UHFFFAOYSA-N	AGUUERGDOAXRRY-UHFFFAOYSA-N	OC(C1=CC2=CC=CC=C2C=C1)C(Cl)(Cl)Cl	TRUE
UALIB-399	OC(C1=CC=CO1)C(Cl)(Cl)Cl	2,2,2-trichloro-1-furan-2-yl-ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H5Cl3O2/c7-6(8,9)5(10)4-2-1-3-11-4/h1-3,5,10H	LFSYXVDROBFUJN-UHFFFAOYSA-N	LFSYXVDROBFUJN-UHFFFAOYSA-N	OC(C1=CC=CO1)C(Cl)(Cl)Cl	TRUE
UALIB-400	OC(C1=CC=CS1)C(Cl)(Cl)Cl	2,2,2-trichloro-1-thiophen-2-ylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H5Cl3OS/c7-6(8,9)5(10)4-2-1-3-11-4/h1-3,5,10H	QBMTZEDLUUIISP-UHFFFAOYSA-N	QBMTZEDLUUIISP-UHFFFAOYSA-N	OC(C1=CC=CS1)C(Cl)(Cl)Cl	TRUE
UALIB-401	CC(C)=CC(O)C(Cl)(Cl)Cl	1,1,1-trichloro-4-methylpent-3-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H9Cl3O/c1-4(2)3-5(10)6(7,8)9/h3,5,10H,1-2H3	VNIRPUMAEZAXLI-UHFFFAOYSA-N	VNIRPUMAEZAXLI-UHFFFAOYSA-N	CC(C)=CC(O)C(Cl)(Cl)Cl	TRUE
UALIB-402	CC/C=C/C(O)C(Cl)(Cl)Cl	1,1,1,-trichlorohex-3-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H9Cl3O/c1-2-3-4-5(10)6(7,8)9/h3-5,10H,2H2,1H3/b4-3+	ORGGNBGESHFOMN-ONEGZZNKSA-N	ORGGNBGESHFOMN-ONEGZZNKSA-N	CC\C=C\C(O)C(Cl)(Cl)Cl	TRUE
UALIB-403	CC/C=C(\C)C(O)C(Cl)(Cl)Cl	1,1,1,-trichloro-3-methylhex-2-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C7H11Cl3O/c1-3-4-5(2)6(11)7(8,9)10/h4,6,11H,3H2,1-2H3/b5-4+	VRHOIIKKDKLXSJ-SNAWJCMRSA-N	VRHOIIKKDKLXSJ-SNAWJCMRSA-N	CC\C=C(/C)C(O)C(Cl)(Cl)Cl	TRUE
UALIB-404	CCCCCCCCC(=O)O	Nonoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)	FBUKVWPVBMHYJY-UHFFFAOYSA-N	FBUKVWPVBMHYJY-UHFFFAOYSA-N	CCCCCCCCC(O)=O	TRUE
UALIB-405	CC(C)(C)[Si](C)(C)OCCCCCC(=O)O	6-(tert-butyldimethylsilyloxy)hexanoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C12H26O3Si/c1-12(2,3)16(4,5)15-10-8-6-7-9-11(13)14/h6-10H2,1-5H3,(H,13,14)	IYFMRXJBXNNNDL-UHFFFAOYSA-N	IYFMRXJBXNNNDL-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCCCCC(O)=O	TRUE
UALIB-406	O=C(O)CCCC1=CC=CC=C1	4-phenylbutanoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)	OBKXEAXTFZPCHS-UHFFFAOYSA-N	OBKXEAXTFZPCHS-UHFFFAOYSA-N	OC(=O)CCCC1=CC=CC=C1	TRUE
UALIB-407	O=C(O)CC1CCCCC1	cyclohexyacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H14O2/c9-8(10)6-7-4-2-1-3-5-7/h7H,1-6H2,(H,9,10)	LJOODBDWMQKMFB-UHFFFAOYSA-N	LJOODBDWMQKMFB-UHFFFAOYSA-N	OC(=O)CC1CCCCC1	TRUE
UALIB-408	CC(CC(=O)O)C1=CC=CC=C1	3-phenylbutyric acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C10H12O2/c1-8(7-10(11)12)9-5-3-2-4-6-9/h2-6,8H,7H2,1H3,(H,11,12)	ZZEWMYILWXCRHZ-UHFFFAOYSA-N	ZZEWMYILWXCRHZ-UHFFFAOYSA-N	CC(CC(O)=O)C1=CC=CC=C1	TRUE
