DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-509	C[C@@]12O[C@@H]1CC[C@@]2(O)C1=CC=CC=C1	(±)-2,3-Epoxy-2-methyl-1-phenylcyclopentan-1-ol	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C12H14O2/c1-11-10(14-11)7-8-12(11,13)9-5-3-2-4-6-9/h2-6,10,13H,7-8H2,1H3/t10-,11-,12-/m1/s1	FNOKFVNNIKZEHT-IJLUTSLNSA-N	FNOKFVNNIKZEHT-IJLUTSLNSA-N	C[C@@]12O[C@@H]1CC[C@@]2(O)C1=CC=CC=C1	TRUE
UALIB-510	C[C@@]1(C2=CC=CC=C2)C(=O)CC[C@H]1O	cis-(±)-1-Keto-2-methyl-2-phenylcyclopentan-3-ol	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C12H14O2/c1-12(9-5-3-2-4-6-9)10(13)7-8-11(12)14/h2-6,10,13H,7-8H2,1H3/t10-,12+/m1/s1	UAYSXIQLGXJYLL-PWSUYJOCSA-N	UAYSXIQLGXJYLL-PWSUYJOCSA-N	C[C@@]1([C@H](O)CCC1=O)C1=CC=CC=C1	TRUE
UALIB-511	CC1(C2=CC=CC=C2)C(=O)CCC1=O	2-Methyl-2-phenyl-1,3-cyclopentanedione	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C12H12O2/c1-12(9-5-3-2-4-6-9)10(13)7-8-11(12)14/h2-6H,7-8H2,1H3	JKCOTMJBEWLZEH-UHFFFAOYSA-N	JKCOTMJBEWLZEH-UHFFFAOYSA-N	CC1(C(=O)CCC1=O)C1=CC=CC=C1	TRUE
UALIB-512	CC1(CC[N+](=O)[O-])C(=O)CCC1=O	2-Methyl-2-(2-nitroethyl)-1,3-cyclopentanedione	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C8H11NO4/c1-8(4-5-9(12)13)6(10)2-3-7(8)11/h2-5H2,1H3	ZKUOKRMFLGLSOB-UHFFFAOYSA-N	ZKUOKRMFLGLSOB-UHFFFAOYSA-N	CC1(CC[N+]([O-])=O)C(=O)CCC1=O	TRUE
UALIB-513	C=CC[C@]1(C)C(=O)CC[C@@H]1O.C=CC[C@]1(C)C(=O)CC[C@H]1O	cis- and trans-2-allyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/2C9H14O2/c2*1-3-6-9(2)7(10)4-5-8(9)11/h2*3,7,10H,1,4-6H2,2H3/t7-,9+;7-,9-/m10/s1	MZICIOJFAKDHAO-OPJZFTAPSA-N	MZICIOJFAKDHAO-OPJZFTAPSA-N	C[C@]1(CC=C)[C@@H](O)CCC1=O.C[C@]1(CC=C)[C@H](O)CCC1=O	TRUE
UALIB-514	C=CC[C@]1(C)C(=O)CCC[C@@H]1O	cis-3-Hydroxy-2-allyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C10H16O2/c1-3-7-10(2)8(11)5-4-6-9(10)12/h3,8,11H,1,4-7H2,2H3/t8-,10-/m0/s1	DSGQUBLTBNJBLZ-WPRPVWTQSA-N	DSGQUBLTBNJBLZ-WPRPVWTQSA-N	C[C@]1(CC=C)[C@@H](O)CCCC1=O	TRUE
UALIB-515	CCC[C@]1(C)C(=O)CC[C@@H]1O	cis-3-Hydroxy-2-propyl-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C9H16O2/c1-3-6-9(2)7(10)4-5-8(9)11/h7,10H,3-6H2,1-2H3/t7-,9-/m0/s1	KAJKOFDGOSLJQC-CBAPKCEASA-N	KAJKOFDGOSLJQC-CBAPKCEASA-N	CCC[C@@]1(C)[C@@H](O)CCC1=O	TRUE
UALIB-516	CCC[C@]1(C)C(=O)CCC[C@@H]1O	cis-3-Hydroxy-2-propyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C10H18O2/c1-3-7-10(2)8(11)5-4-6-9(10)12/h8,11H,3-7H2,1-2H3/t8-,10-/m0/s1	BOCCJIHMRIMGHV-WPRPVWTQSA-N	BOCCJIHMRIMGHV-WPRPVWTQSA-N	CCC[C@@]1(C)[C@@H](O)CCCC1=O	TRUE
UALIB-517	C#CC[C@]1(C)C(=O)CC[C@@H]1O	cis-3-Hydroxy-2-propargyl-3-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C9H12O2/c1-3-6-9(2)7(10)4-5-8(9)11/h1,7,10H,4-6H2,2H3/t7-,9-/m0/s1	UEWYHVQSNFTAKP-CBAPKCEASA-N	UEWYHVQSNFTAKP-CBAPKCEASA-N	C[C@]1(CC#C)[C@@H](O)CCC1=O	TRUE
UALIB-518	C#CC[C@]1(C)C(=O)CC[C@H]1O	trans-3-Hydroxy-2-propargyl-3-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C9H12O2/c1-3-6-9(2)7(10)4-5-8(9)11/h1,7,10H,4-6H2,2H3/t7-,9+/m1/s1	UEWYHVQSNFTAKP-APPZFPTMSA-N	UEWYHVQSNFTAKP-APPZFPTMSA-N	C[C@]1(CC#C)[C@H](O)CCC1=O	TRUE
UALIB-519	C#CC[C@]1(C)C(=O)CCC[C@@H]1O	cis-3-Hydroxy-2-propargyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C10H14O2/c1-3-7-10(2)8(11)5-4-6-9(10)12/h1,8,11H,4-7H2,2H3/t8-,10-/m0/s1	BUMDAIHRSIOFNP-WPRPVWTQSA-N	BUMDAIHRSIOFNP-WPRPVWTQSA-N	C[C@]1(CC#C)[C@@H](O)CCCC1=O	TRUE
UALIB-520	C#CC[C@]1(C)C(=O)CCC[C@H]1O	trans-3-Hydroxy-2-propargyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C10H14O2/c1-3-7-10(2)8(11)5-4-6-9(10)12/h1,8,11H,4-7H2,2H3/t8-,10+/m1/s1	BUMDAIHRSIOFNP-SCZZXKLOSA-N	BUMDAIHRSIOFNP-SCZZXKLOSA-N	C[C@]1(CC#C)[C@H](O)CCCC1=O	TRUE
UALIB-521	C[C@@]1(CC2=CC=CC=C2)C(=O)CC[C@@H]1O	cis-3-Benzyl-2-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C13H16O2/c1-13(11(14)7-8-12(13)15)9-10-5-3-2-4-6-10/h2-6,11,14H,7-9H2,1H3/t11-,13-/m0/s1	AEXAVMKCRMTRGH-AAEUAGOBSA-N	AEXAVMKCRMTRGH-AAEUAGOBSA-N	C[C@]1(CC2=CC=CC=C2)[C@@H](O)CCC1=O	TRUE
UALIB-522	C[C@@]1(CC2=CC=CC=C2)C(=O)CCC[C@@H]1O	cis-2-Benzyl-3-hydroxy-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C14H18O2/c1-14(10-11-6-3-2-4-7-11)12(15)8-5-9-13(14)16/h2-4,6-7,12,15H,5,8-10H2,1H3/t12-,14-/m0/s1	LNVQEYVGAPACLA-JSGCOSHPSA-N	LNVQEYVGAPACLA-JSGCOSHPSA-N	C[C@]1(CC2=CC=CC=C2)[C@@H](O)CCCC1=O	TRUE
UALIB-523	C[C@@]1(C2=CC=CC=C2)C(=O)CC[C@@H]1O	cis-3-Hydroxy-2-phenyl-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C12H14O2/c1-12(9-5-3-2-4-6-9)10(13)7-8-11(12)14/h2-6,10,13H,7-8H2,1H3/t10-,12-/m0/s1	UAYSXIQLGXJYLL-JQWIXIFHSA-N	UAYSXIQLGXJYLL-JQWIXIFHSA-N	C[C@@]1([C@@H](O)CCC1=O)C1=CC=CC=C1	TRUE
UALIB-524	C[C@@]1(CCC#N)C(=O)CC[C@@H]1O	cis-2-Cyanoethyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C9H13NO2/c1-9(5-2-6-10)7(11)3-4-8(9)12/h7,11H,2-5H2,1H3/t7-,9-/m0/s1	YGOZMUKIAMBNJA-CBAPKCEASA-N	YGOZMUKIAMBNJA-CBAPKCEASA-N	C[C@]1(CCC#N)[C@@H](O)CCC1=O	TRUE
UALIB-525	C[C@@]1(CCC#N)C(=O)CC[C@H]1O	trans-2-Cyanoethyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	InChI=1S/C9H13NO2/c1-9(5-2-6-10)7(11)3-4-8(9)12/h7,11H,2-5H2,1H3/t7-,9+/m1/s1	YGOZMUKIAMBNJA-APPZFPTMSA-N	YGOZMUKIAMBNJA-APPZFPTMSA-N	C[C@]1(CCC#N)[C@H](O)CCC1=O	TRUE
