DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1401	C=CC[C@@H](O)CCC1=CC=C(OCC2=CC=CC=C2)C=C1.C=CC[C@H](O)CCC1=CC=C(OCC2=CC=CC=C2)C=C1	82 (ee mix)	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/2C19H22O2/c2*1-2-6-18(20)12-9-16-10-13-19(14-11-16)21-15-17-7-4-3-5-8-17/h2*2-5,7-8,10-11,13-14,18,20H,1,6,9,12,15H2/t2*18-/m10/s1	IPUXGBSLKISXAW-JJMXQKMNSA-N	IPUXGBSLKISXAW-JJMXQKMNSA-N	O[C@@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)CC=C.O[C@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)CC=C	TRUE
UALIB-1402	C=CC[C@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)OC(=O)C=C	81	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C22H24O3/c1-3-8-21(25-22(23)4-2)16-13-18-11-14-20(15-12-18)24-17-19-9-6-5-7-10-19/h3-7,9-12,14-15,21H,1-2,8,13,16-17H2/t21-/m1/s1	FVDFZYVWOUYOET-OAQYLSRUSA-N	FVDFZYVWOUYOET-OAQYLSRUSA-N	C=CC[C@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)OC(=O)C=C	TRUE
UALIB-1403	O=C1C=CC[C@H](CCC2=CC=C(OCC3=CC=CC=C3)C=C2)O1	80	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C20H20O3/c21-20-8-4-7-19(23-20)14-11-16-9-12-18(13-10-16)22-15-17-5-2-1-3-6-17/h1-6,8-10,12-13,19H,7,11,14-15H2/t19-/m1/s1	UCKKNYSYKAOVKU-LJQANCHMSA-N	UCKKNYSYKAOVKU-LJQANCHMSA-N	O=C1O[C@@H](CCC2=CC=C(OCC3=CC=CC=C3)C=C2)CC=C1	TRUE
UALIB-1404	COC1=CC=C(CCCC[C@@H](O)CCC2=CC=C(O)C=C2)C=C1	95	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C20H26O3/c1-23-20-14-9-16(10-15-20)4-2-3-5-18(21)11-6-17-7-12-19(22)13-8-17/h7-10,12-15,18,21-22H,2-6,11H2,1H3/t18-/m1/s1	NAVKBMUXXNDFRN-GOSISDBHSA-N	NAVKBMUXXNDFRN-GOSISDBHSA-N	COC1=CC=C(CCCC[C@@H](O)CCC2=CC=C(O)C=C2)C=C1	TRUE
UALIB-1405	O=C1CCC[C@H](CCC2=CC=C(O)C=C2)O1	99	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C13H16O3/c14-11-7-4-10(5-8-11)6-9-12-2-1-3-13(15)16-12/h4-5,7-8,12,14H,1-3,6,9H2/t12-/m1/s1	ZGMVPZLDPLYSBJ-GFCCVEGCSA-N	ZGMVPZLDPLYSBJ-GFCCVEGCSA-N	OC1=CC=C(CC[C@H]2CCCC(=O)O2)C=C1	TRUE
UALIB-1406	CC[Si](CC)(CC)OC1=CC=C(CC[C@H]2CCCC(=O)O2)C=C1	100	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C19H30O3Si/c1-4-23(5-2,6-3)22-18-14-11-16(12-15-18)10-13-17-8-7-9-19(20)21-17/h11-12,14-15,17H,4-10,13H2,1-3H3/t17-/m1/s1	WEVKVHHORXUSJP-QGZVFWFLSA-N	WEVKVHHORXUSJP-QGZVFWFLSA-N	CC[Si](CC)(CC)OC1=CC=C(CC[C@H]2CCCC(=O)O2)C=C1	TRUE
UALIB-1407	COC1=CC=C([C@@H]2CCC[C@H](CCC3=CC=C(O)C=C3)O2)C=C1	1	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C20H24O3/c1-22-18-13-8-16(9-14-18)20-4-2-3-19(23-20)12-7-15-5-10-17(21)11-6-15/h5-6,8-11,13-14,19-21H,2-4,7,12H2,1H3/t19-,20+/m1/s1	VKLGDLFSGNHXAV-UXHICEINSA-N	VKLGDLFSGNHXAV-UXHICEINSA-N	COC1=CC=C(C=C1)[C@@H]1CCC[C@H](CCC2=CC=C(O)C=C2)O1	TRUE
UALIB-1408	CC(C)(C)[Si](C)(C)OCCC=O	108	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C9H20O2Si/c1-9(2,3)12(4,5)11-8-6-7-10/h7H,6,8H2,1-5H3	WGWCJTNWUFFGFH-UHFFFAOYSA-N	WGWCJTNWUFFGFH-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCC=O	TRUE
UALIB-1409	C=CC[C@H](O)CCO[Si](C)(C)C(C)(C)C	110	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C12H26O2Si/c1-7-8-11(13)9-10-14-15(5,6)12(2,3)4/h7,11,13H,1,8-10H2,2-6H3/t11-/m0/s1	YPXHYWAGAHVDOR-NSHDSACASA-N	YPXHYWAGAHVDOR-NSHDSACASA-N	CC(C)(C)[Si](C)(C)OCC[C@@H](O)CC=C	TRUE
UALIB-1410	C=CC[C@@H](CCO[Si](C)(C)C(C)(C)C)OC(=O)C=C	111	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	InChI=1S/C15H28O3Si/c1-8-10-13(18-14(16)9-2)11-12-17-19(6,7)15(3,4)5/h8-9,13H,1-2,10-12H2,3-7H3/t13-/m0/s1	OSYJECUOEYYRGZ-ZDUSSCGKSA-N	OSYJECUOEYYRGZ-ZDUSSCGKSA-N	CC(C)(C)[Si](C)(C)OCC[C@H](CC=C)OC(=O)C=C	TRUE
