DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1202	COC1=CC(OC)=C(I)C(OS(=O)(=O)C(F)(F)F)=C1	2-iodo-3,5-dimethoxyphenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C9H8F3IO5S/c1-16-5-3-6(17-2)8(13)7(4-5)18-19(14,15)9(10,11)12/h3-4H,1-2H3	JYEIUGMHEWBSMN-UHFFFAOYSA-N	JYEIUGMHEWBSMN-UHFFFAOYSA-N	COC1=CC(OC)=C(I)C(OS(=O)(=O)C(F)(F)F)=C1	TRUE
UALIB-1203	COC1=C(OS(=O)(=O)C(F)(F)F)C(I)=CC(C)=C1	2-iodo-3-methoxy-5-methylphenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C9H8F3IO4S/c1-5-3-6(13)8(7(4-5)16-2)17-18(14,15)9(10,11)12/h3-4H,1-2H3	MQWFQHPPRKALLT-UHFFFAOYSA-N	MQWFQHPPRKALLT-UHFFFAOYSA-N	COC1=C(OS(=O)(=O)C(F)(F)F)C(I)=CC(C)=C1	TRUE
UALIB-1204	O=S(=O)(OC1=CC=C(C2=CC=CC=C2)C=C1I)C(F)(F)F	2-iodo-(4-phenyl) phenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C13H8F3IO3S/c14-13(15,16)21(18,19)20-12-7-6-10(8-11(12)17)9-4-2-1-3-5-9/h1-8H	AJLHADHFKZIKIK-UHFFFAOYSA-N	AJLHADHFKZIKIK-UHFFFAOYSA-N	FC(F)(F)S(=O)(=O)OC1=CC=C(C=C1I)C1=CC=CC=C1	TRUE
UALIB-1205	O=S(=O)(OC1=CC=C(Cl)C=C1I)C(F)(F)F	4-chloro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C7H3ClF3IO3S/c8-4-1-2-6(5(12)3-4)15-16(13,14)7(9,10)11/h1-3H	JKMHQFZISSSYOX-UHFFFAOYSA-N	JKMHQFZISSSYOX-UHFFFAOYSA-N	FC(F)(F)S(=O)(=O)OC1=CC=C(Cl)C=C1I	TRUE
UALIB-1206	O=S(=O)(OC1=CC=C(F)C=C1I)C(F)(F)F	4-fluoro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C7H3F4IO3S/c8-4-1-2-6(5(12)3-4)15-16(13,14)7(9,10)11/h1-3H	MSDRWBCQMWZBFA-UHFFFAOYSA-N	MSDRWBCQMWZBFA-UHFFFAOYSA-N	FC1=CC=C(OS(=O)(=O)C(F)(F)F)C(I)=C1	TRUE
UALIB-1207	O=S(=O)(OC1=CC=CC(F)=C1I)C(F)(F)F	3-fluoro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C7H3F4IO3S/c8-4-2-1-3-5(6(4)12)15-16(13,14)7(9,10)11/h1-3H	FSWLICPETBRWOR-UHFFFAOYSA-N	FSWLICPETBRWOR-UHFFFAOYSA-N	FC1=C(I)C(OS(=O)(=O)C(F)(F)F)=CC=C1	TRUE
UALIB-1208	O=S(=O)(OC1=C(F)C=CC=C1I)C(F)(F)F	2-fluoro-6-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C7H3F4IO3S/c8-4-2-1-3-5(12)6(4)15-16(13,14)7(9,10)11/h1-3H	JFKBPZCVYHLKPC-UHFFFAOYSA-N	JFKBPZCVYHLKPC-UHFFFAOYSA-N	FC1=C(OS(=O)(=O)C(F)(F)F)C(I)=CC=C1	TRUE
UALIB-1209	O=S(=O)(OC1=CC=C(C(F)(F)F)C=C1I)C(F)(F)F	4-(trifluoromehtyl)-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C8H3F6IO3S/c9-7(10,11)4-1-2-6(5(15)3-4)18-19(16,17)8(12,13)14/h1-3H	KSSURASGGXKHBH-UHFFFAOYSA-N	KSSURASGGXKHBH-UHFFFAOYSA-N	FC(F)(F)C1=CC=C(OS(=O)(=O)C(F)(F)F)C(I)=C1	TRUE
UALIB-1210	O=S(=O)(OC1=CC(C(F)(F)F)=CC=C1I)C(F)(F)F	3-(trifluoromethyl)-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C8H3F6IO3S/c9-7(10,11)4-1-2-5(15)6(3-4)18-19(16,17)8(12,13)14/h1-3H	YFJIEFZNYFURGR-UHFFFAOYSA-N	YFJIEFZNYFURGR-UHFFFAOYSA-N	FC(F)(F)C1=CC=C(I)C(OS(=O)(=O)C(F)(F)F)=C1	TRUE
UALIB-1211	COC1=CC(C/C=C/[Si](C)(C)C)=CC=C1	((E)-3-(3-Methoxyphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C13H20OSi/c1-14-13-9-5-7-12(11-13)8-6-10-15(2,3)4/h5-7,9-11H,8H2,1-4H3/b10-6+	DNJDUTUPENCZOS-UXBLZVDNSA-N	DNJDUTUPENCZOS-UXBLZVDNSA-N	COC1=CC(C\C=C\[Si](C)(C)C)=CC=C1	TRUE
