DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2061	CC1=CC=C(NC2=CC=CC=C2)C=C1	Table 2-2: Entry 3	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C13H13N/c1-11-7-9-13(10-8-11)14-12-5-3-2-4-6-12/h2-10,14H,1H3	AGHYMXKKEXDUTA-UHFFFAOYSA-N	AGHYMXKKEXDUTA-UHFFFAOYSA-N	CC1=CC=C(NC2=CC=CC=C2)C=C1	TRUE
UALIB-2062	CC1=CC=CC(C)=C1NC1=CC=CC=C1	Table 2-2: Entry 8	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C14H15N/c1-11-7-6-8-12(2)14(11)15-13-9-4-3-5-10-13/h3-10,15H,1-2H3	SQIUEWNROMQRQY-UHFFFAOYSA-N	SQIUEWNROMQRQY-UHFFFAOYSA-N	CC1=CC=CC(C)=C1NC1=CC=CC=C1	TRUE
UALIB-2063	CN(C)C1=CC=C(NC2=CC=CC=C2)C=C1	Table 2-2: Entry 6	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C14H16N2/c1-16(2)14-10-8-13(9-11-14)15-12-6-4-3-5-7-12/h3-11,15H,1-2H3	QETJPYXHTISDOG-UHFFFAOYSA-N	QETJPYXHTISDOG-UHFFFAOYSA-N	CN(C)C1=CC=C(NC2=CC=CC=C2)C=C1	TRUE
UALIB-2064	FC1=CC=C(NC2=CC=CC=C2)C=C1	Table 2-2: Entry 1	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C12H10FN/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9,14H	RBWCFTJQRDTIBX-UHFFFAOYSA-N	RBWCFTJQRDTIBX-UHFFFAOYSA-N	FC1=CC=C(NC2=CC=CC=C2)C=C1	TRUE
UALIB-2065	FC(F)(F)C1=CC=C(NC2=CC=CC=C2)C=C1	Table 2-2: Entry 2	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C13H10F3N/c14-13(15,16)10-6-8-12(9-7-10)17-11-4-2-1-3-5-11/h1-9,17H	PCBLLVOSVHORQA-UHFFFAOYSA-N	PCBLLVOSVHORQA-UHFFFAOYSA-N	FC(F)(F)C1=CC=C(NC2=CC=CC=C2)C=C1	TRUE
UALIB-2066	CC1=CC=C(NC2=C(C)C=C(C)C=C2C)C=C1	Table 2-2: Entry 9	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C16H19N/c1-11-5-7-15(8-6-11)17-16-13(3)9-12(2)10-14(16)4/h5-10,17H,1-4H3	ZELAFHJZYZPXNF-UHFFFAOYSA-N	ZELAFHJZYZPXNF-UHFFFAOYSA-N	CC1=CC=C(NC2=C(C)C=C(C)C=C2C)C=C1	TRUE
UALIB-2067	CC1=CC=C(NC2=C(C(C)C)C=CC=C2C(C)C)C=C1	Table 2-2: Entry 10	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C19H25N/c1-13(2)17-7-6-8-18(14(3)4)19(17)20-16-11-9-15(5)10-12-16/h6-14,20H,1-5H3	UGQDNIBAELHDSZ-UHFFFAOYSA-N	UGQDNIBAELHDSZ-UHFFFAOYSA-N	CC(C)C1=CC=CC(C(C)C)=C1NC1=CC=C(C)C=C1	TRUE
UALIB-2068	CC1=CC(C)=C(NC2=C(C)C=CC=C2C)C(C)=C1	Table 2-2: Entry 12	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C17H21N/c1-11-9-14(4)17(15(5)10-11)18-16-12(2)7-6-8-13(16)3/h6-10,18H,1-5H3	NLXYMNARXOOBEW-UHFFFAOYSA-N	NLXYMNARXOOBEW-UHFFFAOYSA-N	CC1=CC(C)=C(NC2=C(C)C=CC=C2C)C(C)=C1	TRUE
UALIB-2069	CC1=CC(C)=C(NC2=C(C)C=CC=C2)C(C)=C1	Table 2-2: Entry 11	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C16H19N/c1-11-9-13(3)16(14(4)10-11)17-15-8-6-5-7-12(15)2/h5-10,17H,1-4H3	ODGXJKNNRHRTPZ-UHFFFAOYSA-N	ODGXJKNNRHRTPZ-UHFFFAOYSA-N	CC1=CC(C)=C(NC2=C(C)C=CC=C2)C(C)=C1	TRUE
UALIB-2070	COC1=CC=C(NC2=CC=CC=C2)C=C1	Table 2-3: Entry 1c	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	InChI=1S/C13H13NO/c1-15-13-9-7-12(8-10-13)14-11-5-3-2-4-6-11/h2-10,14H,1H3	OBHGSIGHEBGGFS-UHFFFAOYSA-N	OBHGSIGHEBGGFS-UHFFFAOYSA-N	COC1=CC=C(NC2=CC=CC=C2)C=C1	TRUE
