DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-616	CCOC(=O)/C=C\C1=CC=CC=C1	Compound 34a	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C11H12O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8-	KBEBGUQPQBELIU-HJWRWDBZSA-N	KBEBGUQPQBELIU-HJWRWDBZSA-N	CCOC(=O)\C=C/C1=CC=CC=C1	TRUE
UALIB-617	CCOC(=O)/C=C\C1=CC=C(F)C=C1	Compound 34b	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C11H11FO2/c1-2-14-11(13)8-5-9-3-6-10(12)7-4-9/h3-8H,2H2,1H3/b8-5-	UNAXNPTZJKKUGO-YVMONPNESA-N	UNAXNPTZJKKUGO-YVMONPNESA-N	CCOC(=O)\C=C/C1=CC=C(F)C=C1	TRUE
UALIB-618	CCOC(=O)/C=C\C1=C(C)C=CC=C1	Compound 34c	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C12H14O2/c1-3-14-12(13)9-8-11-7-5-4-6-10(11)2/h4-9H,3H2,1-2H3/b9-8-	FVVNCRMEGJFCPL-HJWRWDBZSA-N	FVVNCRMEGJFCPL-HJWRWDBZSA-N	CCOC(=O)\C=C/C1=C(C)C=CC=C1	TRUE
UALIB-619	CCOC(=O)/C=C\C1=CC=CC(OC)=C1	Compound 34d	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C12H14O3/c1-3-15-12(13)8-7-10-5-4-6-11(9-10)14-2/h4-9H,3H2,1-2H3/b8-7-	UPOMPRQKAGEXPN-FPLPWBNLSA-N	UPOMPRQKAGEXPN-FPLPWBNLSA-N	CCOC(=O)\C=C/C1=CC=CC(OC)=C1	TRUE
UALIB-620	CCOC(=O)/C=C(/C)C1=CC=CC=C1	Compound 34e	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C12H14O2/c1-3-14-12(13)9-10(2)11-7-5-4-6-8-11/h4-9H,3H2,1-2H3/b10-9-	BSXHSWOMMFBMLL-KTKRTIGZSA-N	BSXHSWOMMFBMLL-KTKRTIGZSA-N	CCOC(=O)\C=C(\C)C1=CC=CC=C1	TRUE
UALIB-621	CCOC(=O)/C=C\C1=CC=C(OC)C=C1	Compound 34f	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C12H14O3/c1-3-15-12(13)9-6-10-4-7-11(14-2)8-5-10/h4-9H,3H2,1-2H3/b9-6-	DHNGCHLFKUPGPX-TWGQIWQCSA-N	DHNGCHLFKUPGPX-TWGQIWQCSA-N	CCOC(=O)\C=C/C1=CC=C(OC)C=C1	TRUE
UALIB-622	CCOC(=O)/C=C\C1=C(C)C=C(C)C=C1C	Compound 34g	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C14H18O2/c1-5-16-14(15)7-6-13-11(3)8-10(2)9-12(13)4/h6-9H,5H2,1-4H3/b7-6-	QTLOYKCWYODNOC-SREVYHEPSA-N	QTLOYKCWYODNOC-SREVYHEPSA-N	CCOC(=O)\C=C/C1=C(C)C=C(C)C=C1C	TRUE
UALIB-623	[2H]/C(=C/C1=CC=CC=C1)C(=O)OCC	Compound 34h	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C11H12O2/c1-2-13-11(12)9-8-10-6-4-3-5-7-10/h3-9H,2H2,1H3/b9-8-/i9D	KBEBGUQPQBELIU-DPGMDDFWSA-N	KBEBGUQPQBELIU-DPGMDDFWSA-N	[2H]\C(=C\C1=CC=CC=C1)C(=O)OCC	TRUE
UALIB-624	CCCCCC/C=C\C(=O)OCC	Compound 34i	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C11H20O2/c1-3-5-6-7-8-9-10-11(12)13-4-2/h9-10H,3-8H2,1-2H3/b10-9-	ZCSDUGXKKBIICL-KTKRTIGZSA-N	ZCSDUGXKKBIICL-KTKRTIGZSA-N	CCCCCC\C=C/C(=O)OCC	TRUE
UALIB-625	CCOC(=O)/C(=C\C1=CC=CC=C1)C(O)C1=CC=CC=C1	Compound 67	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C18H18O3/c1-2-21-18(20)16(13-14-9-5-3-6-10-14)17(19)15-11-7-4-8-12-15/h3-13,17,19H,2H2,1H3/b16-13-	LJXIUDZTIJVURM-SSZFMOIBSA-N	LJXIUDZTIJVURM-SSZFMOIBSA-N	CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=CC=C1	TRUE
UALIB-626	CCOC(=O)/C(=C\C1=CC=C(F)C=C1)C(O)C1=CC=CC=C1	Compound 68	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C18H17FO3/c1-2-22-18(21)16(12-13-8-10-15(19)11-9-13)17(20)14-6-4-3-5-7-14/h3-12,17,20H,2H2,1H3/b16-12-	ZMJGNPSGTSPCMK-VBKFSLOCSA-N	ZMJGNPSGTSPCMK-VBKFSLOCSA-N	CCOC(=O)C(=C/C1=CC=C(F)C=C1)\C(O)C1=CC=CC=C1	TRUE
UALIB-627	CCOC(=O)/C(=C\C1=C(C)C=CC=C1)C(O)C1=CC=CC=C1	Compound 69	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C19H20O3/c1-3-22-19(21)17(13-16-12-8-7-9-14(16)2)18(20)15-10-5-4-6-11-15/h4-13,18,20H,3H2,1-2H3/b17-13-	LPMCBQCZKQJSLO-LGMDPLHJSA-N	LPMCBQCZKQJSLO-LGMDPLHJSA-N	CCOC(=O)C(=C/C1=C(C)C=CC=C1)\C(O)C1=CC=CC=C1	TRUE
UALIB-628	CCOC(=O)/C(=C\C1=CC=CC=C1)C(O)C1=CC=C(OC)C=C1	Compound 70	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C19H20O4/c1-3-23-19(21)17(13-14-7-5-4-6-8-14)18(20)15-9-11-16(22-2)12-10-15/h4-13,18,20H,3H2,1-2H3/b17-13-	JSUJBJVYPKEQAD-LGMDPLHJSA-N	JSUJBJVYPKEQAD-LGMDPLHJSA-N	CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(OC)C=C1	TRUE
UALIB-629	CCOC(=O)/C(=C\C1=CC=CC=C1)C(O)C1=CC=C(F)C=C1	Compound 71	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C18H17FO3/c1-2-22-18(21)16(12-13-6-4-3-5-7-13)17(20)14-8-10-15(19)11-9-14/h3-12,17,20H,2H2,1H3/b16-12-	XZANKYDMGLFMBL-VBKFSLOCSA-N	XZANKYDMGLFMBL-VBKFSLOCSA-N	CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(F)C=C1	TRUE
UALIB-630	CCOC(=O)/C(=C\C1=CC=CC=C1)C(O)C1=CC=C(C)C=C1	Compound 72	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C19H20O3/c1-3-22-19(21)17(13-15-7-5-4-6-8-15)18(20)16-11-9-14(2)10-12-16/h4-13,18,20H,3H2,1-2H3/b17-13-	UVYDBIBSCXIZOO-LGMDPLHJSA-N	UVYDBIBSCXIZOO-LGMDPLHJSA-N	CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(C)C=C1	TRUE
UALIB-631	CCCCCC(O)/C(=C/C1=CC=C(F)C=C1)C(=O)OCC	Compound 73	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C17H23FO3/c1-3-5-6-7-16(19)15(17(20)21-4-2)12-13-8-10-14(18)11-9-13/h8-12,16,19H,3-7H2,1-2H3/b15-12-	PCULOKXYBSVMDO-QINSGFPZSA-N	PCULOKXYBSVMDO-QINSGFPZSA-N	CCCCCC(O)C(=C\C1=CC=C(F)C=C1)\C(=O)OCC	TRUE
UALIB-632	CCCCCC(O)/C(=C/C1=C(C)C=CC=C1)C(=O)OCC	Compound 74	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C18H26O3/c1-4-6-7-12-17(19)16(18(20)21-5-2)13-15-11-9-8-10-14(15)3/h8-11,13,17,19H,4-7,12H2,1-3H3/b16-13-	GIHDRIKOWKAWLP-SSZFMOIBSA-N	GIHDRIKOWKAWLP-SSZFMOIBSA-N	CCCCCC(O)C(=C\C1=C(C)C=CC=C1)\C(=O)OCC	TRUE
UALIB-633	CCCCCC(O)/C(=C/C1=CC=CC=C1)C(=O)OCC	Compound 75	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C17H24O3/c1-3-5-7-12-16(18)15(17(19)20-4-2)13-14-10-8-6-9-11-14/h6,8-11,13,16,18H,3-5,7,12H2,1-2H3/b15-13-	YDDBNRMDGPXBHP-SQFISAMPSA-N	YDDBNRMDGPXBHP-SQFISAMPSA-N	CCCCCC(O)C(=C\C1=CC=CC=C1)\C(=O)OCC	TRUE
UALIB-634	CCCCCC/C=C(\C(=O)OCC)C(O)C1=CC=CC=C1	Compound 76	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C18H26O3/c1-3-5-6-7-11-14-16(18(20)21-4-2)17(19)15-12-9-8-10-13-15/h8-10,12-14,17,19H,3-7,11H2,1-2H3/b16-14-	WXFAZFIEBMLHMI-PEZBUJJGSA-N	WXFAZFIEBMLHMI-PEZBUJJGSA-N	CCCCCC\C=C(\C(O)C1=CC=CC=C1)C(=O)OCC	TRUE
UALIB-635	CCCCCC/C=C(\C(=O)OCC)C(O)CCCCC	Compound 77	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C17H32O3/c1-4-7-9-10-12-13-15(17(19)20-6-3)16(18)14-11-8-5-2/h13,16,18H,4-12,14H2,1-3H3/b15-13-	ZAWQFEQLYVVYGM-SQFISAMPSA-N	ZAWQFEQLYVVYGM-SQFISAMPSA-N	CCCCCC\C=C(\C(O)CCCCC)C(=O)OCC	TRUE
UALIB-636	CCOC(=O)/C(=C(/C)C1=C(C)C=CC=C1)C(O)C1=CC=CC=C1.CCOC(=O)/C(=C(\C)C1=CC=CC=C1C)C(O)C1=CC=CC=C1	Compound 79 E/Z	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/2C20H22O3/c2*1-4-23-20(22)18(19(21)16-11-6-5-7-12-16)15(3)17-13-9-8-10-14(17)2/h2*5-13,19,21H,4H2,1-3H3/b18-15+;18-15-	CGVXFYVVZLHPKL-WNOMTAPNSA-N	CGVXFYVVZLHPKL-WNOMTAPNSA-N	CCOC(=O)C(\C(O)C1=CC=CC=C1)=C(/C)C1=CC=CC=C1C.CCOC(=O)C(\C(O)C1=CC=CC=C1)=C(\C)C1=C(C)C=CC=C1	TRUE
UALIB-637	CCOC(=O)/C(=C\C1=CC=CC=C1)[Si](C)(C)C	Compound 91	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	InChI=1S/C14H20O2Si/c1-5-16-14(15)13(17(2,3)4)11-12-9-7-6-8-10-12/h6-11H,5H2,1-4H3/b13-11+	PDRXVXWZQRHOLX-ACCUITESSA-N	PDRXVXWZQRHOLX-ACCUITESSA-N	CCOC(=O)C(=C/C1=CC=CC=C1)\[Si](C)(C)C	TRUE
