DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2880	CN1C(C(O)(/C=C/C2=CC=CC=C2)C2=CC=CC=C2)=CN=C1Cl	99a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C19H17ClN2O/c1-22-17(14-21-18(22)20)19(23,16-10-6-3-7-11-16)13-12-15-8-4-2-5-9-15/h2-14,23H,1H3/b13-12+	AKSFJXCUMHAJKP-OUKQBFOZSA-N	AKSFJXCUMHAJKP-OUKQBFOZSA-N	[H]\C(=C(\[H])C(O)(C1=CN=C(Cl)N1C)C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2881	CN1C(C(O)(/C=C/C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)=CN=C1Cl	99b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C19H15Cl3N2O/c1-24-17(12-23-18(24)22)19(25,14-4-8-16(21)9-5-14)11-10-13-2-6-15(20)7-3-13/h2-12,25H,1H3/b11-10+	YIJBWWPYVBQXBM-ZHACJKMWSA-N	YIJBWWPYVBQXBM-ZHACJKMWSA-N	[H]\C(=C(\[H])C(O)(C1=CN=C(Cl)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	TRUE
UALIB-2882	CN1C=C(C(O)(/C=C/C2=CC=CC=C2)C2=CC=CC=C2)N(C)C1=S	119a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C20H20N2OS/c1-21-15-18(22(2)19(21)24)20(23,17-11-7-4-8-12-17)14-13-16-9-5-3-6-10-16/h3-15,23H,1-2H3/b14-13+	VRAVECHBJJXDAU-BUHFOSPRSA-N	VRAVECHBJJXDAU-BUHFOSPRSA-N	[H]\C(=C(\[H])C(O)(C1=CN(C)C(=S)N1C)C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2883	CN1C=C(C(O)(/C=C/C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)N(C)C1=S	119b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C20H18Cl2N2OS/c1-23-13-18(24(2)19(23)26)20(25,15-5-9-17(22)10-6-15)12-11-14-3-7-16(21)8-4-14/h3-13,25H,1-2H3/b12-11+	OHVYVJVDTCFFPC-VAWYXSNFSA-N	OHVYVJVDTCFFPC-VAWYXSNFSA-N	[H]\C(=C(\[H])C(O)(C1=CN(C)C(=S)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	TRUE
UALIB-2884	CC(C)N1C=C(C(O)(/C=C/C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)N(C)C1=S	119c	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C22H22Cl2N2OS/c1-15(2)26-14-20(25(3)21(26)28)22(27,17-6-10-19(24)11-7-17)13-12-16-4-8-18(23)9-5-16/h4-15,27H,1-3H3/b13-12+	SSVHBSGRPHRNOE-OUKQBFOZSA-N	SSVHBSGRPHRNOE-OUKQBFOZSA-N	[H]\C(=C(\[H])C(O)(C1=CN(C(C)C)C(=S)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	TRUE
UALIB-2885	CC1=CC(C)=C(N2C=C(C(O)(/C=C/C3=CC=C(Cl)C=C3)C3=CC=C(Cl)C=C3)N(C3=C(C)C=C(C)C=C3C)C2=S)C(C)=C1	119d	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C36H34Cl2N2OS/c1-22-17-24(3)33(25(4)18-22)39-21-32(40(35(39)42)34-26(5)19-23(2)20-27(34)6)36(41,29-9-13-31(38)14-10-29)16-15-28-7-11-30(37)12-8-28/h7-21,41H,1-6H3/b16-15+	YNSWMLZTMITQDC-FOCLMDBBSA-N	YNSWMLZTMITQDC-FOCLMDBBSA-N	CC1=CC(C)=C(N2C=C(N(C2=S)C2=C(C)C=C(C)C=C2C)C(O)(\C=C\C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C(C)=C1	TRUE
UALIB-2886	CC(C)(C)N1C=C(C(CC(=O)C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)N(C(C)(C)C)C1=S	121	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C26H30Cl2N2OS/c1-25(2,3)29-16-22(30(24(29)32)26(4,5)6)21(17-7-11-19(27)12-8-17)15-23(31)18-9-13-20(28)14-10-18/h7-14,16,21H,15H2,1-6H3	HLLSXUVXRTTXKB-UHFFFAOYSA-N	HLLSXUVXRTTXKB-UHFFFAOYSA-N	[H]C(CC(=O)C1=CC=C(Cl)C=C1)(C1=CN(C(=S)N1C(C)(C)C)C(C)(C)C)C1=CC=C(Cl)C=C1	TRUE
UALIB-2887	CN1C2=C(C3=CC=CC=C3)CC(C3=CC=CC=C3)=C2N(C)C1=S	122a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C20H18N2S/c1-21-18-16(14-9-5-3-6-10-14)13-17(15-11-7-4-8-12-15)19(18)22(2)20(21)23/h3-12H,13H2,1-2H3	UGROGFBXEXBTQJ-UHFFFAOYSA-N	UGROGFBXEXBTQJ-UHFFFAOYSA-N	[H]C1([H])C(=C2N(C)C(=S)N(C)C2=C1C1=CC=CC=C1)C1=CC=CC=C1	TRUE
UALIB-2888	CN1C2=C(C3=CC=C(Cl)C=C3)CC(C3=CC=C(Cl)C=C3)=C2N(C)C1=S	122b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C20H16Cl2N2S/c1-23-18-16(12-3-7-14(21)8-4-12)11-17(19(18)24(2)20(23)25)13-5-9-15(22)10-6-13/h3-10H,11H2,1-2H3	WIWIUONIDWIRHB-UHFFFAOYSA-N	WIWIUONIDWIRHB-UHFFFAOYSA-N	[H]C1([H])C(=C2N(C)C(=S)N(C)C2=C1C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	TRUE
UALIB-2889	CC1=CC(C)=C(N2C3=C(C4=CC=C(Cl)C=C4)CC(C4=CC=C(Cl)C=C4)=C3N(C3=C(C)C=C(C)C=C3C)C2=S)C(C)=C1	122c	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	InChI=1S/C36H32Cl2N2S/c1-20-15-22(3)32(23(4)16-20)39-34-30(26-7-11-28(37)12-8-26)19-31(27-9-13-29(38)14-10-27)35(34)40(36(39)41)33-24(5)17-21(2)18-25(33)6/h7-18H,19H2,1-6H3	FCICIJCTNMNNIF-UHFFFAOYSA-N	FCICIJCTNMNNIF-UHFFFAOYSA-N	CC1=CC(C)=C(N2C(=S)N(C3=C(CC(=C23)C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C2=C(C)C=C(C)C=C2C)C(C)=C1	TRUE
