DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1023	C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.FC(F)(F)C1(C(F)(F)F)CN2C=CN3CC(C(F)(F)F)(C(F)(F)F)O[Ru](=C23)O1	ruthenium complex 56	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/2C18H15P.C11H6F12N2O2.Ru/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-8(13,14)6(26,9(15,16)17)3-24-1-2-25(5-24)4-7(27,10(18,19)20)11(21,22)23;/h2*1-15H;1-2H,3-4H2;/q;;-2;+2	MAVYSTUNWBUQJS-UHFFFAOYSA-N	MAVYSTUNWBUQJS-UHFFFAOYSA-N	C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C=CN3CC(O[Ru](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1024	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.FC(F)(F)C1(C(F)(F)F)CN2C=CN3CC(C(F)(F)F)(C(F)(F)F)O[Ru](=CC4=CC=CC=C4)(=C23)O1	ruthenium alkylidene 59	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H33P.C11H6F12N2O2.C7H6.Ru/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-8(13,14)6(26,9(15,16)17)3-24-1-2-25(5-24)4-7(27,10(18,19)20)11(21,22)23;1-7-5-3-2-4-6-7;/h16-18H,1-15H2;1-2H,3-4H2;1-6H;/q;-2;;+2	AHMHBNHPZURXLH-UHFFFAOYSA-N	AHMHBNHPZURXLH-UHFFFAOYSA-N	C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C=CN3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1025	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.FC(F)(F)C1(C(F)(F)F)CN2C(Cl)=C(Cl)N3CC(C(F)(F)F)(C(F)(F)F)O[Ru](=CC4=CC=CC=C4)(=C23)O1	ruthenium alkylidene 60	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H33P.C11H4Cl2F12N2O2.C7H6.Ru/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-4-5(13)27(2-7(29,10(20,21)22)11(23,24)25)3-26(4)1-6(28,8(14,15)16)9(17,18)19;1-7-5-3-2-4-6-7;/h16-18H,1-15H2;1-2H2;1-6H;/q;-2;;+2	GZBIRAAGZUGHQJ-UHFFFAOYSA-N	GZBIRAAGZUGHQJ-UHFFFAOYSA-N	C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1026	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.FC(F)(F)C1(C(F)(F)F)CN2C(C3=CC=CC=C3)=C(C3=CC=CC=C3)N3CC(C(F)(F)F)(C(F)(F)F)O[Ru](=CC4=CC=CC=C4)(=C23)O1	ruthenium alkylidene 61	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C23H14F12N2O2.C18H33P.C7H6.Ru/c24-20(25,26)18(38,21(27,28)29)11-36-13-37(12-19(39,22(30,31)32)23(33,34)35)17(15-9-5-2-6-10-15)16(36)14-7-3-1-4-8-14;1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;1-7-5-3-2-4-6-7;/h1-10H,11-12H2;16-18H,1-15H2;1-6H;/q-2;;;+2	OMWWYTYWQUVNEK-UHFFFAOYSA-N	OMWWYTYWQUVNEK-UHFFFAOYSA-N	C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C(=C(N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C1=CC=CC=C1)C(F)(F)F	TRUE
UALIB-1027	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.FC(F)(F)C1(C(F)(F)F)CN2C3=[Ru](=CC4=CC=CC=C4)(O1)OC(C(F)(F)F)(C(F)(F)F)CN3C1=CC=CC=C12	ruthenium alkylidene 62	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H33P.C15H8F12N2O2.C7H6.Ru/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;16-12(17,18)10(30,13(19,20)21)5-28-7-29(9-4-2-1-3-8(9)28)6-11(31,14(22,23)24)15(25,26)27;1-7-5-3-2-4-6-7;/h16-18H,1-15H2;1-4H,5-6H2;1-6H;/q;-2;;+2	MITUAVTYHSMQAD-UHFFFAOYSA-N	MITUAVTYHSMQAD-UHFFFAOYSA-N	C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C3=CC=CC=C3N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1028	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.FC(F)(F)C1(C(F)(F)F)CN2C=NN3CC(C(F)(F)F)(C(F)(F)F)O[Ru](=CC4=CC=CC=C4)(=C23)O1	ruthenium alkylidene 63	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H33P.C10H5F12N3O2.C7H6.Ru/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;11-7(12,13)5(26,8(14,15)16)1-24-3-23-25(4-24)2-6(27,9(17,18)19)10(20,21)22;1-7-5-3-2-4-6-7;/h16-18H,1-15H2;3H,1-2H2;1-6H;/q;-2;;+2	VFGJPMDGSONKPN-UHFFFAOYSA-N	VFGJPMDGSONKPN-UHFFFAOYSA-N	C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C=NN3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1029	C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.FC(F)(F)C1(C(F)(F)F)CN2C=CN3CC(C(F)(F)F)(C(F)(F)F)O[Fe](=C23)O1	iron complex 65	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/2C18H15P.C11H6F12N2O2.Fe/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-8(13,14)6(26,9(15,16)17)3-24-1-2-25(5-24)4-7(27,10(18,19)20)11(21,22)23;/h2*1-15H;1-2H,3-4H2;/q;;-2;+2	DJUBRGAOMUYNEB-UHFFFAOYSA-N	DJUBRGAOMUYNEB-UHFFFAOYSA-N	C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C=CN3CC(O[Fe](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1030	C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.FC(F)(F)C1(C(F)(F)F)CN2C(Cl)=C(Cl)N3CC(C(F)(F)F)(C(F)(F)F)O[Fe](=C23)O1	iron complex 66	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/2C18H15P.C11H4Cl2F12N2O2.Fe/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-4-5(13)27(2-7(29,10(20,21)22)11(23,24)25)3-26(4)1-6(28,8(14,15)16)9(17,18)19;/h2*1-15H;1-2H2;/q;;-2;+2	GPIDHFLTFUCDJD-UHFFFAOYSA-N	GPIDHFLTFUCDJD-UHFFFAOYSA-N	C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Fe](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1031	C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.FC(F)(F)C1(C(F)(F)F)CN2C(Cl)=C(Cl)N3CC(C(F)(F)F)(C(F)(F)F)O[Fe](=CC4=CC=CC=C4)(=C23)O1	iron alkylidene 68	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H15P.C11H4Cl2F12N2O2.C7H6.Fe/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;12-4-5(13)27(2-7(29,10(20,21)22)11(23,24)25)3-26(4)1-6(28,8(14,15)16)9(17,18)19;1-7-5-3-2-4-6-7;/h1-15H;1-2H2;1-6H;/q;-2;;+2	IUGHIRSLWBOOED-UHFFFAOYSA-N	IUGHIRSLWBOOED-UHFFFAOYSA-N	C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Fe](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	TRUE
UALIB-1032	CC1=C(C)N(C)[C]N1C.FC(F)(F)C1(C(F)(F)F)O[Si]2(OC(C(F)(F)F)(C(F)(F)F)C3=C2C=CC=C3)C2=C1C=CC=C2	spirosilane 37	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	InChI=1S/C18H8F12O2Si.C7H12N2/c19-15(20,21)13(16(22,23)24)9-5-1-3-7-11(9)33(31-13)12-8-4-2-6-10(12)14(32-33,17(25,26)27)18(28,29)30;1-6-7(2)9(4)5-8(6)3/h1-8H;1-4H3	JKZDIDBJPHJMBJ-UHFFFAOYSA-N	JKZDIDBJPHJMBJ-UHFFFAOYSA-N	CN1[C]N(C)C(C)=C1C.FC(F)(F)C1(O[Si]2(OC(C3=C2C=CC=C3)(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)C(F)(F)F |c:6,18,21,23,34,37,39,^3:2|	TRUE
