DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-719	BrCC(Br)C1=CC=C(Br)C=C1	Compound 1	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C8H7Br3/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,8H,5H2	NRUIEVHCKHZAHT-UHFFFAOYSA-N	NRUIEVHCKHZAHT-UHFFFAOYSA-N	BrCC(Br)C1=CC=C(Br)C=C1	TRUE
UALIB-720	C#CC1=CC=C(Br)C=C1	Compound 2	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C8H5Br/c1-2-7-3-5-8(9)6-4-7/h1,3-6H	LTLVZQZDXQWLHU-UHFFFAOYSA-N	LTLVZQZDXQWLHU-UHFFFAOYSA-N	BrC1=CC=C(C=C1)C#C	TRUE
UALIB-721	CC1=CC=C(S(=O)(=O)/C=C(/I)C2=CC=C(Br)C=C2)C=C1	Compound 3	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C15H12BrIO2S/c1-11-2-8-14(9-3-11)20(18,19)10-15(17)12-4-6-13(16)7-5-12/h2-10H,1H3/b15-10+	ADMVPSHVFMPIEZ-XNTDXEJSSA-N	ADMVPSHVFMPIEZ-XNTDXEJSSA-N	CC1=CC=C(C=C1)S(=O)(=O)\C=C(\I)C1=CC=C(Br)C=C1	TRUE
UALIB-722	CC1=CC=C(S(=O)(=O)C#CC2=CC=C(Br)C=C2)C=C1	Compound 4	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C15H11BrO2S/c1-12-2-8-15(9-3-12)19(17,18)11-10-13-4-6-14(16)7-5-13/h2-9H,1H3	NYGGYXNHEOZGCQ-UHFFFAOYSA-N	NYGGYXNHEOZGCQ-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)C#CC1=CC=C(Br)C=C1	TRUE
UALIB-723	CC1=CC=C(S(=O)(=O)C2=C(C3=CC=C(Br)C=C3)C3C=CC2C3)C=C1	4-BrPh-N-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C20H17BrO2S/c1-13-2-10-18(11-3-13)24(22,23)20-16-5-4-15(12-16)19(20)14-6-8-17(21)9-7-14/h2-11,15-16H,12H2,1H3	XVMYPIWWGZMGMX-UHFFFAOYSA-N	XVMYPIWWGZMGMX-UHFFFAOYSA-N	CC1=CC=C(C=C1)S(=O)(=O)C1=C(C2CC1C=C2)C1=CC=C(Br)C=C1	TRUE
UALIB-724	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1	Compound 5	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C14H15NO2/c1-16-13-7-3-11(4-8-13)15-12-5-9-14(17-2)10-6-12/h3-10,15H,1-2H3	VCOONNWIINSFBA-UHFFFAOYSA-N	VCOONNWIINSFBA-UHFFFAOYSA-N	COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1	TRUE
UALIB-725	COC1=CC=C(N(C(C)=O)C2=CC=C(N(C3=CC=C(OC)C=C3)C3=CC=C(OC)C=C3)C=C2)C=C1	Compound 6	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C29H28N2O4/c1-21(32)30(23-9-15-27(33-2)16-10-23)22-5-7-24(8-6-22)31(25-11-17-28(34-3)18-12-25)26-13-19-29(35-4)20-14-26/h5-20H,1-4H3	XLMORSDAOOIXTL-UHFFFAOYSA-N	XLMORSDAOOIXTL-UHFFFAOYSA-N	COC1=CC=C(C=C1)N(C(C)=O)C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	TRUE
UALIB-726	COC1=CC=C(NC2=CC=C(N(C3=CC=C(OC)C=C3)C3=CC=C(OC)C=C3)C=C2)C=C1	Compound 7	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C27H26N2O3/c1-30-25-14-6-21(7-15-25)28-20-4-8-22(9-5-20)29(23-10-16-26(31-2)17-11-23)24-12-18-27(32-3)19-13-24/h4-19,28H,1-3H3	AUUPCARFKACPJG-UHFFFAOYSA-N	AUUPCARFKACPJG-UHFFFAOYSA-N	COC1=CC=C(NC2=CC=C(C=C2)N(C2=CC=C(OC)C=C2)C2=CC=C(OC)C=C2)C=C1	TRUE
UALIB-727	COC1=CC=C(N(C2=CC=C(OC)C=C2)C2=CC=C(C3=C(S(=O)(=O)C4=CC=C(C)C=C4)C4C=CC3C4)C=C2)C=C1	AA-N-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C34H31NO4S/c1-23-4-20-32(21-5-23)40(36,37)34-26-7-6-25(22-26)33(34)24-8-10-27(11-9-24)35(28-12-16-30(38-2)17-13-28)29-14-18-31(39-3)19-15-29/h4-21,25-26H,22H2,1-3H3	CNQIPPIOZUAQMF-UHFFFAOYSA-N	CNQIPPIOZUAQMF-UHFFFAOYSA-N	COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C1=C(C2CC1C=C2)S(=O)(=O)C1=CC=C(C)C=C1	TRUE
UALIB-728	COC1=CC=C(N(C2=CC=C(OC)C=C2)C2=CC=C(C34C5CC6C(C53)C64S(=O)(=O)C3=CC=C(C)C=C3)C=C2)C=C1	AA-Q-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	InChI=1S/C34H31NO4S/c1-21-4-18-28(19-5-21)40(36,37)34-30-20-29-31(32(30)34)33(29,34)22-6-8-23(9-7-22)35(24-10-14-26(38-2)15-11-24)25-12-16-27(39-3)17-13-25/h4-19,29-32H,20H2,1-3H3	SYJSYCBUCGNYGT-UHFFFAOYSA-N	SYJSYCBUCGNYGT-UHFFFAOYSA-N	COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C12C3CC4C(C13)C24S(=O)(=O)C1=CC=C(C)C=C1	TRUE
