DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-743	C=CC[C@@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)O[Si](CC)(CC)CC	(S)-7-Allyl-9,9-diethyl-2,2-dimethyl-3,3-diphenyl-4,8-dioxa-3,9-disilaundecane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C28H44O2Si2/c1-8-18-25(30-31(9-2,10-3)11-4)23-24-29-32(28(5,6)7,26-19-14-12-15-20-26)27-21-16-13-17-22-27/h8,12-17,19-22,25H,1,9-11,18,23-24H2,2-7H3/t25-/m0/s1	SCUDZGJRKMSJSA-VWLOTQADSA-N	SCUDZGJRKMSJSA-VWLOTQADSA-N	CC[Si](CC)(CC)O[C@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)CC=C	TRUE
UALIB-744	CC[Si](CC)(CC)O[C@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)CC(C)=O	(R)-6-((tert-Butyldiphenylsilyl)oxy)-4-((triethylsilyl)oxy)hexan-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C28H44O3Si2/c1-8-32(9-2,10-3)31-25(23-24(4)29)21-22-30-33(28(5,6)7,26-17-13-11-14-18-26)27-19-15-12-16-20-27/h11-20,25H,8-10,21-23H2,1-7H3/t25-/m1/s1	PVTQJKIQUZHJCD-RUZDIDTESA-N	PVTQJKIQUZHJCD-RUZDIDTESA-N	CC[Si](CC)(CC)O[C@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)CC(C)=O	TRUE
UALIB-745	CC(=O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	(R)-6-((tert-Butyldiphenylsilyl)oxy)-4-hydroxyhexan-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C22H30O3Si/c1-18(23)17-19(24)15-16-25-26(22(2,3)4,20-11-7-5-8-12-20)21-13-9-6-10-14-21/h5-14,19,24H,15-17H2,1-4H3/t19-/m1/s1	UJDVEWVSZRPJMG-LJQANCHMSA-N	UJDVEWVSZRPJMG-LJQANCHMSA-N	CC(=O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-746	C[C@H](O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	(2S,4R)-6-((tert-Butyldiphenylsilyl)oxy)hexane-2,4-diol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C22H32O3Si/c1-18(23)17-19(24)15-16-25-26(22(2,3)4,20-11-7-5-8-12-20)21-13-9-6-10-14-21/h5-14,18-19,23-24H,15-17H2,1-4H3/t18-,19+/m0/s1	IGWZBTCIRDFFIL-RBUKOAKNSA-N	IGWZBTCIRDFFIL-RBUKOAKNSA-N	C[C@H](O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-747	COCO[C@@H](C)C[C@@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)OCOC	(5S,7R)-7-(Methoxymethoxy)-5,12,12-trimethyl-11,11-diphenyl-2,4,10-trioxa-11-silatridecane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C26H40O5Si/c1-22(29-20-27-5)19-23(30-21-28-6)17-18-31-32(26(2,3)4,24-13-9-7-10-14-24)25-15-11-8-12-16-25/h7-16,22-23H,17-21H2,1-6H3/t22-,23+/m0/s1	QOGITJFXWAVHNE-XZOQPEGZSA-N	QOGITJFXWAVHNE-XZOQPEGZSA-N	COCO[C@@H](C)C[C@@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)OCOC	TRUE
UALIB-748	COCO[C@@H](C)C[C@@H](CCO)OCOC	(3R,5S)-3,5-bis(Methoxymethoxy)hexan-1-ol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C10H22O5/c1-9(14-7-12-2)6-10(4-5-11)15-8-13-3/h9-11H,4-8H2,1-3H3/t9-,10+/m0/s1	IEVXMAJSIRTHKJ-VHSXEESVSA-N	IEVXMAJSIRTHKJ-VHSXEESVSA-N	COCO[C@@H](C)C[C@@H](CCO)OCOC	TRUE
UALIB-749	COCO[C@@H](C)C[C@@H](CC=O)OCOC	(3S,5S)-3,5-bis(Methoxymethoxy)hexanal	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C10H20O5/c1-9(14-7-12-2)6-10(4-5-11)15-8-13-3/h5,9-10H,4,6-8H2,1-3H3/t9-,10+/m0/s1	CTPNBIMNXMNRSJ-VHSXEESVSA-N	CTPNBIMNXMNRSJ-VHSXEESVSA-N	[H]C(=O)C[C@H](C[C@H](C)OCOC)OCOC	TRUE
UALIB-750	C=CC[C@@H](O)C[C@H](C[C@H](C)OCOC)OCOC	(4R,6R,8S)-6,8-bis(Methoxymethoxy)non-1-en-4-ol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C13H26O5/c1-5-6-12(14)8-13(18-10-16-4)7-11(2)17-9-15-3/h5,11-14H,1,6-10H2,2-4H3/t11-,12+,13-/m0/s1	UVYIDBIQPTVZCG-XQQFMLRXSA-N	UVYIDBIQPTVZCG-XQQFMLRXSA-N	COCO[C@@H](C)C[C@@H](C[C@H](O)CC=C)OCOC	TRUE
UALIB-751	COCO[C@@H](C)C[C@@H](C[C@H](O)C/C=C/C(=O)OC)OCOC	(5R,7R,9S,E)-Methyl 5-hydroxy-7,9-bis(methoxymethoxy)dec-2-enoate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C15H28O7/c1-12(21-10-18-2)8-14(22-11-19-3)9-13(16)6-5-7-15(17)20-4/h5,7,12-14,16H,6,8-11H2,1-4H3/b7-5+/t12-,13+,14-/m0/s1	XDSDLVNMGPFBNS-RTBFPQRFSA-N	XDSDLVNMGPFBNS-RTBFPQRFSA-N	COCO[C@@H](C)C[C@@H](C[C@H](O)C\C=C\C(=O)OC)OCOC	TRUE
UALIB-752	COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](CC(=O)OC)O[C@@H](C2=CC=CC=C2)O1)OCOC	Methyl 2-((2S,4S,6S)-6-((2S,4S)-2,4-bis(methoxymethoxy)pentyl)-2-phenyl-1,3-dioxan-4-yl)acetate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	InChI=1S/C22H34O8/c1-16(27-14-24-2)10-18(28-15-25-3)11-19-12-20(13-21(23)26-4)30-22(29-19)17-8-6-5-7-9-17/h5-9,16,18-20,22H,10-15H2,1-4H3/t16-,18-,19-,20-,22-/m0/s1	ZIILOHIXPVWIAD-OYJIISJGSA-N	ZIILOHIXPVWIAD-OYJIISJGSA-N	COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](CC(=O)OC)O[C@H](O1)C1=CC=CC=C1)OCOC	TRUE
