DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-900	O=NC1=CC=C(Br)C=C1	p-Br-nitrosobenzene	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C6H4BrNO/c7-5-1-3-6(8-9)4-2-5/h1-4H	KEBOFPCXLHRSEG-UHFFFAOYSA-N	KEBOFPCXLHRSEG-UHFFFAOYSA-N	BrC1=CC=C(C=C1)N=O	TRUE
UALIB-901	BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1	p-Br-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C12H9BrN2/c13-10-6-8-12(9-7-10)15-14-11-4-2-1-3-5-11/h1-9H/b15-14+	SVJSEJOASMWXGQ-CCEZHUSRSA-N	SVJSEJOASMWXGQ-CCEZHUSRSA-N	BrC1=CC=C(C=C1)\N=N\C1=CC=CC=C1	TRUE
UALIB-902	COC1=CC=C(N(C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)C2=CC=C(OC)C=C2)C=C1	pAA-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C26H23N3O2/c1-30-25-16-12-23(13-17-25)29(24-14-18-26(31-2)19-15-24)22-10-8-21(9-11-22)28-27-20-6-4-3-5-7-20/h3-19H,1-2H3/b28-27+	WIULIUSUAVALJO-BYYHNAKLSA-N	WIULIUSUAVALJO-BYYHNAKLSA-N	COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)\N=N\C1=CC=CC=C1	TRUE
UALIB-903	COC1=CC=C(/N=N/C2=CC=C(Br)C=C2)C=C1	p-Br-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C13H11BrN2O/c1-17-13-8-6-12(7-9-13)16-15-11-4-2-10(14)3-5-11/h2-9H,1H3/b16-15+	IIOGSSUNUYQYJQ-FOCLMDBBSA-N	IIOGSSUNUYQYJQ-FOCLMDBBSA-N	COC1=CC=C(C=C1)\N=N\C1=CC=C(Br)C=C1	TRUE
UALIB-904	COC1=CC=C(/N=N/C2=CC=C(N(C3=CC=C(OC)C=C3)C3=CC=C(OC)C=C3)C=C2)C=C1	pAA-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C27H25N3O3/c1-31-25-14-6-21(7-15-25)29-28-20-4-8-22(9-5-20)30(23-10-16-26(32-2)17-11-23)24-12-18-27(33-3)19-13-24/h4-19H,1-3H3/b29-28+	OJHGNXVTWNXTMA-ZQHSETAFSA-N	OJHGNXVTWNXTMA-ZQHSETAFSA-N	COC1=CC=C(C=C1)\N=N\C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	TRUE
UALIB-905	O=NC1=CC=CC(Br)=C1	m-Bromo-nitrosobenzene	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C6H4BrNO/c7-5-2-1-3-6(4-5)8-9/h1-4H	RHIKGCGTJHKUGB-UHFFFAOYSA-N	RHIKGCGTJHKUGB-UHFFFAOYSA-N	BrC1=CC(=CC=C1)N=O	TRUE
UALIB-906	BrC1=CC=CC(/N=N/C2=CC=CC=C2)=C1	mBr-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C12H9BrN2/c13-10-5-4-8-12(9-10)15-14-11-6-2-1-3-7-11/h1-9H/b15-14+	FMNSVCUNXLMOSA-CCEZHUSRSA-N	FMNSVCUNXLMOSA-CCEZHUSRSA-N	BrC1=CC=CC(=C1)\N=N\C1=CC=CC=C1	TRUE
UALIB-907	COC1=CC=C(/N=N/C2=CC(Br)=CC=C2)C=C1	mBr-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C13H11BrN2O/c1-17-13-7-5-11(6-8-13)15-16-12-4-2-3-10(14)9-12/h2-9H,1H3/b16-15+	QCRMYCJHEMBMKR-FOCLMDBBSA-N	QCRMYCJHEMBMKR-FOCLMDBBSA-N	COC1=CC=C(C=C1)\N=N\C1=CC(Br)=CC=C1	TRUE
UALIB-908	COC1=CC=C(N(C2=CC=C(OC)C=C2)C2=CC=CC(/N=N/C3=CC=CC=C3)=C2)C=C1	mAA-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C26H23N3O2/c1-30-25-15-11-22(12-16-25)29(23-13-17-26(31-2)18-14-23)24-10-6-9-21(19-24)28-27-20-7-4-3-5-8-20/h3-19H,1-2H3/b28-27+	BLJPJDJJVQAKOU-BYYHNAKLSA-N	BLJPJDJJVQAKOU-BYYHNAKLSA-N	COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=CC(=C1)\N=N\C1=CC=CC=C1	TRUE
UALIB-909	COC1=CC=C(/N=N/C2=CC(N(C3=CC=C(OC)C=C3)C3=CC=C(OC)C=C3)=CC=C2)C=C1	mAA-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	InChI=1S/C27H25N3O3/c1-31-25-13-7-20(8-14-25)28-29-21-5-4-6-24(19-21)30(22-9-15-26(32-2)16-10-22)23-11-17-27(33-3)18-12-23/h4-19H,1-3H3/b29-28+	VQUYEOGIAPLVTI-ZQHSETAFSA-N	VQUYEOGIAPLVTI-ZQHSETAFSA-N	COC1=CC=C(C=C1)\N=N\C1=CC(=CC=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	TRUE
