DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-2342	O=C(COCC(=O)OC1=CC=CC=C1)OC1=CC=CC=C1	1.3	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C16H14O5/c17-15(20-13-7-3-1-4-8-13)11-19-12-16(18)21-14-9-5-2-6-10-14/h1-10H,11-12H2	WGNUGGXDKLEYJI-UHFFFAOYSA-N	WGNUGGXDKLEYJI-UHFFFAOYSA-N	O=C(COCC(=O)OC1=CC=CC=C1)OC1=CC=CC=C1	TRUE
UALIB-2343	CC(C)(C)C(=O)OCC(=O)OC1=CC=CC=C1	1.4	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C13H16O4/c1-13(2,3)12(15)16-9-11(14)17-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3	SXZRXKWKSLHRAQ-UHFFFAOYSA-N	SXZRXKWKSLHRAQ-UHFFFAOYSA-N	CC(C)(C)C(=O)OCC(=O)OC1=CC=CC=C1	TRUE
UALIB-2344	CCOC(=O)COC(=O)C(C)(C)C.CCOC(=O)COC(=O)CC1=CC=CC=C1	1.12 and 1.13	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C12H14O4.C9H16O4/c1-2-15-12(14)9-16-11(13)8-10-6-4-3-5-7-10;1-5-12-7(10)6-13-8(11)9(2,3)4/h3-7H,2,8-9H2,1H3;5-6H2,1-4H3	FJTLUZRRWYGHCZ-UHFFFAOYSA-N	FJTLUZRRWYGHCZ-UHFFFAOYSA-N	CCOC(=O)COC(=O)C(C)(C)C.CCOC(=O)COC(=O)CC1=CC=CC=C1	TRUE
UALIB-2345	CCOC(=O)C[N+](CC)(CC)CC	1.14	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C10H22NO2/c1-5-11(6-2,7-3)9-10(12)13-8-4/h5-9H2,1-4H3/q+1	XMZQSPDXLBGLAX-UHFFFAOYSA-N	XMZQSPDXLBGLAX-UHFFFAOYSA-N	CCOC(=O)C[N+](CC)(CC)CC	TRUE
UALIB-2346	COCOC1=CC=C(C=O)C(O[Si](C)(C)C(C)(C)C)=C1	2.7	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C15H24O4Si/c1-15(2,3)20(5,6)19-14-9-13(18-11-17-4)8-7-12(14)10-16/h7-10H,11H2,1-6H3	FNYHZOBYVLYEKP-UHFFFAOYSA-N	FNYHZOBYVLYEKP-UHFFFAOYSA-N	COCOC1=CC=C(C=O)C(O[Si](C)(C)C(C)(C)C)=C1	TRUE
UALIB-2347	C=COCOCCOC	2.7b	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C6H12O3/c1-3-8-6-9-5-4-7-2/h3H,1,4-6H2,2H3	LLZNLEKQNPWEKB-UHFFFAOYSA-N	LLZNLEKQNPWEKB-UHFFFAOYSA-N	COCCOCOC=C	TRUE
UALIB-2348	C=C[C@H](OCOCCOC)[C@@H](O)C1=CC=C(OCOC)C=C1O[Si](C)(C)C(C)(C)C	2.8	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C22H38O7Si/c1-9-19(28-16-26-13-12-24-5)21(23)18-11-10-17(27-15-25-6)14-20(18)29-30(7,8)22(2,3)4/h9-11,14,19,21,23H,1,12-13,15-16H2,2-8H3/t19-,21-/m0/s1	KHLOTPXNQKNDRA-FPOVZHCZSA-N	KHLOTPXNQKNDRA-FPOVZHCZSA-N	COCCOCO[C@@H](C=C)[C@@H](O)C1=CC=C(OCOC)C=C1O[Si](C)(C)C(C)(C)C	TRUE
UALIB-2349	COC1=CC(OC)=C(/C=C/C=O)C(OC)=C1	2.34	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C12H14O4/c1-14-9-7-11(15-2)10(5-4-6-13)12(8-9)16-3/h4-8H,1-3H3/b5-4+	ZHRKDNDVZCPRBF-SNAWJCMRSA-N	ZHRKDNDVZCPRBF-SNAWJCMRSA-N	COC1=CC(OC)=C(\C=C\C=O)C(OC)=C1	TRUE
UALIB-2350	COC1=CC(OC)=C(/C=C/COC(C)=O)C(OC)=C1	2.35	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C14H18O5/c1-10(15)19-7-5-6-12-13(17-3)8-11(16-2)9-14(12)18-4/h5-6,8-9H,7H2,1-4H3/b6-5+	FZQATMGRRGTDHF-AATRIKPKSA-N	FZQATMGRRGTDHF-AATRIKPKSA-N	COC1=CC(OC)=C(\C=C\COC(C)=O)C(OC)=C1	TRUE
UALIB-2351	CCOC(=O)C(=C\CCO[Si](C)(C)C(C)(C)C)/C=C/C1=CC=CC=C1	3.32c	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C21H32O3Si/c1-7-23-20(22)19(16-15-18-12-9-8-10-13-18)14-11-17-24-25(5,6)21(2,3)4/h8-10,12-16H,7,11,17H2,1-6H3/b16-15+,19-14-	AFBQVSJGBIGVCC-IOPYDYCJSA-N	AFBQVSJGBIGVCC-IOPYDYCJSA-N	CCOC(=O)\C(=C/CCO[Si](C)(C)C(C)(C)C)\C=C\C1=CC=CC=C1	TRUE
UALIB-2352	CC/C=C(/C=C/[Si](C)(C)C)C(=O)OCC	3.32f	Probasco, M.S. Synthetic investigations of new metal mediated methodologies and the structural study of the previously undetermined stereocenters of cyanomaclurin. Ph.D. Thesis, The University of Alabama, 2019.	https://ir.ua.edu/handle/123456789/6548	InChI=1S/C12H22O2Si/c1-6-8-11(12(13)14-7-2)9-10-15(3,4)5/h8-10H,6-7H2,1-5H3/b10-9+,11-8-	BDCRDRTVWSTHOJ-PGGWCAKNSA-N	BDCRDRTVWSTHOJ-PGGWCAKNSA-N	CCOC(=O)\C(=C/CC)\C=C\[Si](C)(C)C	TRUE
