PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-270	Pinacol ethynylborate	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	[H]C#CB1OC(C)(C)C(C)(C)O1	InChI=1S/C8H13BO2/c1-6-9-10-7(2,3)8(4,5)11-9/h1H,2-5H3
UALIB-271	3-(4’Methoxyphenyl)-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(C3=CC=C(OC)C=C3)=NO2)O1	InChI=1S/C16H20BNO4/c1-15(2)16(3,4)22-17(21-15)14-10-13(18-20-14)11-6-8-12(19-5)9-7-11/h6-10H,1-5H3
UALIB-272	3-(4’-Bromophenyl)-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(C3=CC=C(Br)C=C3)=NO2)O1	InChI=1S/C15H17BBrNO3/c1-14(2)15(3,4)21-16(20-14)13-9-12(18-19-13)10-5-7-11(17)8-6-10/h5-9H,1-4H3
UALIB-273	3-(Benzyloxy)methyl-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(COCC3=CC=CC=C3)=NO2)O1	InChI=1S/C17H22BNO4/c1-16(2)17(3,4)23-18(22-16)15-10-14(19-21-15)12-20-11-13-8-6-5-7-9-13/h5-10H,11-12H2,1-4H3
UALIB-274	3-Ethyloxycarbonyl-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(C(OCC)=O)=NO2)O1	InChI=1S/C12H18BNO5/c1-6-16-10(15)8-7-9(17-14-8)13-18-11(2,3)12(4,5)19-13/h7H,6H2,1-5H3
UALIB-275	3-Methyl-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(C)=NO2)O1	InChI=1S/C10H16BNO3/c1-7-6-8(13-12-7)11-14-9(2,3)10(4,5)15-11/h6H,1-5H3
UALIB-276	3-Ethyl-5-(pinacolboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	CC1(C)C(C)(C)OB(C2=CC(CC)=NO2)O1	InChI=1S/C11H18BNO3/c1-6-8-7-9(14-13-8)12-15-10(2,3)11(4,5)16-12/h7H,6H2,1-5H3
UALIB-277	3-(4’-Methyloxyphenyl)-5-(diethanolaminoboroante)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	[H][NH+]1CCO[BH-](OCC1)C2=CC(C3=CC=C(OC)C=C3)=NO2	InChI=1S/C14H18BN2O4/c1-18-12-4-2-11(3-5-12)13-10-14(21-17-13)15-19-8-6-16-7-9-20-15/h2-5,10,15-16H,6-9H2,1H3/q-1/p+1
UALIB-278	3-(4’-Bromophenyl)-5-(diethanolaminoboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	[H][NH+]1CCO[BH-](OCC1)C2=CC(C3=CC=C(Br)C=C3)=NO2	InChI=1S/C13H15BBrN2O3/c15-11-3-1-10(2-4-11)12-9-13(20-17-12)14-18-7-5-16-6-8-19-14/h1-4,9,14,16H,5-8H2/q-1/p+1
UALIB-279	3-(Benzyloxy)methyl-5-(diethanolaminoboronate)-isoxazole	Battle, W. The Synthesis of 5-(Boronic Ester)-Isoxazoles and Their use in Palladium-Catalyzed Cross-Coupling Reactions with Iodobenzene. M.A. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=849024	[H][NH+]1CCO[BH-](OCC1)C2=CC(COCC3=CC=CC=C3)=NO2	InChI=1S/C15H20BN2O4/c1-2-4-13(5-3-1)11-19-12-14-10-15(22-18-14)16-20-8-6-17-7-9-21-16/h1-5,10,16-17H,6-9,11-12H2/q-1/p+1
