PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-68	1-(3,3-Dimethylacryl)pyrano[3,4b]indol-3-one	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC1=C2NC3=CC=CC=C3C2=CC(=O)O1	"InChI=1S/C15H13NO2/c1-9(2)7-13-15-11(8-14(17)18-13)10-5-3-4-6-12(10)16-15/h3-8,16H,1-2H3
"
UALIB-69	2-beta,beta-Dimethylacryloyl)-indole-3-acetic acid histamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(=O)C1=C(CC(=O)NCCC2=CN=CN2)C2=CC=CC=C2N1	"InChI=1S/C20H22N4O2/c1-13(2)9-18(25)20-16(15-5-3-4-6-17(15)24-20)10-19(26)22-8-7-14-11-21-12-23-14/h3-6,9,11-12,24H,7-8,10H2,1-2H3,(H,21,23)(H,22,26)
"
UALIB-70	1-Methylpyrano[3,4b]indol-3-one	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC1=C2NC3=CC=CC=C3C2=CC(=O)O1	"InChI=1S/C12H9NO2/c1-7-12-9(6-11(14)15-7)8-4-2-3-5-10(8)13-12/h2-6,13H,1H3

"
UALIB-71	1-Phenylpyrano[3,4b]indol-3-one	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C1OC(=C2NC3=CC=CC=C3C2=C1)C1=CC=CC=C1	"InChI=1S/C17H11NO2/c19-15-10-13-12-8-4-5-9-14(12)18-16(13)17(20-15)11-6-2-1-3-7-11/h1-10,18H

"
UALIB-72	2-Acetyl-indole-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(=O)C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C19H18N2O2/c1-13(22)19-16(15-9-5-6-10-17(15)21-19)11-18(23)20-12-14-7-3-2-4-8-14/h2-10,21H,11-12H2,1H3,(H,20,23)

"
UALIB-73	2-Benzoyl-indole-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C(CC1=C(NC2=CC=CC=C12)C(=O)C1=CC=CC=C1)NCC1=CC=CC=C1	"InChI=1S/C24H20N2O2/c27-22(25-16-17-9-3-1-4-10-17)15-20-19-13-7-8-14-21(19)26-23(20)24(28)18-11-5-2-6-12-18/h1-14,26H,15-16H2,(H,25,27)
"
UALIB-74	3,3-Dimethylacrylic anhydride	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(=O)OC(=O)C=C(C)C	"InChI=1S/C10H14O3/c1-7(2)5-9(11)13-10(12)6-8(3)4/h5-6H,1-4H3

"
UALIB-75	3,3-Dimethylacryloyl chloride	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(Cl)=O	"InChI=1S/C5H7ClO/c1-4(2)3-5(6)7/h3H,1-2H3

"
UALIB-76	2-(beta,beta-Dimethylacryloyl)-indole-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(=O)C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C22H22N2O2/c1-15(2)12-20(25)22-18(17-10-6-7-11-19(17)24-22)13-21(26)23-14-16-8-4-3-5-9-16/h3-12,24H,13-14H2,1-2H3,(H,23,26)

"
UALIB-77	2-Acetyl-indole-3-acetic acid histamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(=O)C1=C(CC(=O)NCCC2=CN=CN2)C2=CC=CC=C2N1	"InChI=1S/C17H18N4O2/c1-11(22)17-14(13-4-2-3-5-15(13)21-17)8-16(23)19-7-6-12-9-18-10-20-12/h2-5,9-10,21H,6-8H2,1H3,(H,18,20)(H,19,23)

"
UALIB-78	N(^alpha),N(^tau)-Ditritylhistamine	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	C(CC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	"InChI=1S/C43H37N3/c1-7-19-35(20-8-1)42(36-21-9-2-10-22-36,37-23-11-3-12-24-37)45-32-31-41-33-46(34-44-41)43(38-25-13-4-14-26-38,39-27-15-5-16-28-39)40-29-17-6-18-30-40/h1-30,33-34,45H,31-32H2

"
UALIB-79	N(^alpha)-tritylhistamine	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	C(CC1=CNC=N1)NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	"InChI=1S/C24H23N3/c1-4-10-20(11-5-1)24(21-12-6-2-7-13-21,22-14-8-3-9-15-22)27-17-16-23-18-25-19-26-23/h1-15,18-19,27H,16-17H2,(H,25,26)

"
UALIB-80	N(^tau)-tritylhistamine	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	NCCC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	"InChI=1S/C24H23N3/c25-17-16-23-18-27(19-26-23)24(20-10-4-1-5-11-20,21-12-6-2-7-13-21)22-14-8-3-9-15-22/h1-15,18-19H,16-17,25H2

"
UALIB-81	Histamine succinimide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C1CCC(=O)N1CCC1=CN=CN1	"InChI=1S/C9H11N3O2/c13-8-1-2-9(14)12(8)4-3-7-5-10-6-11-7/h5-6H,1-4H2,(H,10,11)

"
UALIB-82	N(^tau)-trityl histamine succinimide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C1CCC(=O)N1CCC1=CN(C=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	"InChI=1S/C28H25N3O2/c32-26-16-17-27(33)31(26)19-18-25-20-30(21-29-25)28(22-10-4-1-5-11-22,23-12-6-2-7-13-23)24-14-8-3-9-15-24/h1-15,20-21H,16-19H2

"
UALIB-83	Histamine phthalimide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C1N(CCC2=CN=CN2)C(=O)C2=CC=CC=C12	"InChI=1S/C13H11N3O2/c17-12-10-3-1-2-4-11(10)13(18)16(12)6-5-9-7-14-8-15-9/h1-4,7-8H,5-6H2,(H,14,15)

"
UALIB-84	N(^tau)-trityl histamine phthalimide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	O=C1N(CCC2=CN(C=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(=O)C2=C1C=CC=C2	"InChI=1S/C32H25N3O2/c36-30-28-18-10-11-19-29(28)31(37)35(30)21-20-27-22-34(23-33-27)32(24-12-4-1-5-13-24,25-14-6-2-7-15-25)26-16-8-3-9-17-26/h1-19,22-23H,20-21H2

"
UALIB-85	2-(beta,beta-Dimethylacryloyl)-indole-3-acetic acid N(^tau)-tritylhistamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)=CC(=O)C1=C(CC(=O)NCCC2=CN(C=N2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C39H36N4O2/c1-28(2)24-36(44)38-34(33-20-12-13-21-35(33)42-38)25-37(45)40-23-22-32-26-43(27-41-32)39(29-14-6-3-7-15-29,30-16-8-4-9-17-30)31-18-10-5-11-19-31/h3-21,24,26-27,42H,22-23,25H2,1-2H3,(H,40,45)

"
UALIB-86	2,2-dimethyl-1,6,16,20-tetraazatetracyclo[17.2.1.0⁵,¹³.0⁷,¹²]docosa-5(13),7,9,11,19(22),20-hexaene-4,15-dione	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC1(C)CC(=O)C2=C(CC(=O)NCCC3=CN1C=N3)C1=CC=CC=C1N2	"InChI=1S/C20H22N4O2/c1-20(2)10-17(25)19-15(14-5-3-4-6-16(14)23-19)9-18(26)21-8-7-13-11-24(20)12-22-13/h3-6,11-12,23H,7-10H2,1-2H3,(H,21,26)

"
UALIB-87	2-(Ethan-1-ol)-indole-3-acetic acid benzylamide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(O)C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C19H20N2O2/c1-13(22)19-16(15-9-5-6-10-17(15)21-19)11-18(23)20-12-14-7-3-2-4-8-14/h2-10,13,21-22H,11-12H2,1H3,(H,20,23)

"
UALIB-88	2-(1-Phenyl-menthan-1-ol)-indole-3-acetic acid benzylamide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	OC(C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1)C1=CC=CC=C1	"InChI=1S/C24H22N2O2/c27-22(25-16-17-9-3-1-4-10-17)15-20-19-13-7-8-14-21(19)26-23(20)24(28)18-11-5-2-6-12-18/h1-14,24,26,28H,15-16H2,(H,25,27)

"
UALIB-89	2-(E)-(3-Methoxy-3-methyl-1-butene)-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)\C=C\C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C23H26N2O2/c1-23(2,27-3)14-13-21-19(18-11-7-8-12-20(18)25-21)15-22(26)24-16-17-9-5-4-6-10-17/h4-14,25H,15-16H2,1-3H3,(H,24,26)/b14-13+

"
UALIB-90	2-(E)-(3-Methyl-1-butene-3-ol)-3-acetic acid benzyl amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	CC(C)(O)\C=C\C1=C(CC(=O)NCC2=CC=CC=C2)C2=CC=CC=C2N1	"InChI=1S/C22H24N2O2/c1-22(2,26)13-12-20-18(17-10-6-7-11-19(17)24-20)14-21(25)23-15-16-8-4-3-5-9-16/h3-13,24,26H,14-15H2,1-2H3,(H,23,25)/b13-12+

"
UALIB-91	2-(E)-(3-Methoxy-3-methyl-1-butene)-indole-3-acetic acid histamine amide	Hughes, T. V. Part 1, Synthetic approaches to indole/imidazole marine alkaloids; Part 2, 1-Cyanobenzotriazole as a cyanating agent ; Part 3, Synthesis of potential molecular rectifiers. Ph.D. Dissertation, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1016924	COC(C)(C)\C=C\C1=C(CC(=O)NCCC2=CN=CN2)C2=CC=CC=C2N1	"InChI=1S/C21H26N4O2/c1-21(2,27-3)10-8-19-17(16-6-4-5-7-18(16)25-19)12-20(26)23-11-9-15-13-22-14-24-15/h4-8,10,13-14,25H,9,11-12H2,1-3H3,(H,22,24)(H,23,26)/b10-8+

"
